End date,"1/7/2017"
Specimen label,"3AG_22"
Maximum Load,"0.73679",N

Time,Extension,Load
(s),(mm),(N)
"1.10400","0.09214","0.00597"
"1.11000","0.09267","0.00599"
"1.11600","0.09315","0.00593"
"1.12200","0.09369","0.00579"
"1.12800","0.09417","0.00569"
"1.13400","0.09471","0.00574"
"1.14000","0.09518","0.00579"
"1.14600","0.09566","0.00601"
"1.15200","0.09620","0.00611"
"1.15800","0.09668","0.00624"
"1.16400","0.09722","0.00635"
"1.17000","0.09770","0.00658"
"1.17600","0.09817","0.00671"
"1.18200","0.09871","0.00674"
"1.18800","0.09919","0.00679"
"1.19400","0.09973","0.00673"
"1.20000","0.10021","0.00662"
"1.20600","0.10069","0.00651"
"1.21200","0.10122","0.00647"
"1.21800","0.10170","0.00637"
"1.22400","0.10224","0.00629"
"1.23000","0.10272","0.00628"
"1.23600","0.10326","0.00627"
"1.24200","0.10373","0.00634"
"1.24800","0.10427","0.00642"
"1.25400","0.10475","0.00647"
"1.26000","0.10523","0.00653"
"1.26600","0.10577","0.00655"
"1.27200","0.10625","0.00653"
"1.27800","0.10672","0.00652"
"1.28400","0.10726","0.00650"
"1.29000","0.10774","0.00665"
"1.29600","0.10822","0.00689"
"1.30200","0.10876","0.00706"
"1.30800","0.10924","0.00723"
"1.31400","0.10971","0.00729"
"1.32000","0.11025","0.00724"
"1.32600","0.11073","0.00719"
"1.33200","0.11121","0.00723"
"1.33800","0.11169","0.00721"
"1.34400","0.11222","0.00724"
"1.35000","0.11270","0.00724"
"1.35600","0.11324","0.00716"
"1.36200","0.11372","0.00718"
"1.36800","0.11420","0.00714"
"1.37400","0.11474","0.00711"
"1.38000","0.11521","0.00707"
"1.38600","0.11569","0.00700"
"1.39200","0.11617","0.00694"
"1.39800","0.11671","0.00703"
"1.40400","0.11719","0.00705"
"1.41000","0.11767","0.00718"
"1.41600","0.11820","0.00746"
"1.42200","0.11868","0.00760"
"1.42800","0.11922","0.00768"
"1.43400","0.11970","0.00771"
"1.44000","0.12018","0.00769"
"1.44600","0.12072","0.00759"
"1.45200","0.12119","0.00754"
"1.45800","0.12167","0.00760"
"1.46400","0.12221","0.00781"
"1.47000","0.12269","0.00794"
"1.47600","0.12317","0.00785"
"1.48200","0.12370","0.00783"
"1.48800","0.12418","0.00786"
"1.49400","0.12466","0.00793"
"1.50000","0.12520","0.00811"
"1.50600","0.12568","0.00819"
"1.51200","0.12616","0.00807"
"1.51800","0.12669","0.00790"
"1.52400","0.12717","0.00783"
"1.53000","0.12765","0.00786"
"1.53600","0.12819","0.00781"
"1.54200","0.12867","0.00773"
"1.54800","0.12915","0.00775"
"1.55400","0.12962","0.00782"
"1.56000","0.13016","0.00788"
"1.56600","0.13064","0.00797"
"1.57200","0.13118","0.00802"
"1.57800","0.13166","0.00815"
"1.58400","0.13213","0.00826"
"1.59000","0.13267","0.00842"
"1.59600","0.13315","0.00868"
"1.60200","0.13363","0.00884"
"1.60800","0.13411","0.00886"
"1.61400","0.13465","0.00887"
"1.62000","0.13512","0.00875"
"1.62600","0.13560","0.00857"
"1.63200","0.13614","0.00851"
"1.63800","0.13662","0.00859"
"1.64400","0.13710","0.00868"
"1.65000","0.13764","0.00884"
"1.65600","0.13811","0.00890"
"1.66200","0.13859","0.00892"
"1.66800","0.13913","0.00896"
"1.67400","0.13961","0.00907"
"1.68000","0.14015","0.00912"
"1.68600","0.14062","0.00911"
"1.69200","0.14116","0.00913"
"1.69800","0.14170","0.00921"
"1.70400","0.14218","0.00919"
"1.71000","0.14272","0.00913"
"1.71600","0.14320","0.00910"
"1.72200","0.14367","0.00905"
"1.72800","0.14421","0.00899"
"1.73400","0.14469","0.00895"
"1.74000","0.14523","0.00890"
"1.74600","0.14571","0.00898"
"1.75200","0.14619","0.00903"
"1.75800","0.14672","0.00900"
"1.76400","0.14720","0.00892"
"1.77000","0.14774","0.00892"
"1.77600","0.14822","0.00892"
"1.78200","0.14870","0.00893"
"1.78800","0.14917","0.00899"
"1.79400","0.14965","0.00900"
"1.80000","0.15019","0.00901"
"1.80600","0.15067","0.00909"
"1.81200","0.15115","0.00920"
"1.81800","0.15169","0.00936"
"1.82400","0.15216","0.00936"
"1.83000","0.15270","0.00943"
"1.83600","0.15318","0.00940"
"1.84200","0.15372","0.00939"
"1.84800","0.15420","0.00942"
"1.85400","0.15474","0.00941"
"1.86000","0.15521","0.00927"
"1.86600","0.15569","0.00921"
"1.87200","0.15623","0.00925"
"1.87800","0.15671","0.00943"
"1.88400","0.15719","0.00971"
"1.89000","0.15772","0.01002"
"1.89600","0.15820","0.01012"
"1.90200","0.15868","0.01009"
"1.90800","0.15922","0.01014"
"1.91400","0.15970","0.01007"
"1.92000","0.16018","0.01005"
"1.92600","0.16065","0.01001"
"1.93200","0.16119","0.01004"
"1.93800","0.16167","0.01007"
"1.94400","0.16215","0.01017"
"1.95000","0.16269","0.01033"
"1.95600","0.16317","0.01039"
"1.96200","0.16364","0.01035"
"1.96800","0.16418","0.01033"
"1.97400","0.16466","0.01021"
"1.98000","0.16520","0.01017"
"1.98600","0.16568","0.01012"
"1.99200","0.16621","0.01004"
"1.99800","0.16669","0.00994"
"2.00400","0.16717","0.00982"
"2.01000","0.16771","0.00977"
"2.01600","0.16819","0.00975"
"2.02200","0.16867","0.00970"
"2.02800","0.16920","0.00961"
"2.03400","0.16968","0.00960"
"2.04000","0.17016","0.00970"
"2.04600","0.17064","0.00986"
"2.05200","0.17112","0.01010"
"2.05800","0.17166","0.01023"
"2.06400","0.17213","0.01047"
"2.07000","0.17267","0.01056"
"2.07600","0.17315","0.01057"
"2.08200","0.17363","0.01054"
"2.08800","0.17417","0.01053"
"2.09400","0.17465","0.01056"
"2.10000","0.17512","0.01058"
"2.10600","0.17566","0.01045"
"2.11200","0.17614","0.01025"
"2.11800","0.17668","0.01024"
"2.12400","0.17716","0.01036"
"2.13000","0.17763","0.01062"
"2.13600","0.17817","0.01079"
"2.14200","0.17865","0.01086"
"2.14800","0.17919","0.01096"
"2.15400","0.17967","0.01110"
"2.16000","0.18021","0.01118"
"2.16600","0.18068","0.01134"
"2.17200","0.18116","0.01139"
"2.17800","0.18170","0.01133"
"2.18400","0.18218","0.01126"
"2.19000","0.18266","0.01129"
"2.19600","0.18314","0.01142"
"2.20200","0.18367","0.01143"
"2.20800","0.18415","0.01131"
"2.21400","0.18463","0.01124"
"2.22000","0.18511","0.01122"
"2.22600","0.18565","0.01120"
"2.23200","0.18612","0.01129"
"2.23800","0.18666","0.01125"
"2.24400","0.18714","0.01118"
"2.25000","0.18762","0.01108"
"2.25600","0.18816","0.01108"
"2.26200","0.18864","0.01113"
"2.26800","0.18917","0.01110"
"2.27400","0.18965","0.01107"
"2.28000","0.19019","0.01117"
"2.28600","0.19067","0.01125"
"2.29200","0.19121","0.01129"
"2.29800","0.19169","0.01148"
"2.30400","0.19222","0.01160"
"2.31000","0.19270","0.01177"
"2.31600","0.19318","0.01200"
"2.32200","0.19372","0.01202"
"2.32800","0.19420","0.01200"
"2.33400","0.19467","0.01195"
"2.34000","0.19515","0.01186"
"2.34600","0.19569","0.01191"
"2.35200","0.19617","0.01185"
"2.35800","0.19665","0.01193"
"2.36400","0.19719","0.01206"
"2.37000","0.19766","0.01204"
"2.37600","0.19820","0.01206"
"2.38200","0.19868","0.01220"
"2.38800","0.19916","0.01234"
"2.39400","0.19970","0.01232"
"2.40000","0.20018","0.01223"
"2.40600","0.20071","0.01206"
"2.41200","0.20119","0.01202"
"2.41800","0.20173","0.01192"
"2.42400","0.20221","0.01178"
"2.43000","0.20275","0.01171"
"2.43600","0.20322","0.01173"
"2.44200","0.20376","0.01176"
"2.44800","0.20424","0.01200"
"2.45400","0.20472","0.01219"
"2.46000","0.20520","0.01217"
"2.46600","0.20574","0.01220"
"2.47200","0.20621","0.01222"
"2.47800","0.20669","0.01215"
"2.48400","0.20717","0.01209"
"2.49000","0.20765","0.01207"
"2.49600","0.20819","0.01204"
"2.50200","0.20867","0.01191"
"2.50800","0.20914","0.01197"
"2.51400","0.20968","0.01207"
"2.52000","0.21016","0.01213"
"2.52600","0.21064","0.01221"
"2.53200","0.21112","0.01232"
"2.53800","0.21165","0.01246"
"2.54400","0.21213","0.01263"
"2.55000","0.21267","0.01265"
"2.55600","0.21315","0.01258"
"2.56200","0.21369","0.01243"
"2.56800","0.21417","0.01225"
"2.57400","0.21464","0.01222"
"2.58000","0.21518","0.01224"
"2.58600","0.21566","0.01218"
"2.59200","0.21614","0.01215"
"2.59800","0.21662","0.01230"
"2.60400","0.21716","0.01225"
"2.61000","0.21763","0.01224"
"2.61600","0.21811","0.01233"
"2.62200","0.21859","0.01226"
"2.62800","0.21913","0.01228"
"2.63400","0.21961","0.01238"
"2.64000","0.22009","0.01252"
"2.64600","0.22062","0.01260"
"2.65200","0.22110","0.01257"
"2.65800","0.22158","0.01247"
"2.66400","0.22212","0.01230"
"2.67000","0.22260","0.01212"
"2.67600","0.22307","0.01210"
"2.68200","0.22361","0.01226"
"2.68800","0.22409","0.01228"
"2.69400","0.22463","0.01228"
"2.70000","0.22511","0.01222"
"2.70600","0.22565","0.01226"
"2.71200","0.22618","0.01247"
"2.71800","0.22666","0.01262"
"2.72400","0.22720","0.01285"
"2.73000","0.22768","0.01302"
"2.73600","0.22816","0.01313"
"2.74200","0.22869","0.01325"
"2.74800","0.22917","0.01346"
"2.75400","0.22965","0.01365"
"2.76000","0.23013","0.01376"
"2.76600","0.23061","0.01382"
"2.77200","0.23115","0.01381"
"2.77800","0.23162","0.01365"
"2.78400","0.23216","0.01340"
"2.79000","0.23264","0.01322"
"2.79600","0.23312","0.01326"
"2.80200","0.23366","0.01329"
"2.80800","0.23414","0.01333"
"2.81400","0.23461","0.01348"
"2.82000","0.23515","0.01354"
"2.82600","0.23563","0.01362"
"2.83200","0.23617","0.01358"
"2.83800","0.23665","0.01341"
"2.84400","0.23719","0.01330"
"2.85000","0.23766","0.01333"
"2.85600","0.23820","0.01335"
"2.86200","0.23868","0.01344"
"2.86800","0.23922","0.01355"
"2.87400","0.23970","0.01354"
"2.88000","0.24017","0.01347"
"2.88600","0.24065","0.01349"
"2.89200","0.24119","0.01354"
"2.89800","0.24167","0.01363"
"2.90400","0.24215","0.01369"
"2.91000","0.24263","0.01379"
"2.91600","0.24316","0.01385"
"2.92200","0.24364","0.01402"
"2.92800","0.24412","0.01415"
"2.93400","0.24466","0.01402"
"2.94000","0.24514","0.01386"
"2.94600","0.24568","0.01377"
"2.95200","0.24615","0.01365"
"2.95800","0.24663","0.01349"
"2.96400","0.24717","0.01352"
"2.97000","0.24771","0.01351"
"2.97600","0.24819","0.01354"
"2.98200","0.24866","0.01360"
"2.98800","0.24920","0.01370"
"2.99400","0.24968","0.01383"
"3.00000","0.25022","0.01396"
"3.00600","0.25070","0.01403"
"3.01200","0.25118","0.01414"
"3.01800","0.25171","0.01423"
"3.02400","0.25219","0.01443"
"3.03000","0.25267","0.01457"
"3.03600","0.25321","0.01468"
"3.04200","0.25369","0.01481"
"3.04800","0.25417","0.01489"
"3.05400","0.25464","0.01495"
"3.06000","0.25518","0.01503"
"3.06600","0.25566","0.01500"
"3.07200","0.25614","0.01482"
"3.07800","0.25662","0.01472"
"3.08400","0.25715","0.01464"
"3.09000","0.25763","0.01466"
"3.09600","0.25811","0.01484"
"3.10200","0.25865","0.01488"
"3.10800","0.25913","0.01474"
"3.11400","0.25961","0.01470"
"3.12000","0.26014","0.01466"
"3.12600","0.26062","0.01469"
"3.13200","0.26116","0.01478"
"3.13800","0.26164","0.01479"
"3.14400","0.26212","0.01493"
"3.15000","0.26266","0.01500"
"3.15600","0.26313","0.01497"
"3.16200","0.26361","0.01483"
"3.16800","0.26415","0.01466"
"3.17400","0.26463","0.01448"
"3.18000","0.26511","0.01436"
"3.18600","0.26564","0.01421"
"3.19200","0.26612","0.01410"
"3.19800","0.26660","0.01419"
"3.20400","0.26714","0.01428"
"3.21000","0.26762","0.01441"
"3.21600","0.26810","0.01456"
"3.22200","0.26863","0.01471"
"3.22800","0.26911","0.01493"
"3.23400","0.26959","0.01497"
"3.24000","0.27013","0.01491"
"3.24600","0.27061","0.01499"
"3.25200","0.27115","0.01494"
"3.25800","0.27162","0.01479"
"3.26400","0.27216","0.01472"
"3.27000","0.27264","0.01467"
"3.27600","0.27318","0.01461"
"3.28200","0.27366","0.01464"
"3.28800","0.27413","0.01469"
"3.29400","0.27467","0.01479"
"3.30000","0.27515","0.01487"
"3.30600","0.27563","0.01511"
"3.31200","0.27617","0.01532"
"3.31800","0.27665","0.01550"
"3.32400","0.27712","0.01563"
"3.33000","0.27766","0.01573"
"3.33600","0.27814","0.01568"
"3.34200","0.27868","0.01560"
"3.34800","0.27916","0.01560"
"3.35400","0.27964","0.01567"
"3.36000","0.28017","0.01567"
"3.36600","0.28065","0.01559"
"3.37200","0.28119","0.01548"
"3.37800","0.28167","0.01548"
"3.38400","0.28221","0.01556"
"3.39000","0.28268","0.01564"
"3.39600","0.28316","0.01565"
"3.40200","0.28370","0.01559"
"3.40800","0.28418","0.01532"
"3.41400","0.28466","0.01524"
"3.42000","0.28520","0.01535"
"3.42600","0.28567","0.01553"
"3.43200","0.28621","0.01570"
"3.43800","0.28669","0.01569"
"3.44400","0.28717","0.01567"
"3.45000","0.28771","0.01570"
"3.45600","0.28819","0.01566"
"3.46200","0.28866","0.01575"
"3.46800","0.28920","0.01588"
"3.47400","0.28968","0.01600"
"3.48000","0.29016","0.01621"
"3.48600","0.29070","0.01642"
"3.49200","0.29118","0.01650"
"3.49800","0.29171","0.01650"
"3.50400","0.29219","0.01644"
"3.51000","0.29267","0.01637"
"3.51600","0.29321","0.01628"
"3.52200","0.29369","0.01623"
"3.52800","0.29416","0.01633"
"3.53400","0.29470","0.01639"
"3.54000","0.29518","0.01639"
"3.54600","0.29572","0.01633"
"3.55200","0.29620","0.01631"
"3.55800","0.29668","0.01632"
"3.56400","0.29721","0.01637"
"3.57000","0.29769","0.01641"
"3.57600","0.29817","0.01642"
"3.58200","0.29871","0.01653"
"3.58800","0.29919","0.01662"
"3.59400","0.29972","0.01671"
"3.60000","0.30020","0.01681"
"3.60600","0.30068","0.01679"
"3.61200","0.30116","0.01666"
"3.61800","0.30164","0.01652"
"3.62400","0.30218","0.01650"
"3.63000","0.30265","0.01659"
"3.63600","0.30313","0.01672"
"3.64200","0.30367","0.01678"
"3.64800","0.30415","0.01675"
"3.65400","0.30463","0.01666"
"3.66000","0.30517","0.01661"
"3.66600","0.30564","0.01652"
"3.67200","0.30612","0.01639"
"3.67800","0.30666","0.01641"
"3.68400","0.30714","0.01648"
"3.69000","0.30762","0.01655"
"3.69600","0.30816","0.01664"
"3.70200","0.30863","0.01665"
"3.70800","0.30917","0.01662"
"3.71400","0.30965","0.01672"
"3.72000","0.31013","0.01684"
"3.72600","0.31067","0.01684"
"3.73200","0.31114","0.01682"
"3.73800","0.31162","0.01688"
"3.74400","0.31216","0.01699"
"3.75000","0.31264","0.01706"
"3.75600","0.31318","0.01700"
"3.76200","0.31366","0.01692"
"3.76800","0.31413","0.01699"
"3.77400","0.31467","0.01709"
"3.78000","0.31515","0.01726"
