"Ptime","Pload","Vtime","Vload","yDelta","del","num_th_broke"
211.254,0.28491,211.398,0.03593,0.24898,"y","2"
211.41,0.05103,211.428,0.03449,0.01654,"n",NA
211.476,0.05722,211.5,0.04305,0.01417,"n",NA
264.45,0.68969,264.54,0.40619,0.2835,"y","1"
312,0.54685,312.102,0.23823,0.30862,"y","1"
312.108,0.24329,312.12,0.22942,0.01387,"n",NA
328.356,0.30845,328.428,0,0.31715,"y","1"
328.512,0.02537,328.53,0.01195,0.01342,"n",NA
370.824,0.07002,370.938,0.01978,0.05024,"y","1"
501.486,0.11818,501.528,0.01165,0.10653,"y","1"
501.534,0.01414,501.558,0,0.02459,"n",NA
