"Ptime","Pload","Vtime","Vload","yDelta","del","num_th_broke"
127.104,0.07303,127.176,0.005,0.06803,"y","1"
186.24,0.22952,186.576,0.082,0.14752,"y","1u"
208.074,0.25888,208.182,0.19727,0.06161,"y","1"
232.764,0.37689,232.842,0.1177,0.25919,"y","1"
232.962,0.16152,233.022,0.06122,0.1003,"n",NA
282.372,0.33086,282.504,0.05048,0.28038,"y","1"
304.584,0.17986,304.65,0.01911,0.16075,"y","1"
304.656,0.01914,304.674,0,0.03298,"n",NA
341.322,0.17414,341.4,0.03867,0.13547,"y","1"
354.102,0.06918,354.186,0,0.08022,"y","1"
