"Ptime","Pload","Vtime","Vload","yDelta","del","num_th_broke"
277.278,0.74045,277.38,0.54384,0.19661,"y","1"
285.054,0.5738,285.126,0.31614,0.25766,"y","1"
298.968,0.40811,299.046,0.36837,0.03974,"y","1"
324.234,0.50391,324.294,0.38893,0.11498,"y","1"
347.256,0.49158,347.322,0.28846,0.20312,"y","1"
347.328,0.29243,347.34,0.28165,0.01078,"n",NA
399.222,0.51345,399.294,0.02178,0.49167,"y","1"
464.898,0.16179,464.976,0.02416,0.13763,"y","1"
464.982,0.02632,465.006,0,0.02719,"n",NA
465.102,0.02927,465.126,0.01244,0.01683,"n",NA
