"Ptime","Pload","Vtime","Vload","yDelta"
103.842,0.84645,103.956,0.72897,0.11748
119.976,0.93445,120.042,0.80183,0.13262
123.552,0.82359,123.618,0.77801,0.0455800000000001
129.444,0.86687,129.504,0.74271,0.12416
160.77,1.15632,160.854,0.9831,0.17322
175.488,1.19512,175.554,0.97975,0.21537
198.468,1.23839,198.534,0.99005,0.24834
216.096,1.20722,216.18,0.99593,0.21129
241.554,1.27545,241.614,1.07326,0.20219
242.178,0.79531,242.304,0.64764,0.14767
256.446,0.80053,256.524,0.53095,0.26958
257.208,0.37536,257.406,0.27742,0.09794
262.482,0.29533,262.734,0.0243,0.27103
