End date,"12/26/2016"
Specimen label,"11BG_81_2_run2"
Maximum Load,"0.05442",N

Time,Extension,Load
(s),(mm),(N)
"1.10400","35.24324","0.01090"
"1.11000","35.24372","0.01092"
"1.11600","35.24420","0.01094"
"1.12200","35.24473","0.01093"
"1.12800","35.24521","0.01090"
"1.13400","35.24575","0.01088"
"1.14000","35.24623","0.01085"
"1.14600","35.24677","0.01082"
"1.15200","35.24725","0.01086"
"1.15800","35.24778","0.01089"
"1.16400","35.24826","0.01096"
"1.17000","35.24874","0.01098"
"1.17600","35.24922","0.01094"
"1.18200","35.24976","0.01089"
"1.18800","35.25024","0.01087"
"1.19400","35.25077","0.01082"
"1.20000","35.25125","0.01077"
"1.20600","35.25179","0.01068"
"1.21200","35.25227","0.01057"
"1.21800","35.25275","0.01051"
"1.22400","35.25328","0.01054"
"1.23000","35.25376","0.01054"
"1.23600","35.25424","0.01061"
"1.24200","35.25478","0.01074"
"1.24800","35.25526","0.01081"
"1.25400","35.25573","0.01087"
"1.26000","35.25628","0.01085"
"1.26600","35.25675","0.01086"
"1.27200","35.25729","0.01085"
"1.27800","35.25777","0.01082"
"1.28400","35.25830","0.01077"
"1.29000","35.25879","0.01076"
"1.29600","35.25926","0.01081"
"1.30200","35.25980","0.01091"
"1.30800","35.26028","0.01101"
"1.31400","35.26082","0.01102"
"1.32000","35.26130","0.01101"
"1.32600","35.26177","0.01102"
"1.33200","35.26225","0.01105"
"1.33800","35.26279","0.01100"
"1.34400","35.26327","0.01087"
"1.35000","35.26381","0.01078"
"1.35600","35.26428","0.01082"
"1.36200","35.26476","0.01089"
"1.36800","35.26524","0.01098"
"1.37400","35.26578","0.01102"
"1.38000","35.26626","0.01103"
"1.38600","35.26674","0.01105"
"1.39200","35.26722","0.01105"
"1.39800","35.26775","0.01100"
"1.40400","35.26823","0.01101"
"1.41000","35.26871","0.01102"
"1.41600","35.26925","0.01101"
"1.42200","35.26973","0.01099"
"1.42800","35.27020","0.01091"
"1.43400","35.27074","0.01088"
"1.44000","35.27122","0.01079"
"1.44600","35.27170","0.01067"
"1.45200","35.27218","0.01061"
"1.45800","35.27271","0.01063"
"1.46400","35.27319","0.01069"
"1.47000","35.27367","0.01076"
"1.47600","35.27421","0.01087"
"1.48200","35.27469","0.01098"
"1.48800","35.27522","0.01100"
"1.49400","35.27570","0.01098"
"1.50000","35.27618","0.01100"
"1.50600","35.27672","0.01105"
"1.51200","35.27720","0.01112"
"1.51800","35.27774","0.01119"
"1.52400","35.27822","0.01125"
"1.53000","35.27869","0.01124"
"1.53600","35.27923","0.01115"
"1.54200","35.27971","0.01103"
"1.54800","35.28019","0.01093"
"1.55400","35.28067","0.01090"
"1.56000","35.28120","0.01081"
"1.56600","35.28168","0.01072"
"1.57200","35.28216","0.01067"
"1.57800","35.28264","0.01064"
"1.58400","35.28318","0.01066"
"1.59000","35.28365","0.01070"
"1.59600","35.28419","0.01069"
"1.60200","35.28467","0.01063"
"1.60800","35.28515","0.01063"
"1.61400","35.28569","0.01066"
"1.62000","35.28617","0.01066"
"1.62600","35.28671","0.01072"
"1.63200","35.28718","0.01075"
"1.63800","35.28772","0.01073"
"1.64400","35.28820","0.01071"
"1.65000","35.28874","0.01065"
"1.65600","35.28922","0.01059"
"1.66200","35.28970","0.01056"
"1.66800","35.29023","0.01057"
"1.67400","35.29071","0.01063"
"1.68000","35.29119","0.01064"
"1.68600","35.29167","0.01062"
"1.69200","35.29221","0.01060"
"1.69800","35.29269","0.01062"
"1.70400","35.29322","0.01068"
"1.71000","35.29370","0.01084"
"1.71600","35.29424","0.01095"
"1.72200","35.29472","0.01107"
"1.72800","35.29520","0.01112"
"1.73400","35.29573","0.01108"
"1.74000","35.29621","0.01099"
"1.74600","35.29675","0.01088"
"1.75200","35.29723","0.01080"
"1.75800","35.29777","0.01077"
"1.76400","35.29825","0.01079"
"1.77000","35.29878","0.01084"
"1.77600","35.29926","0.01087"
"1.78200","35.29980","0.01094"
"1.78800","35.30028","0.01096"
"1.79400","35.30076","0.01089"
"1.80000","35.30129","0.01082"
"1.80600","35.30177","0.01067"
"1.81200","35.30225","0.01055"
"1.81800","35.30279","0.01049"
"1.82400","35.30327","0.01050"
"1.83000","35.30375","0.01053"
"1.83600","35.30429","0.01063"
"1.84200","35.30476","0.01076"
"1.84800","35.30524","0.01087"
"1.85400","35.30578","0.01097"
"1.86000","35.30626","0.01098"
"1.86600","35.30674","0.01095"
"1.87200","35.30721","0.01100"
"1.87800","35.30775","0.01108"
"1.88400","35.30823","0.01112"
"1.89000","35.30871","0.01111"
"1.89600","35.30925","0.01103"
"1.90200","35.30972","0.01098"
"1.90800","35.31020","0.01088"
"1.91400","35.31074","0.01081"
"1.92000","35.31122","0.01078"
"1.92600","35.31176","0.01073"
"1.93200","35.31224","0.01071"
"1.93800","35.31272","0.01074"
"1.94400","35.31325","0.01074"
"1.95000","35.31373","0.01078"
"1.95600","35.31427","0.01089"
"1.96200","35.31475","0.01093"
"1.96800","35.31523","0.01098"
"1.97400","35.31570","0.01101"
"1.98000","35.31624","0.01101"
"1.98600","35.31672","0.01102"
"1.99200","35.31720","0.01102"
"1.99800","35.31768","0.01103"
"2.00400","35.31821","0.01102"
"2.01000","35.31870","0.01107"
"2.01600","35.31917","0.01106"
"2.02200","35.31965","0.01107"
"2.02800","35.32019","0.01106"
"2.03400","35.32067","0.01101"
"2.04000","35.32121","0.01098"
"2.04600","35.32168","0.01091"
"2.05200","35.32222","0.01083"
"2.05800","35.32270","0.01076"
"2.06400","35.32323","0.01073"
"2.07000","35.32372","0.01071"
"2.07600","35.32419","0.01069"
"2.08200","35.32473","0.01075"
"2.08800","35.32521","0.01088"
"2.09400","35.32569","0.01096"
"2.10000","35.32623","0.01105"
"2.10600","35.32671","0.01113"
"2.11200","35.32719","0.01114"
"2.11800","35.32766","0.01115"
"2.12400","35.32814","0.01117"
"2.13000","35.32868","0.01112"
"2.13600","35.32915","0.01099"
"2.14200","35.32964","0.01095"
"2.14800","35.33017","0.01097"
"2.15400","35.33065","0.01099"
"2.16000","35.33113","0.01090"
"2.16600","35.33167","0.01080"
"2.17200","35.33215","0.01075"
"2.17800","35.33268","0.01075"
"2.18400","35.33316","0.01077"
"2.19000","35.33364","0.01075"
"2.19600","35.33418","0.01071"
"2.20200","35.33472","0.01068"
"2.20800","35.33519","0.01069"
"2.21400","35.33574","0.01070"
"2.22000","35.33621","0.01070"
"2.22600","35.33675","0.01077"
"2.23200","35.33723","0.01085"
"2.23800","35.33776","0.01097"
"2.24400","35.33825","0.01104"
"2.25000","35.33872","0.01106"
"2.25600","35.33926","0.01113"
"2.26200","35.33974","0.01115"
"2.26800","35.34022","0.01114"
"2.27400","35.34070","0.01113"
