End date,"12/26/2016"
Specimen label,"11BG_81_1"
Maximum Load,"0.25816",N

Time,Extension,Load
(s),(mm),(N)
"1.10400","0.09226","0.00198"
"1.11000","0.09273","0.00201"
"1.11600","0.09327","0.00201"
"1.12200","0.09375","0.00200"
"1.12800","0.09423","0.00200"
"1.13400","0.09477","0.00221"
"1.14000","0.09524","0.00245"
"1.14600","0.09572","0.00261"
"1.15200","0.09620","0.00278"
"1.15800","0.09674","0.00289"
"1.16400","0.09722","0.00278"
"1.17000","0.09770","0.00286"
"1.17600","0.09823","0.00293"
"1.18200","0.09871","0.00280"
"1.18800","0.09919","0.00267"
"1.19400","0.09967","0.00243"
"1.20000","0.10021","0.00221"
"1.20600","0.10069","0.00217"
"1.21200","0.10116","0.00213"
"1.21800","0.10164","0.00211"
"1.22400","0.10218","0.00217"
"1.23000","0.10266","0.00226"
"1.23600","0.10314","0.00236"
"1.24200","0.10368","0.00238"
"1.24800","0.10415","0.00233"
"1.25400","0.10469","0.00242"
"1.26000","0.10517","0.00251"
"1.26600","0.10571","0.00247"
"1.27200","0.10619","0.00257"
"1.27800","0.10672","0.00260"
"1.28400","0.10720","0.00254"
"1.29000","0.10768","0.00244"
"1.29600","0.10822","0.00237"
"1.30200","0.10870","0.00240"
"1.30800","0.10918","0.00254"
"1.31400","0.10971","0.00257"
"1.32000","0.11019","0.00252"
"1.32600","0.11067","0.00242"
"1.33200","0.11121","0.00236"
"1.33800","0.11169","0.00229"
"1.34400","0.11222","0.00223"
"1.35000","0.11270","0.00214"
"1.35600","0.11318","0.00213"
"1.36200","0.11366","0.00204"
"1.36800","0.11420","0.00206"
"1.37400","0.11468","0.00204"
"1.38000","0.11521","0.00189"
"1.38600","0.11569","0.00198"
"1.39200","0.11617","0.00199"
"1.39800","0.11671","0.00197"
"1.40400","0.11719","0.00203"
"1.41000","0.11773","0.00207"
"1.41600","0.11820","0.00206"
"1.42200","0.11874","0.00201"
"1.42800","0.11922","0.00204"
"1.43400","0.11976","0.00215"
"1.44000","0.12024","0.00237"
"1.44600","0.12072","0.00252"
"1.45200","0.12125","0.00266"
"1.45800","0.12173","0.00283"
"1.46400","0.12221","0.00277"
"1.47000","0.12269","0.00278"
"1.47600","0.12317","0.00285"
"1.48200","0.12370","0.00279"
"1.48800","0.12418","0.00268"
"1.49400","0.12472","0.00260"
"1.50000","0.12520","0.00256"
"1.50600","0.12568","0.00263"
"1.51200","0.12622","0.00253"
"1.51800","0.12669","0.00230"
"1.52400","0.12717","0.00227"
"1.53000","0.12771","0.00231"
"1.53600","0.12819","0.00250"
"1.54200","0.12867","0.00269"
"1.54800","0.12921","0.00276"
"1.55400","0.12974","0.00270"
"1.56000","0.13022","0.00263"
"1.56600","0.13076","0.00259"
"1.57200","0.13124","0.00263"
"1.57800","0.13178","0.00259"
"1.58400","0.13225","0.00250"
"1.59000","0.13273","0.00244"
"1.59600","0.13327","0.00233"
"1.60200","0.13375","0.00236"
"1.60800","0.13429","0.00248"
"1.61400","0.13477","0.00239"
"1.62000","0.13524","0.00232"
"1.62600","0.13578","0.00229"
"1.63200","0.13626","0.00223"
"1.63800","0.13674","0.00235"
"1.64400","0.13728","0.00247"
"1.65000","0.13776","0.00263"
"1.65600","0.13823","0.00269"
"1.66200","0.13871","0.00268"
"1.66800","0.13919","0.00272"
"1.67400","0.13973","0.00277"
"1.68000","0.14021","0.00279"
"1.68600","0.14068","0.00280"
"1.69200","0.14122","0.00266"
"1.69800","0.14170","0.00240"
"1.70400","0.14224","0.00217"
"1.71000","0.14272","0.00203"
"1.71600","0.14326","0.00212"
"1.72200","0.14373","0.00236"
"1.72800","0.14421","0.00260"
