End date,"12/26/2016"
Specimen label,"11BG_84"
Maximum Load,"0.83001",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","-0.00046"
"0.00600","0.00000","-0.00059"
"0.01200","0.00000","-0.00072"
"0.01800","0.00012","-0.00079"
"0.02400","0.00018","-0.00092"
"0.03000","0.00030","-0.00105"
"0.03600","0.00042","-0.00099"
"0.04200","0.00060","-0.00091"
"0.04800","0.00078","-0.00090"
"0.05400","0.00108","-0.00087"
"0.06000","0.00132","-0.00077"
"0.06600","0.00161","-0.00064"
"0.07200","0.00191","-0.00059"
"0.07800","0.00227","-0.00066"
"0.08400","0.00269","-0.00068"
"0.09000","0.00305","-0.00059"
"0.09600","0.00353","-0.00047"
"0.10200","0.00401","-0.00024"
"0.10800","0.00448","-0.00013"
"0.11400","0.00496","-0.00011"
"0.12000","0.00550","0.00006"
"0.12600","0.00604","0.00019"
"0.13200","0.00658","0.00022"
"0.13800","0.00717","0.00033"
"0.14400","0.00777","0.00055"
"0.15000","0.00843","0.00072"
"0.15600","0.00909","0.00080"
"0.16200","0.00975","0.00085"
"0.16800","0.01040","0.00094"
"0.17400","0.01106","0.00106"
"0.18000","0.01172","0.00117"
"0.18600","0.01238","0.00142"
"0.19200","0.01303","0.00157"
"0.19800","0.01369","0.00159"
"0.20400","0.01435","0.00145"
"0.21000","0.01507","0.00136"
"0.21600","0.01572","0.00140"
"0.22200","0.01638","0.00153"
"0.22800","0.01704","0.00159"
"0.23400","0.01770","0.00171"
"0.24000","0.01830","0.00181"
"0.24600","0.01895","0.00190"
"0.25200","0.01955","0.00210"
"0.25800","0.02021","0.00216"
"0.26400","0.02081","0.00223"
"0.27000","0.02146","0.00239"
"0.27600","0.02206","0.00248"
"0.28200","0.02266","0.00259"
"0.28800","0.02326","0.00273"
"0.29400","0.02386","0.00275"
"0.30000","0.02445","0.00270"
"0.30600","0.02505","0.00256"
"0.31200","0.02565","0.00230"
"0.31800","0.02619","0.00215"
"0.32400","0.02679","0.00199"
"0.33000","0.02738","0.00177"
"0.33600","0.02792","0.00166"
"0.34200","0.02846","0.00163"
"0.34800","0.02900","0.00166"
