End date,"12/26/2016"
Specimen label,"11BG_81_2"
Maximum Load,"0.14144",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.00024"
"0.00600","0.00000","0.00028"
"0.01200","0.00000","0.00021"
"0.01800","0.00012","0.00017"
"0.02400","0.00018","0.00013"
"0.03000","0.00030","-0.00006"
"0.03600","0.00042","-0.00013"
"0.04200","0.00060","-0.00012"
"0.04800","0.00078","-0.00012"
"0.05400","0.00102","-0.00008"
"0.06000","0.00126","0.00002"
"0.06600","0.00155","0.00001"
"0.07200","0.00191","0.00001"
"0.07800","0.00227","-0.00007"
"0.08400","0.00269","-0.00027"
"0.09000","0.00311","-0.00028"
"0.09600","0.00353","-0.00023"
"0.10200","0.00401","-0.00012"
"0.10800","0.00454","-0.00006"
"0.11400","0.00502","-0.00004"
"0.12000","0.00556","-0.00002"
"0.12600","0.00610","0.00005"
"0.13200","0.00670","-0.00003"
"0.13800","0.00729","0.00001"
"0.14400","0.00789","0.00016"
"0.15000","0.00849","0.00013"
"0.15600","0.00915","0.00020"
"0.16200","0.00975","0.00022"
"0.16800","0.01040","0.00020"
"0.17400","0.01112","0.00030"
"0.18000","0.01178","0.00037"
"0.18600","0.01244","0.00045"
"0.19200","0.01309","0.00057"
"0.19800","0.01375","0.00060"
"0.20400","0.01441","0.00054"
"0.21000","0.01507","0.00051"
"0.21600","0.01572","0.00039"
"0.22200","0.01638","0.00039"
"0.22800","0.01704","0.00047"
"0.23400","0.01770","0.00052"
"0.24000","0.01836","0.00051"
"0.24600","0.01895","0.00037"
"0.25200","0.01961","0.00033"
"0.25800","0.02027","0.00032"
"0.26400","0.02087","0.00036"
"0.27000","0.02152","0.00041"
"0.27600","0.02212","0.00045"
"0.28200","0.02272","0.00042"
"0.28800","0.02338","0.00038"
"0.29400","0.02392","0.00035"
"0.30000","0.02451","0.00036"
"0.30600","0.02511","0.00050"
"0.31200","0.02565","0.00059"
"0.31800","0.02619","0.00059"
"0.32400","0.02673","0.00078"
"0.33000","0.02732","0.00092"
"0.33600","0.02786","0.00093"
"0.34200","0.02840","0.00096"
"0.34800","0.02894","0.00079"
"0.35400","0.02948","0.00063"
"0.36000","0.03001","0.00071"
"0.36600","0.03055","0.00082"
"0.37200","0.03109","0.00096"
"0.37800","0.03163","0.00106"
"0.38400","0.03217","0.00104"
"0.39000","0.03265","0.00102"
"0.39600","0.03318","0.00094"
"0.40200","0.03372","0.00088"
"0.40800","0.03420","0.00087"
"0.41400","0.03474","0.00082"
"0.42000","0.03522","0.00077"
"0.42600","0.03575","0.00079"
"0.43200","0.03629","0.00072"
"0.43800","0.03677","0.00074"
"0.44400","0.03725","0.00078"
"0.45000","0.03779","0.00073"
"0.45600","0.03827","0.00079"
"0.46200","0.03874","0.00089"
"0.46800","0.03928","0.00097"
"0.47400","0.03976","0.00123"
"0.48000","0.04024","0.00136"
"0.48600","0.04078","0.00143"
"0.49200","0.04125","0.00142"
"0.49800","0.04173","0.00128"
"0.50400","0.04227","0.00127"
"0.51000","0.04275","0.00134"
"0.51600","0.04329","0.00126"
"0.52200","0.04377","0.00122"
"0.52800","0.04430","0.00118"
"0.53400","0.04478","0.00107"
"0.54000","0.04526","0.00098"
"0.54600","0.04580","0.00088"
"0.55200","0.04634","0.00083"
"0.55800","0.04682","0.00088"
"0.56400","0.04729","0.00098"
"0.57000","0.04783","0.00112"
"0.57600","0.04831","0.00123"
"0.58200","0.04885","0.00124"
"0.58800","0.04933","0.00125"
"0.59400","0.04980","0.00116"
"0.60000","0.05034","0.00102"
"0.60600","0.05082","0.00110"
"0.61200","0.05130","0.00110"
"0.61800","0.05184","0.00093"
"0.62400","0.05232","0.00079"
"0.63000","0.05279","0.00062"
"0.63600","0.05327","0.00048"
"0.64200","0.05381","0.00030"
"0.64800","0.05429","-0.00003"
"0.65400","0.05477","-0.00025"
"0.66000","0.05531","-0.00023"
"0.66600","0.05578","-0.00007"
"0.67200","0.05626","0.00025"
"0.67800","0.05680","0.00061"
"0.68400","0.05728","0.00095"
"0.69000","0.05776","0.00119"
"0.69600","0.05829","0.00126"
"0.70200","0.05877","0.00127"
"0.70800","0.05925","0.00135"
"0.71400","0.05979","0.00128"
"0.72000","0.06027","0.00121"
"0.72600","0.06075","0.00125"
"0.73200","0.06122","0.00119"
"0.73800","0.06176","0.00127"
"0.74400","0.06224","0.00131"
"0.75000","0.06272","0.00118"
