End date,"12/21/2016"
Specimen label,"24T_90"
Maximum Load,"1.06486",N

Time,Extension,Load
(s),(mm),(N)
"1.09800","0.09160","0.00103"
"1.10400","0.09208","0.00109"
"1.11000","0.09261","0.00121"
"1.11600","0.09309","0.00125"
"1.12200","0.09357","0.00133"
"1.12800","0.09411","0.00141"
"1.13400","0.09465","0.00145"
"1.14000","0.09513","0.00149"
"1.14600","0.09566","0.00142"
"1.15200","0.09614","0.00132"
"1.15800","0.09662","0.00125"
"1.16400","0.09716","0.00108"
"1.17000","0.09764","0.00097"
"1.17600","0.09811","0.00101"
"1.18200","0.09865","0.00108"
"1.18800","0.09913","0.00110"
"1.19400","0.09961","0.00110"
"1.20000","0.10015","0.00107"
"1.20600","0.10063","0.00101"
"1.21200","0.10110","0.00097"
"1.21800","0.10164","0.00103"
"1.22400","0.10212","0.00112"
"1.23000","0.10260","0.00115"
"1.23600","0.10308","0.00116"
"1.24200","0.10362","0.00122"
"1.24800","0.10409","0.00122"
"1.25400","0.10457","0.00118"
"1.26000","0.10505","0.00106"
"1.26600","0.10559","0.00085"
"1.27200","0.10607","0.00071"
"1.27800","0.10660","0.00068"
"1.28400","0.10708","0.00066"
"1.29000","0.10762","0.00070"
"1.29600","0.10810","0.00078"
"1.30200","0.10864","0.00087"
"1.30800","0.10912","0.00094"
"1.31400","0.10965","0.00101"
"1.32000","0.11013","0.00116"
"1.32600","0.11061","0.00128"
"1.33200","0.11115","0.00127"
"1.33800","0.11163","0.00122"
"1.34400","0.11211","0.00114"
"1.35000","0.11264","0.00110"
"1.35600","0.11312","0.00105"
"1.36200","0.11360","0.00099"
"1.36800","0.11414","0.00101"
"1.37400","0.11462","0.00107"
"1.38000","0.11509","0.00104"
"1.38600","0.11563","0.00097"
"1.39200","0.11611","0.00097"
"1.39800","0.11659","0.00093"
"1.40400","0.11713","0.00096"
"1.41000","0.11761","0.00100"
"1.41600","0.11814","0.00102"
"1.42200","0.11862","0.00103"
"1.42800","0.11916","0.00103"
"1.43400","0.11970","0.00099"
"1.44000","0.12018","0.00099"
"1.44600","0.12066","0.00097"
"1.45200","0.12119","0.00095"
"1.45800","0.12167","0.00088"
"1.46400","0.12221","0.00079"
"1.47000","0.12269","0.00080"
"1.47600","0.12317","0.00087"
"1.48200","0.12364","0.00089"
"1.48800","0.12418","0.00091"
"1.49400","0.12466","0.00092"
"1.50000","0.12514","0.00082"
"1.50600","0.12568","0.00071"
"1.51200","0.12616","0.00057"
"1.51800","0.12663","0.00049"
"1.52400","0.12717","0.00051"
"1.53000","0.12765","0.00051"
"1.53600","0.12813","0.00059"
"1.54200","0.12867","0.00073"
"1.54800","0.12915","0.00085"
"1.55400","0.12968","0.00096"
"1.56000","0.13016","0.00108"
"1.56600","0.13070","0.00110"
"1.57200","0.13118","0.00113"
"1.57800","0.13172","0.00116"
"1.58400","0.13219","0.00117"
"1.59000","0.13267","0.00116"
"1.59600","0.13321","0.00119"
"1.60200","0.13369","0.00119"
"1.60800","0.13417","0.00122"
"1.61400","0.13471","0.00118"
"1.62000","0.13518","0.00118"
"1.62600","0.13566","0.00114"
"1.63200","0.13614","0.00106"
"1.63800","0.13662","0.00111"
"1.64400","0.13716","0.00114"
"1.65000","0.13764","0.00104"
"1.65600","0.13811","0.00096"
"1.66200","0.13865","0.00095"
"1.66800","0.13913","0.00091"
"1.67400","0.13961","0.00094"
"1.68000","0.14009","0.00094"
"1.68600","0.14062","0.00095"
"1.69200","0.14110","0.00097"
"1.69800","0.14158","0.00093"
"1.70400","0.14212","0.00090"
"1.71000","0.14260","0.00096"
"1.71600","0.14314","0.00100"
"1.72200","0.14361","0.00098"
"1.72800","0.14415","0.00104"
"1.73400","0.14463","0.00104"
"1.74000","0.14517","0.00100"
"1.74600","0.14565","0.00100"
"1.75200","0.14613","0.00112"
"1.75800","0.14666","0.00124"
"1.76400","0.14714","0.00124"
"1.77000","0.14762","0.00120"
"1.77600","0.14810","0.00121"
"1.78200","0.14858","0.00118"
"1.78800","0.14912","0.00117"
"1.79400","0.14959","0.00120"
"1.80000","0.15007","0.00126"
