End date,"12/23/2016"
Specimen label,"21BG_UNK"
Maximum Load,"0.01081",N

Time,Extension,Load
(s),(mm),(N)
"1.09800","0.09166","0.00032"
"1.10400","0.09220","0.00043"
"1.11000","0.09267","0.00058"
"1.11600","0.09315","0.00058"
"1.12200","0.09369","0.00056"
"1.12800","0.09417","0.00049"
"1.13400","0.09465","0.00045"
"1.14000","0.09518","0.00041"
"1.14600","0.09566","0.00026"
"1.15200","0.09620","0.00022"
"1.15800","0.09668","0.00024"
"1.16400","0.09722","0.00030"
"1.17000","0.09770","0.00038"
"1.17600","0.09823","0.00036"
"1.18200","0.09871","0.00026"
"1.18800","0.09919","0.00027"
"1.19400","0.09973","0.00025"
"1.20000","0.10021","0.00026"
"1.20600","0.10075","0.00031"
"1.21200","0.10122","0.00032"
"1.21800","0.10170","0.00033"
"1.22400","0.10218","0.00044"
"1.23000","0.10272","0.00054"
"1.23600","0.10320","0.00065"
"1.24200","0.10368","0.00068"
"1.24800","0.10415","0.00059"
"1.25400","0.10469","0.00054"
"1.26000","0.10517","0.00050"
"1.26600","0.10565","0.00044"
"1.27200","0.10619","0.00036"
"1.27800","0.10666","0.00030"
"1.28400","0.10720","0.00026"
"1.29000","0.10768","0.00027"
"1.29600","0.10822","0.00034"
"1.30200","0.10870","0.00044"
"1.30800","0.10924","0.00049"
"1.31400","0.10971","0.00045"
"1.32000","0.11025","0.00044"
"1.32600","0.11073","0.00049"
"1.33200","0.11127","0.00051"
"1.33800","0.11175","0.00052"
"1.34400","0.11222","0.00051"
"1.35000","0.11276","0.00047"
"1.35600","0.11324","0.00037"
"1.36200","0.11372","0.00028"
"1.36800","0.11426","0.00032"
"1.37400","0.11474","0.00037"
"1.38000","0.11521","0.00028"
"1.38600","0.11575","0.00022"
"1.39200","0.11623","0.00028"
"1.39800","0.11671","0.00028"
"1.40400","0.11725","0.00031"
"1.41000","0.11773","0.00031"
"1.41600","0.11820","0.00028"
"1.42200","0.11874","0.00031"
"1.42800","0.11922","0.00028"
"1.43400","0.11976","0.00030"
"1.44000","0.12024","0.00043"
"1.44600","0.12077","0.00036"
"1.45200","0.12125","0.00038"
"1.45800","0.12179","0.00047"
"1.46400","0.12227","0.00044"
"1.47000","0.12281","0.00045"
"1.47600","0.12329","0.00039"
"1.48200","0.12376","0.00032"
"1.48800","0.12424","0.00033"
"1.49400","0.12472","0.00026"
"1.50000","0.12526","0.00018"
"1.50600","0.12574","0.00023"
"1.51200","0.12622","0.00022"
"1.51800","0.12669","0.00030"
"1.52400","0.12717","0.00047"
"1.53000","0.12771","0.00058"
"1.53600","0.12819","0.00070"
"1.54200","0.12867","0.00082"
"1.54800","0.12915","0.00076"
"1.55400","0.12962","0.00072"
"1.56000","0.13016","0.00069"
"1.56600","0.13064","0.00065"
"1.57200","0.13112","0.00068"
"1.57800","0.13166","0.00066"
"1.58400","0.13213","0.00059"
"1.59000","0.13267","0.00056"
"1.59600","0.13315","0.00052"
"1.60200","0.13369","0.00053"
"1.60800","0.13417","0.00057"
"1.61400","0.13471","0.00051"
"1.62000","0.13518","0.00042"
"1.62600","0.13566","0.00038"
"1.63200","0.13614","0.00038"
"1.63800","0.13662","0.00043"
"1.64400","0.13716","0.00043"
"1.65000","0.13764","0.00040"
"1.65600","0.13811","0.00048"
"1.66200","0.13865","0.00046"
"1.66800","0.13913","0.00039"
"1.67400","0.13961","0.00039"
"1.68000","0.14015","0.00037"
"1.68600","0.14062","0.00036"
"1.69200","0.14110","0.00031"
"1.69800","0.14164","0.00020"
"1.70400","0.14212","0.00017"
"1.71000","0.14260","0.00019"
"1.71600","0.14314","0.00019"
"1.72200","0.14361","0.00028"
"1.72800","0.14415","0.00038"
"1.73400","0.14463","0.00038"
"1.74000","0.14517","0.00041"
"1.74600","0.14571","0.00045"
"1.75200","0.14619","0.00051"
"1.75800","0.14672","0.00051"
"1.76400","0.14720","0.00048"
"1.77000","0.14768","0.00065"
"1.77600","0.14822","0.00082"
"1.78200","0.14870","0.00085"
"1.78800","0.14917","0.00091"
"1.79400","0.14965","0.00087"
"1.80000","0.15019","0.00086"
"1.80600","0.15067","0.00092"
"1.81200","0.15115","0.00091"
"1.81800","0.15169","0.00095"
"1.82400","0.15216","0.00102"
"1.83000","0.15270","0.00099"
"1.83600","0.15318","0.00098"
"1.84200","0.15366","0.00091"
"1.84800","0.15420","0.00076"
"1.85400","0.15468","0.00078"
"1.86000","0.15515","0.00077"
"1.86600","0.15569","0.00068"
"1.87200","0.15617","0.00065"
"1.87800","0.15671","0.00064"
"1.88400","0.15725","0.00067"
"1.89000","0.15772","0.00069"
"1.89600","0.15826","0.00058"
"1.90200","0.15874","0.00046"
"1.90800","0.15922","0.00048"
"1.91400","0.15976","0.00043"
"1.92000","0.16024","0.00043"
"1.92600","0.16071","0.00043"
"1.93200","0.16119","0.00038"
"1.93800","0.16167","0.00036"
"1.94400","0.16215","0.00037"
"1.95000","0.16269","0.00039"
"1.95600","0.16317","0.00043"
"1.96200","0.16364","0.00050"
"1.96800","0.16418","0.00050"
"1.97400","0.16466","0.00045"
"1.98000","0.16520","0.00042"
"1.98600","0.16568","0.00044"
"1.99200","0.16616","0.00045"
"1.99800","0.16669","0.00038"
"2.00400","0.16717","0.00033"
"2.01000","0.16771","0.00029"
"2.01600","0.16825","0.00024"
"2.02200","0.16873","0.00033"
"2.02800","0.16926","0.00037"
"2.03400","0.16974","0.00037"
"2.04000","0.17022","0.00040"
"2.04600","0.17076","0.00037"
"2.05200","0.17124","0.00046"
"2.05800","0.17178","0.00061"
"2.06400","0.17225","0.00065"
"2.07000","0.17273","0.00071"
"2.07600","0.17321","0.00075"
"2.08200","0.17369","0.00065"
"2.08800","0.17423","0.00062"
"2.09400","0.17471","0.00060"
"2.10000","0.17518","0.00053"
"2.10600","0.17566","0.00053"
"2.11200","0.17620","0.00050"
"2.11800","0.17668","0.00046"
"2.12400","0.17716","0.00044"
"2.13000","0.17769","0.00034"
"2.13600","0.17817","0.00040"
"2.14200","0.17865","0.00050"
"2.14800","0.17919","0.00049"
"2.15400","0.17967","0.00049"
"2.16000","0.18021","0.00044"
"2.16600","0.18068","0.00039"
"2.17200","0.18116","0.00045"
"2.17800","0.18170","0.00054"
"2.18400","0.18218","0.00059"
"2.19000","0.18266","0.00068"
"2.19600","0.18320","0.00068"
"2.20200","0.18367","0.00072"
"2.20800","0.18415","0.00080"
"2.21400","0.18469","0.00078"
"2.22000","0.18517","0.00079"
"2.22600","0.18565","0.00075"
"2.23200","0.18618","0.00068"
"2.23800","0.18666","0.00058"
"2.24400","0.18714","0.00054"
"2.25000","0.18768","0.00059"
"2.25600","0.18816","0.00075"
"2.26200","0.18864","0.00084"
"2.26800","0.18911","0.00085"
"2.27400","0.18965","0.00095"
"2.28000","0.19013","0.00097"
"2.28600","0.19067","0.00099"
"2.29200","0.19115","0.00099"
"2.29800","0.19169","0.00084"
"2.30400","0.19216","0.00075"
"2.31000","0.19270","0.00065"
"2.31600","0.19318","0.00054"
"2.32200","0.19372","0.00055"
"2.32800","0.19420","0.00056"
"2.33400","0.19467","0.00059"
"2.34000","0.19521","0.00064"
"2.34600","0.19569","0.00058"
"2.35200","0.19617","0.00061"
"2.35800","0.19671","0.00062"
"2.36400","0.19719","0.00058"
"2.37000","0.19772","0.00065"
"2.37600","0.19820","0.00080"
"2.38200","0.19868","0.00087"
"2.38800","0.19922","0.00104"
"2.39400","0.19970","0.00111"
"2.40000","0.20018","0.00111"
"2.40600","0.20071","0.00111"
"2.41200","0.20119","0.00104"
"2.41800","0.20173","0.00093"
"2.42400","0.20221","0.00085"
"2.43000","0.20269","0.00071"
"2.43600","0.20322","0.00059"
"2.44200","0.20370","0.00058"
"2.44800","0.20424","0.00052"
"2.45400","0.20472","0.00054"
"2.46000","0.20526","0.00058"
"2.46600","0.20574","0.00059"
"2.47200","0.20621","0.00061"
"2.47800","0.20675","0.00066"
"2.48400","0.20723","0.00070"
"2.49000","0.20771","0.00070"
"2.49600","0.20825","0.00066"
"2.50200","0.20873","0.00068"
"2.50800","0.20920","0.00071"
"2.51400","0.20974","0.00071"
"2.52000","0.21022","0.00069"
"2.52600","0.21076","0.00065"
"2.53200","0.21124","0.00064"
"2.53800","0.21171","0.00074"
"2.54400","0.21225","0.00086"
"2.55000","0.21273","0.00091"
"2.55600","0.21321","0.00093"
"2.56200","0.21375","0.00081"
"2.56800","0.21423","0.00069"
"2.57400","0.21470","0.00061"
"2.58000","0.21524","0.00052"
"2.58600","0.21572","0.00054"
"2.59200","0.21620","0.00060"
"2.59800","0.21674","0.00058"
"2.60400","0.21722","0.00047"
"2.61000","0.21775","0.00044"
"2.61600","0.21823","0.00051"
"2.62200","0.21871","0.00058"
"2.62800","0.21925","0.00064"
"2.63400","0.21973","0.00073"
"2.64000","0.22020","0.00084"
"2.64600","0.22074","0.00079"
"2.65200","0.22122","0.00076"
"2.65800","0.22170","0.00077"
"2.66400","0.22224","0.00074"
"2.67000","0.22272","0.00064"
"2.67600","0.22319","0.00058"
"2.68200","0.22367","0.00052"
"2.68800","0.22421","0.00060"
"2.69400","0.22469","0.00069"
"2.70000","0.22517","0.00068"
"2.70600","0.22571","0.00072"
"2.71200","0.22618","0.00073"
"2.71800","0.22666","0.00079"
"2.72400","0.22720","0.00087"
"2.73000","0.22768","0.00086"
"2.73600","0.22822","0.00074"
"2.74200","0.22869","0.00065"
"2.74800","0.22917","0.00050"
"2.75400","0.22971","0.00047"
