End date,"12/23/2016"
Specimen label,"23BG_84"
Maximum Load,"1.42711",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","-0.00050"
"0.00600","0.00000","-0.00048"
"0.01200","0.00000","-0.00039"
"0.01800","0.00012","-0.00035"
"0.02400","0.00018","-0.00043"
"0.03000","0.00030","-0.00046"
"0.03600","0.00048","-0.00050"
"0.04200","0.00060","-0.00065"
"0.04800","0.00084","-0.00071"
"0.05400","0.00108","-0.00072"
"0.06000","0.00132","-0.00069"
"0.06600","0.00161","-0.00061"
"0.07200","0.00191","-0.00061"
"0.07800","0.00227","-0.00055"
"0.08400","0.00269","-0.00058"
"0.09000","0.00311","-0.00066"
"0.09600","0.00353","-0.00066"
"0.10200","0.00401","-0.00058"
"0.10800","0.00448","-0.00054"
"0.11400","0.00502","-0.00037"
"0.12000","0.00556","-0.00030"
"0.12600","0.00616","-0.00029"
"0.13200","0.00676","-0.00027"
"0.13800","0.00735","-0.00030"
"0.14400","0.00795","-0.00024"
"0.15000","0.00861","-0.00019"
"0.15600","0.00921","-0.00027"
"0.16200","0.00987","-0.00025"
"0.16800","0.01052","-0.00018"
"0.17400","0.01118","-0.00016"
"0.18000","0.01184","-0.00010"
"0.18600","0.01250","-0.00003"
"0.19200","0.01315","-0.00002"
"0.19800","0.01381","-0.00005"
"0.20400","0.01453","-0.00008"
"0.21000","0.01519","-0.00001"
"0.21600","0.01584","0.00010"
"0.22200","0.01650","0.00007"
"0.22800","0.01716","0.00004"
"0.23400","0.01782","0.00001"
"0.24000","0.01842","-0.00017"
"0.24600","0.01907","-0.00031"
"0.25200","0.01973","-0.00040"
"0.25800","0.02039","-0.00042"
"0.26400","0.02099","-0.00035"
"0.27000","0.02158","-0.00028"
"0.27600","0.02218","-0.00006"
"0.28200","0.02278","0.00019"
"0.28800","0.02338","0.00029"
"0.29400","0.02398","0.00040"
"0.30000","0.02457","0.00033"
"0.30600","0.02517","0.00019"
"0.31200","0.02571","0.00009"
"0.31800","0.02631","0.00006"
"0.32400","0.02691","0.00005"
"0.33000","0.02744","0.00009"
"0.33600","0.02804","0.00003"
"0.34200","0.02858","-0.00006"
"0.34800","0.02906","-0.00003"
"0.35400","0.02960","0.00007"
"0.36000","0.03013","0.00031"
"0.36600","0.03067","0.00055"
"0.37200","0.03121","0.00063"
"0.37800","0.03175","0.00070"
"0.38400","0.03223","0.00078"
"0.39000","0.03276","0.00076"
"0.39600","0.03330","0.00077"
"0.40200","0.03378","0.00070"
"0.40800","0.03426","0.00057"
"0.41400","0.03480","0.00055"
"0.42000","0.03528","0.00047"
"0.42600","0.03581","0.00041"
"0.43200","0.03629","0.00035"
"0.43800","0.03677","0.00027"
"0.44400","0.03731","0.00035"
"0.45000","0.03785","0.00040"
"0.45600","0.03833","0.00043"
"0.46200","0.03886","0.00048"
"0.46800","0.03934","0.00042"
"0.47400","0.03982","0.00042"
"0.48000","0.04036","0.00051"
"0.48600","0.04084","0.00047"
"0.49200","0.04131","0.00036"
"0.49800","0.04179","0.00043"
"0.50400","0.04227","0.00046"
"0.51000","0.04275","0.00056"
"0.51600","0.04323","0.00066"
"0.52200","0.04377","0.00067"
"0.52800","0.04424","0.00069"
"0.53400","0.04472","0.00067"
"0.54000","0.04526","0.00063"
"0.54600","0.04574","0.00069"
"0.55200","0.04622","0.00079"
"0.55800","0.04676","0.00088"
"0.56400","0.04723","0.00097"
"0.57000","0.04771","0.00092"
"0.57600","0.04825","0.00092"
"0.58200","0.04873","0.00099"
"0.58800","0.04927","0.00109"
"0.59400","0.04974","0.00110"
"0.60000","0.05028","0.00107"
"0.60600","0.05076","0.00104"
"0.61200","0.05124","0.00108"
"0.61800","0.05178","0.00104"
"0.62400","0.05226","0.00098"
"0.63000","0.05273","0.00091"
"0.63600","0.05327","0.00083"
"0.64200","0.05375","0.00084"
"0.64800","0.05423","0.00094"
"0.65400","0.05471","0.00096"
"0.66000","0.05525","0.00101"
"0.66600","0.05572","0.00102"
"0.67200","0.05620","0.00088"
"0.67800","0.05674","0.00089"
"0.68400","0.05722","0.00093"
"0.69000","0.05776","0.00091"
"0.69600","0.05824","0.00093"
"0.70200","0.05877","0.00099"
"0.70800","0.05925","0.00109"
"0.71400","0.05973","0.00128"
"0.72000","0.06027","0.00135"
"0.72600","0.06081","0.00147"
"0.73200","0.06128","0.00157"
"0.73800","0.06176","0.00152"
"0.74400","0.06230","0.00151"
"0.75000","0.06278","0.00145"
"0.75600","0.06326","0.00128"
"0.76200","0.06380","0.00129"
"0.76800","0.06427","0.00127"
"0.77400","0.06481","0.00125"
"0.78000","0.06529","0.00119"
"0.78600","0.06577","0.00114"
"0.79200","0.06625","0.00107"
"0.79800","0.06678","0.00109"
"0.80400","0.06726","0.00108"
"0.81000","0.06774","0.00111"
"0.81600","0.06828","0.00116"
"0.82200","0.06876","0.00112"
"0.82800","0.06924","0.00109"
"0.83400","0.06977","0.00110"
"0.84000","0.07025","0.00112"
"0.84600","0.07079","0.00116"
"0.85200","0.07127","0.00125"
"0.85800","0.07181","0.00147"
"0.86400","0.07229","0.00169"
"0.87000","0.07276","0.00173"
"0.87600","0.07330","0.00168"
"0.88200","0.07378","0.00162"
"0.88800","0.07426","0.00147"
"0.89400","0.07480","0.00148"
"0.90000","0.07528","0.00158"
"0.90600","0.07575","0.00160"
"0.91200","0.07629","0.00158"
"0.91800","0.07677","0.00156"
"0.92400","0.07725","0.00150"
"0.93000","0.07773","0.00151"
"0.93600","0.07826","0.00147"
"0.94200","0.07874","0.00133"
"0.94800","0.07922","0.00122"
"0.95400","0.07976","0.00115"
"0.96000","0.08024","0.00117"
"0.96600","0.08072","0.00130"
"0.97200","0.08125","0.00138"
"0.97800","0.08173","0.00151"
"0.98400","0.08221","0.00159"
"0.99000","0.08275","0.00157"
"0.99600","0.08323","0.00164"
"1.00200","0.08371","0.00165"
"1.00800","0.08424","0.00162"
"1.01400","0.08472","0.00165"
"1.02000","0.08526","0.00158"
"1.02600","0.08574","0.00155"
"1.03200","0.08622","0.00165"
"1.03800","0.08675","0.00160"
"1.04400","0.08723","0.00153"
"1.05000","0.08771","0.00146"
"1.05600","0.08819","0.00136"
"1.06200","0.08867","0.00138"
"1.06800","0.08921","0.00144"
"1.07400","0.08968","0.00147"
