End date,"12/23/2016"
Specimen label,"21AT_UNK"
Maximum Load,"0.00834",N

Time,Extension,Load
(s),(mm),(N)
"1.05000","0.08765","-0.00005"
"1.05600","0.08813","-0.00010"
"1.06200","0.08867","-0.00010"
"1.06800","0.08915","-0.00009"
"1.07400","0.08968","-0.00016"
"1.08000","0.09016","-0.00018"
"1.08600","0.09064","-0.00023"
"1.09200","0.09118","-0.00032"
"1.09800","0.09166","-0.00022"
"1.10400","0.09214","-0.00016"
"1.11000","0.09267","-0.00011"
"1.11600","0.09315","-0.00005"
"1.12200","0.09363","-0.00009"
"1.12800","0.09417","-0.00003"
"1.13400","0.09465","0.00001"
"1.14000","0.09513","0.00004"
"1.14600","0.09566","0.00017"
"1.15200","0.09614","0.00021"
"1.15800","0.09668","0.00015"
"1.16400","0.09722","0.00014"
"1.17000","0.09770","0.00002"
"1.17600","0.09817","-0.00013"
"1.18200","0.09865","-0.00019"
"1.18800","0.09919","-0.00026"
"1.19400","0.09967","-0.00034"
"1.20000","0.10015","-0.00044"
"1.20600","0.10069","-0.00058"
"1.21200","0.10116","-0.00057"
"1.21800","0.10164","-0.00051"
"1.22400","0.10218","-0.00048"
"1.23000","0.10266","-0.00040"
"1.23600","0.10314","-0.00034"
"1.24200","0.10362","-0.00030"
"1.24800","0.10415","-0.00016"
"1.25400","0.10463","-0.00011"
"1.26000","0.10517","-0.00020"
"1.26600","0.10565","-0.00025"
"1.27200","0.10613","-0.00030"
"1.27800","0.10660","-0.00032"
"1.28400","0.10714","-0.00033"
"1.29000","0.10762","-0.00032"
"1.29600","0.10816","-0.00024"
"1.30200","0.10870","-0.00014"
"1.30800","0.10918","-0.00005"
"1.31400","0.10965","0.00010"
"1.32000","0.11013","0.00017"
"1.32600","0.11067","0.00017"
"1.33200","0.11115","0.00010"
"1.33800","0.11163","0.00000"
"1.34400","0.11211","-0.00002"
"1.35000","0.11264","0.00000"
"1.35600","0.11312","-0.00007"
"1.36200","0.11360","-0.00005"
"1.36800","0.11414","-0.00006"
"1.37400","0.11462","-0.00011"
"1.38000","0.11515","-0.00007"
"1.38600","0.11563","-0.00002"
"1.39200","0.11611","-0.00001"
"1.39800","0.11665","-0.00012"
"1.40400","0.11713","-0.00026"
"1.41000","0.11761","-0.00027"
"1.41600","0.11814","-0.00016"
"1.42200","0.11862","-0.00012"
"1.42800","0.11910","-0.00010"
"1.43400","0.11964","-0.00011"
"1.44000","0.12012","-0.00018"
"1.44600","0.12060","-0.00013"
"1.45200","0.12113","-0.00012"
"1.45800","0.12161","-0.00015"
"1.46400","0.12209","-0.00008"
"1.47000","0.12263","-0.00005"
"1.47600","0.12311","-0.00009"
"1.48200","0.12358","-0.00017"
"1.48800","0.12412","-0.00017"
"1.49400","0.12460","-0.00009"
"1.50000","0.12508","-0.00007"
"1.50600","0.12562","-0.00021"
"1.51200","0.12610","-0.00033"
"1.51800","0.12663","-0.00050"
"1.52400","0.12711","-0.00061"
"1.53000","0.12765","-0.00055"
"1.53600","0.12813","-0.00053"
"1.54200","0.12867","-0.00048"
"1.54800","0.12915","-0.00037"
"1.55400","0.12962","-0.00031"
"1.56000","0.13016","-0.00023"
"1.56600","0.13064","-0.00014"
"1.57200","0.13118","-0.00002"
"1.57800","0.13166","0.00009"
"1.58400","0.13213","0.00014"
"1.59000","0.13267","0.00007"
"1.59600","0.13321","0.00007"
"1.60200","0.13369","0.00005"
"1.60800","0.13417","-0.00006"
"1.61400","0.13471","-0.00005"
"1.62000","0.13518","-0.00005"
"1.62600","0.13566","-0.00014"
"1.63200","0.13614","-0.00018"
"1.63800","0.13668","-0.00020"
"1.64400","0.13716","-0.00028"
"1.65000","0.13764","-0.00033"
"1.65600","0.13811","-0.00032"
"1.66200","0.13865","-0.00021"
"1.66800","0.13913","-0.00013"
"1.67400","0.13961","-0.00013"
"1.68000","0.14009","-0.00005"
"1.68600","0.14062","0.00003"
"1.69200","0.14110","0.00006"
"1.69800","0.14164","0.00008"
"1.70400","0.14212","0.00011"
"1.71000","0.14260","0.00014"
