"","V1","V2","V3"
"1","End date","1/8/2017",""
"2","Specimen label","11AT_86",""
"3","Maximum Load","0.17094","N"
"4","Time","Extension","Load"
"5","(s)","(mm)","(N)"
"6","0.00000","0.00000","-0.00013"
"7","0.00600","0.00000","-0.00024"
"8","0.01200","0.00006","-0.00027"
"9","0.01800","0.00012","-0.00020"
"10","0.02400","0.00024","-0.00006"
"11","0.03000","0.00036","0.00010"
"12","0.03600","0.00054","0.00026"
"13","0.04200","0.00072","0.00037"
"14","0.04800","0.00096","0.00043"
"15","0.05400","0.00120","0.00041"
"16","0.06000","0.00149","0.00032"
"17","0.06600","0.00179","0.00021"
"18","0.07200","0.00209","0.00013"
"19","0.07800","0.00251","0.00003"
"20","0.08400","0.00287","0.00004"
"21","0.09000","0.00329","0.00011"
"22","0.09600","0.00371","0.00008"
"23","0.10200","0.00419","0.00008"
"24","0.10800","0.00466","0.00009"
"25","0.11400","0.00520","0.00030"
"26","0.12000","0.00568","0.00054"
"27","0.12600","0.00622","0.00060"
"28","0.13200","0.00682","0.00059"
"29","0.13800","0.00741","0.00053"
"30","0.14400","0.00801","0.00044"
"31","0.15000","0.00861","0.00046"
"32","0.15600","0.00921","0.00053"
"33","0.16200","0.00987","0.00061"
"34","0.16800","0.01052","0.00062"
"35","0.17400","0.01112","0.00055"
"36","0.18000","0.01178","0.00042"
"37","0.18600","0.01244","0.00028"
"38","0.19200","0.01309","0.00026"
"39","0.19800","0.01375","0.00022"
"40","0.20400","0.01441","0.00017"
"41","0.21000","0.01507","0.00012"
"42","0.21600","0.01572","-0.00005"
"43","0.22200","0.01638","-0.00026"
"44","0.22800","0.01704","-0.00049"
"45","0.23400","0.01764","-0.00060"
"46","0.24000","0.01830","-0.00051"
"47","0.24600","0.01895","-0.00032"
"48","0.25200","0.01955","-0.00023"
"49","0.25800","0.02021","-0.00029"
"50","0.26400","0.02081","-0.00024"
"51","0.27000","0.02140","-0.00006"
"52","0.27600","0.02206","0.00020"
"53","0.28200","0.02266","0.00044"
"54","0.28800","0.02326","0.00065"
"55","0.29400","0.02380","0.00067"
"56","0.30000","0.02439","0.00049"
"57","0.30600","0.02499","0.00027"
"58","0.31200","0.02553","0.00015"
"59","0.31800","0.02613","0.00015"
"60","0.32400","0.02667","0.00015"
"61","0.33000","0.02720","0.00012"
"62","0.33600","0.02780","0.00012"
"63","0.34200","0.02834","0.00009"
"64","0.34800","0.02888","-0.00001"
"65","0.35400","0.02942","0.00006"
"66","0.36000","0.02989","0.00015"
"67","0.36600","0.03043","0.00018"
"68","0.37200","0.03097","0.00021"
"69","0.37800","0.03151","0.00019"
"70","0.38400","0.03205","0.00013"
"71","0.39000","0.03253","0.00013"
"72","0.39600","0.03306","0.00018"
"73","0.40200","0.03360","0.00028"
"74","0.40800","0.03408","0.00039"
"75","0.41400","0.03462","0.00040"
"76","0.42000","0.03510","0.00046"
"77","0.42600","0.03563","0.00049"
"78","0.43200","0.03611","0.00039"
"79","0.43800","0.03665","0.00034"
"80","0.44400","0.03713","0.00040"
"81","0.45000","0.03767","0.00044"
"82","0.45600","0.03815","0.00045"
"83","0.46200","0.03862","0.00049"
"84","0.46800","0.03916","0.00050"
"85","0.47400","0.03964","0.00049"
"86","0.48000","0.04012","0.00038"
"87","0.48600","0.04066","0.00019"
"88","0.49200","0.04114","0.00005"
"89","0.49800","0.04167","-0.00010"
"90","0.50400","0.04215","-0.00019"
"91","0.51000","0.04269","-0.00022"
"92","0.51600","0.04317","-0.00020"
"93","0.52200","0.04365","-0.00027"
"94","0.52800","0.04418","-0.00026"
"95","0.53400","0.04466","-0.00019"
"96","0.54000","0.04520","-0.00013"
"97","0.54600","0.04568","-0.00008"
"98","0.55200","0.04622","0.00003"
"99","0.55800","0.04670","0.00017"
"100","0.56400","0.04717","0.00019"
"101","0.57000","0.04771","0.00014"
"102","0.57600","0.04819","0.00006"
"103","0.58200","0.04867","-0.00003"
"104","0.58800","0.04921","-0.00011"
"105","0.59400","0.04969","-0.00002"
"106","0.60000","0.05022","0.00004"
"107","0.60600","0.05070","0.00011"
"108","0.61200","0.05124","0.00018"
"109","0.61800","0.05172","0.00011"
"110","0.62400","0.05220","0.00007"
"111","0.63000","0.05273","0.00007"
"112","0.63600","0.05321","0.00008"
"113","0.64200","0.05369","0.00003"
"114","0.64800","0.05417","-0.00004"
"115","0.65400","0.05471","0.00000"
"116","0.66000","0.05519","0.00007"
"117","0.66600","0.05566","0.00001"
"118","0.67200","0.05620","-0.00002"
"119","0.67800","0.05668","0.00000"
"120","0.68400","0.05716","-0.00003"
"121","0.69000","0.05770","-0.00009"
"122","0.69600","0.05818","-0.00009"
"123","0.70200","0.05865","-0.00008"
"124","0.70800","0.05913","-0.00006"
"125","0.71400","0.05961","0.00005"
"126","0.72000","0.06015","0.00010"
"127","0.72600","0.06063","0.00008"
"128","0.73200","0.06110","0.00004"
"129","0.73800","0.06164","0.00002"
"130","0.74400","0.06212","-0.00001"
"131","0.75000","0.06266","0.00000"
"132","0.75600","0.06314","0.00002"
"133","0.76200","0.06368","0.00005"
"134","0.76800","0.06421","-0.00002"
"135","0.77400","0.06469","-0.00001"
"136","0.78000","0.06517","0.00016"
"137","0.78600","0.06571","0.00029"
"138","0.79200","0.06619","0.00045"
"139","0.79800","0.06667","0.00059"
"140","0.80400","0.06714","0.00070"
"141","0.81000","0.06768","0.00077"
"142","0.81600","0.06816","0.00073"
"143","0.82200","0.06870","0.00076"
"144","0.82800","0.06918","0.00069"
"145","0.83400","0.06965","0.00052"
"146","0.84000","0.07013","0.00028"
"147","0.84600","0.07061","0.00021"
"148","0.85200","0.07115","0.00031"
"149","0.85800","0.07163","0.00034"
"150","0.86400","0.07211","0.00039"
"151","0.87000","0.07264","0.00031"
"152","0.87600","0.07312","0.00027"
"153","0.88200","0.07366","0.00014"
"154","0.88800","0.07414","0.00009"
"155","0.89400","0.07468","0.00017"
"156","0.90000","0.07516","0.00018"
"157","0.90600","0.07569","0.00015"
"158","0.91200","0.07617","0.00012"
"159","0.91800","0.07665","0.00011"
"160","0.92400","0.07713","0.00007"
"161","0.93000","0.07761","0.00004"
"162","0.93600","0.07809","0.00003"
"163","0.94200","0.07862","0.00003"
"164","0.94800","0.07910","-0.00003"
"165","0.95400","0.07958","-0.00008"
"166","0.96000","0.08006","0.00003"
"167","0.96600","0.08060","0.00015"
"168","0.97200","0.08107","0.00030"
"169","0.97800","0.08155","0.00034"
"170","0.98400","0.08209","0.00017"
"171","0.99000","0.08257","0.00007"
"172","0.99600","0.08305","0.00017"
"173","1.00200","0.08359","0.00032"
"174","1.00800","0.08406","0.00048"
"175","1.01400","0.08460","0.00056"
