"","V1","V2","V3"
"1","End date","11/14/2016",""
"2","Specimen label","20BT63.2.r2",""
"3","Maximum Load","0.05861","N"
"4","Time","Extension","Load"
"5","(s)","(mm)","(N)"
"6","0.00000","19.54173","0.00819"
"7","0.00600","19.54173","0.00820"
"8","0.01200","19.54173","0.00808"
"9","0.01800","19.54179","0.00794"
"10","0.02400","19.54191","0.00773"
"11","0.03000","19.54203","0.00741"
"12","0.03600","19.54215","0.00701"
"13","0.04200","19.54233","0.00676"
"14","0.04800","19.54251","0.00678"
"15","0.05400","19.54275","0.00685"
"16","0.06000","19.54299","0.00714"
"17","0.06600","19.54322","0.00745"
"18","0.07200","19.54353","0.00763"
"19","0.07800","19.54382","0.00771"
"20","0.08400","19.54418","0.00749"
"21","0.09000","19.54454","0.00726"
"22","0.09600","19.54490","0.00712"
"23","0.10200","19.54532","0.00710"
"24","0.10800","19.54580","0.00713"
"25","0.11400","19.54627","0.00723"
"26","0.12000","19.54681","0.00738"
"27","0.12600","19.54735","0.00731"
"28","0.13200","19.54789","0.00715"
"29","0.13800","19.54849","0.00706"
"30","0.14400","19.54909","0.00710"
"31","0.15000","19.54974","0.00709"
"32","0.15600","19.55034","0.00717"
"33","0.16200","19.55100","0.00726"
"34","0.16800","19.55165","0.00728"
"35","0.17400","19.55231","0.00725"
"36","0.18000","19.55297","0.00715"
"37","0.18600","19.55369","0.00708"
"38","0.19200","19.55435","0.00702"
"39","0.19800","19.55506","0.00702"
"40","0.20400","19.55572","0.00705"
"41","0.21000","19.55638","0.00691"
"42","0.21600","19.55704","0.00669"
"43","0.22200","19.55769","0.00649"
"44","0.22800","19.55841","0.00635"
"45","0.23400","19.55907","0.00628"
"46","0.24000","19.55973","0.00619"
"47","0.24600","19.56038","0.00608"
"48","0.25200","19.56104","0.00604"
"49","0.25800","19.56170","0.00624"
"50","0.26400","19.56236","0.00647"
"51","0.27000","19.56295","0.00651"
"52","0.27600","19.56355","0.00641"
"53","0.28200","19.56421","0.00644"
"54","0.28800","19.56481","0.00651"
"55","0.29400","19.56541","0.00649"
"56","0.30000","19.56601","0.00638"
"57","0.30600","19.56660","0.00632"
"58","0.31200","19.56720","0.00648"
"59","0.31800","19.56780","0.00647"
"60","0.32400","19.56840","0.00628"
"61","0.33000","19.56893","0.00616"
"62","0.33600","19.56953","0.00620"
"63","0.34200","19.57007","0.00619"
"64","0.34800","19.57067","0.00639"
"65","0.35400","19.57121","0.00664"
"66","0.36000","19.57174","0.00671"
"67","0.36600","19.57228","0.00664"
"68","0.37200","19.57282","0.00645"
"69","0.37800","19.57336","0.00624"
"70","0.38400","19.57390","0.00617"
"71","0.39000","19.57444","0.00628"
"72","0.39600","19.57497","0.00659"
"73","0.40200","19.57551","0.00689"
"74","0.40800","19.57599","0.00704"
"75","0.41400","19.57653","0.00709"
"76","0.42000","19.57701","0.00714"
"77","0.42600","19.57754","0.00713"
"78","0.43200","19.57802","0.00726"
"79","0.43800","19.57850","0.00745"
"80","0.44400","19.57904","0.00754"
"81","0.45000","19.57952","0.00738"
"82","0.45600","19.58000","0.00709"
"83","0.46200","19.58053","0.00690"
"84","0.46800","19.58101","0.00695"
"85","0.47400","19.58149","0.00725"
"86","0.48000","19.58203","0.00757"
"87","0.48600","19.58251","0.00782"
"88","0.49200","19.58298","0.00783"
"89","0.49800","19.58352","0.00775"
"90","0.50400","19.58400","0.00769"
"91","0.51000","19.58448","0.00752"
"92","0.51600","19.58502","0.00725"
"93","0.52200","19.58549","0.00707"
"94","0.52800","19.58597","0.00712"
"95","0.53400","19.58645","0.00706"
"96","0.54000","19.58693","0.00686"
"97","0.54600","19.58747","0.00668"
"98","0.55200","19.58795","0.00668"
"99","0.55800","19.58843","0.00661"
"100","0.56400","19.58890","0.00655"
"101","0.57000","19.58938","0.00680"
"102","0.57600","19.58986","0.00721"
"103","0.58200","19.59040","0.00754"
"104","0.58800","19.59088","0.00766"
"105","0.59400","19.59136","0.00771"
"106","0.60000","19.59184","0.00765"
"107","0.60600","19.59231","0.00761"
"108","0.61200","19.59285","0.00766"
"109","0.61800","19.59333","0.00759"
"110","0.62400","19.59386","0.00754"
"111","0.63000","19.59435","0.00761"
"112","0.63600","19.59488","0.00769"
"113","0.64200","19.59536","0.00773"
"114","0.64800","19.59584","0.00786"
"115","0.65400","19.59638","0.00811"
"116","0.66000","19.59686","0.00816"
"117","0.66600","19.59739","0.00827"
"118","0.67200","19.59787","0.00838"
"119","0.67800","19.59841","0.00844"
"120","0.68400","19.59889","0.00834"
"121","0.69000","19.59937","0.00813"
"122","0.69600","19.59984","0.00783"
"123","0.70200","19.60038","0.00778"
"124","0.70800","19.60086","0.00781"
"125","0.71400","19.60140","0.00792"
"126","0.72000","19.60188","0.00790"
"127","0.72600","19.60236","0.00761"
"128","0.73200","19.60283","0.00740"
"129","0.73800","19.60337","0.00699"
"130","0.74400","19.60385","0.00670"
"131","0.75000","19.60433","0.00661"
"132","0.75600","19.60481","0.00668"
"133","0.76200","19.60535","0.00676"
"134","0.76800","19.60582","0.00681"
"135","0.77400","19.60636","0.00684"
"136","0.78000","19.60684","0.00674"
"137","0.78600","19.60738","0.00639"
"138","0.79200","19.60792","0.00607"
"139","0.79800","19.60839","0.00604"
"140","0.80400","19.60893","0.00618"
"141","0.81000","19.60941","0.00642"
"142","0.81600","19.60989","0.00679"
"143","0.82200","19.61043","0.00703"
"144","0.82800","19.61091","0.00691"
"145","0.83400","19.61138","0.00671"
"146","0.84000","19.61192","0.00665"
"147","0.84600","19.61240","0.00677"
"148","0.85200","19.61288","0.00684"
"149","0.85800","19.61342","0.00699"
"150","0.86400","19.61390","0.00713"
"151","0.87000","19.61437","0.00710"
"152","0.87600","19.61491","0.00682"
"153","0.88200","19.61539","0.00663"
"154","0.88800","19.61587","0.00642"
"155","0.89400","19.61641","0.00632"
"156","0.90000","19.61689","0.00638"
"157","0.90600","19.61736","0.00630"
"158","0.91200","19.61790","0.00630"
"159","0.91800","19.61838","0.00643"
"160","0.92400","19.61886","0.00678"
"161","0.93000","19.61940","0.00706"
"162","0.93600","19.61993","0.00698"
"163","0.94200","19.62041","0.00686"
"164","0.94800","19.62095","0.00673"
"165","0.95400","19.62143","0.00671"
"166","0.96000","19.62197","0.00673"
"167","0.96600","19.62245","0.00668"
"168","0.97200","19.62299","0.00650"
"169","0.97800","19.62346","0.00625"
"170","0.98400","19.62394","0.00608"
"171","0.99000","19.62442","0.00605"
"172","0.99600","19.62496","0.00589"
"173","1.00200","19.62544","0.00588"
"174","1.00800","19.62591","0.00596"
"175","1.01400","19.62639","0.00598"
"176","1.02000","19.62693","0.00618"
"177","1.02600","19.62741","0.00643"
"178","1.03200","19.62789","0.00679"
"179","1.03800","19.62843","0.00705"
"180","1.04400","19.62890","0.00717"
"181","1.05000","19.62938","0.00725"
"182","1.05600","19.62992","0.00748"
"183","1.06200","19.63040","0.00780"
"184","1.06800","19.63087","0.00803"
"185","1.07400","19.63142","0.00813"
"186","1.08000","19.63189","0.00820"
"187","1.08600","19.63243","0.00819"
"188","1.09200","19.63291","0.00803"
"189","1.09800","19.63339","0.00784"
"190","1.10400","19.63393","0.00760"
"191","1.11000","19.63441","0.00711"
"192","1.11600","19.63488","0.00677"
"193","1.12200","19.63542","0.00638"
"194","1.12800","19.63590","0.00616"
"195","1.13400","19.63638","0.00624"
"196","1.14000","19.63685","0.00659"
"197","1.14600","19.63733","0.00711"
"198","1.15200","19.63781","0.00747"
"199","1.15800","19.63829","0.00759"
"200","1.16400","19.63883","0.00768"
"201","1.17000","19.63931","0.00780"
"202","1.17600","19.63979","0.00786"
"203","1.18200","19.64033","0.00782"
"204","1.18800","19.64080","0.00785"
"205","1.19400","19.64128","0.00784"
"206","1.20000","19.64182","0.00767"
"207","1.20600","19.64230","0.00752"
"208","1.21200","19.64283","0.00738"
"209","1.21800","19.64331","0.00729"
"210","1.22400","19.64379","0.00728"
"211","1.23000","19.64433","0.00733"
"212","1.23600","19.64481","0.00762"
"213","1.24200","19.64528","0.00791"
"214","1.24800","19.64582","0.00823"
"215","1.25400","19.64630","0.00853"
"216","1.26000","19.64684","0.00872"
"217","1.26600","19.64732","0.00888"
"218","1.27200","19.64780","0.00889"
"219","1.27800","19.64834","0.00883"
"220","1.28400","19.64881","0.00864"
"221","1.29000","19.64935","0.00829"
"222","1.29600","19.64983","0.00786"
"223","1.30200","19.65031","0.00751"
"224","1.30800","19.65085","0.00750"
"225","1.31400","19.65138","0.00754"
"226","1.32000","19.65186","0.00754"
"227","1.32600","19.65234","0.00742"
"228","1.33200","19.65288","0.00736"
"229","1.33800","19.65336","0.00722"
"230","1.34400","19.65384","0.00706"
"231","1.35000","19.65437","0.00697"
"232","1.35600","19.65485","0.00685"
"233","1.36200","19.65539","0.00660"
"234","1.36800","19.65587","0.00651"
"235","1.37400","19.65640","0.00658"
"236","1.38000","19.65689","0.00665"
"237","1.38600","19.65742","0.00678"
"238","1.39200","19.65790","0.00676"
"239","1.39800","19.65838","0.00676"
"240","1.40400","19.65892","0.00684"
"241","1.41000","19.65940","0.00698"
"242","1.41600","19.65988","0.00707"
"243","1.42200","19.66041","0.00715"
"244","1.42800","19.66089","0.00734"
"245","1.43400","19.66143","0.00750"
"246","1.44000","19.66191","0.00742"
"247","1.44600","19.66245","0.00740"
