"","V1","V2","V3"
"1","End date","11/14/2016",""
"2","Specimen label","20AG64U",""
"3","Maximum Load","0.26425","N"
"4","Time","Extension","Load"
"5","(s)","(mm)","(N)"
"168","0.97200","0.08125","0.00178"
"169","0.97800","0.08173","0.00174"
"170","0.98400","0.08227","0.00162"
"171","0.99000","0.08275","0.00148"
"172","0.99600","0.08323","0.00140"
"173","1.00200","0.08377","0.00136"
"174","1.00800","0.08424","0.00139"
"175","1.01400","0.08472","0.00139"
"176","1.02000","0.08526","0.00124"
"177","1.02600","0.08574","0.00109"
"178","1.03200","0.08622","0.00109"
"179","1.03800","0.08675","0.00121"
"180","1.04400","0.08723","0.00125"
"181","1.05000","0.08777","0.00134"
"182","1.05600","0.08825","0.00139"
"183","1.06200","0.08873","0.00145"
"184","1.06800","0.08927","0.00156"
"185","1.07400","0.08974","0.00165"
"186","1.08000","0.09022","0.00177"
"187","1.08600","0.09076","0.00195"
"188","1.09200","0.09124","0.00213"
"189","1.09800","0.09178","0.00219"
"190","1.10400","0.09226","0.00205"
"191","1.11000","0.09273","0.00190"
"192","1.11600","0.09327","0.00164"
"193","1.12200","0.09375","0.00144"
"194","1.12800","0.09423","0.00141"
"195","1.13400","0.09477","0.00152"
"196","1.14000","0.09524","0.00157"
"197","1.14600","0.09572","0.00151"
"198","1.15200","0.09626","0.00144"
"199","1.15800","0.09674","0.00153"
"200","1.16400","0.09722","0.00176"
"201","1.17000","0.09770","0.00190"
"202","1.17600","0.09823","0.00185"
"203","1.18200","0.09871","0.00183"
"204","1.18800","0.09919","0.00176"
"205","1.19400","0.09973","0.00167"
"206","1.20000","0.10021","0.00166"
"207","1.20600","0.10069","0.00156"
"208","1.21200","0.10116","0.00145"
"209","1.21800","0.10170","0.00139"
"210","1.22400","0.10218","0.00138"
"211","1.23000","0.10266","0.00145"
"212","1.23600","0.10320","0.00158"
"213","1.24200","0.10368","0.00176"
"214","1.24800","0.10415","0.00206"
"215","1.25400","0.10469","0.00228"
"216","1.26000","0.10517","0.00243"
"217","1.26600","0.10565","0.00249"
"218","1.27200","0.10619","0.00243"
"219","1.27800","0.10666","0.00234"
"220","1.28400","0.10720","0.00216"
"221","1.29000","0.10768","0.00214"
"222","1.29600","0.10816","0.00220"
"223","1.30200","0.10870","0.00221"
"224","1.30800","0.10918","0.00232"
"225","1.31400","0.10971","0.00234"
"226","1.32000","0.11019","0.00227"
"227","1.32600","0.11073","0.00226"
"228","1.33200","0.11121","0.00232"
"229","1.33800","0.11175","0.00233"
"230","1.34400","0.11222","0.00230"
"231","1.35000","0.11276","0.00219"
"232","1.35600","0.11324","0.00212"
"233","1.36200","0.11378","0.00202"
"234","1.36800","0.11426","0.00182"
"235","1.37400","0.11474","0.00166"
"236","1.38000","0.11527","0.00164"
"237","1.38600","0.11575","0.00160"
"238","1.39200","0.11629","0.00162"
"239","1.39800","0.11677","0.00169"
"240","1.40400","0.11725","0.00182"
"241","1.41000","0.11779","0.00185"
"242","1.41600","0.11826","0.00191"
"243","1.42200","0.11880","0.00197"
"244","1.42800","0.11928","0.00203"
"245","1.43400","0.11976","0.00198"
"246","1.44000","0.12024","0.00181"
"247","1.44600","0.12077","0.00182"
"248","1.45200","0.12125","0.00201"
"249","1.45800","0.12173","0.00226"
"250","1.46400","0.12227","0.00243"
"251","1.47000","0.12275","0.00264"
"252","1.47600","0.12323","0.00268"
"253","1.48200","0.12376","0.00265"
"254","1.48800","0.12424","0.00259"
"255","1.49400","0.12478","0.00256"
"256","1.50000","0.12526","0.00246"
"257","1.50600","0.12574","0.00245"
"258","1.51200","0.12628","0.00247"
"259","1.51800","0.12675","0.00259"
"260","1.52400","0.12723","0.00265"
"261","1.53000","0.12771","0.00269"
"262","1.53600","0.12819","0.00271"
"263","1.54200","0.12873","0.00262"
"264","1.54800","0.12921","0.00239"
"265","1.55400","0.12968","0.00228"
"266","1.56000","0.13022","0.00233"
"267","1.56600","0.13070","0.00250"
"268","1.57200","0.13118","0.00258"
"269","1.57800","0.13172","0.00263"
"270","1.58400","0.13219","0.00258"
"271","1.59000","0.13267","0.00252"
"272","1.59600","0.13321","0.00251"
"273","1.60200","0.13369","0.00244"
"274","1.60800","0.13417","0.00225"
"275","1.61400","0.13471","0.00212"
"276","1.62000","0.13518","0.00196"
"277","1.62600","0.13572","0.00186"
"278","1.63200","0.13620","0.00171"
"279","1.63800","0.13674","0.00157"
"280","1.64400","0.13722","0.00154"
"281","1.65000","0.13776","0.00163"
"282","1.65600","0.13823","0.00188"
"283","1.66200","0.13871","0.00200"
"284","1.66800","0.13919","0.00213"
"285","1.67400","0.13973","0.00224"
"286","1.68000","0.14021","0.00236"
"287","1.68600","0.14068","0.00249"
"288","1.69200","0.14116","0.00256"
"289","1.69800","0.14170","0.00247"
"290","1.70400","0.14218","0.00222"
"291","1.71000","0.14266","0.00206"
"292","1.71600","0.14320","0.00199"
"293","1.72200","0.14367","0.00184"
"294","1.72800","0.14415","0.00166"
"295","1.73400","0.14469","0.00162"
"296","1.74000","0.14517","0.00161"
"297","1.74600","0.14565","0.00168"
"298","1.75200","0.14619","0.00175"
"299","1.75800","0.14666","0.00194"
"300","1.76400","0.14714","0.00211"
"301","1.77000","0.14768","0.00208"
"302","1.77600","0.14816","0.00206"
"303","1.78200","0.14870","0.00221"
"304","1.78800","0.14917","0.00236"
"305","1.79400","0.14971","0.00243"
"306","1.80000","0.15019","0.00237"
"307","1.80600","0.15073","0.00231"
"308","1.81200","0.15121","0.00235"
"309","1.81800","0.15169","0.00247"
"310","1.82400","0.15222","0.00255"
"311","1.83000","0.15270","0.00268"
"312","1.83600","0.15318","0.00277"
"313","1.84200","0.15366","0.00277"
"314","1.84800","0.15420","0.00285"
"315","1.85400","0.15468","0.00304"
"316","1.86000","0.15515","0.00318"
"317","1.86600","0.15569","0.00316"
"318","1.87200","0.15617","0.00301"
"319","1.87800","0.15671","0.00271"
"320","1.88400","0.15719","0.00256"
"321","1.89000","0.15772","0.00267"
"322","1.89600","0.15820","0.00292"
"323","1.90200","0.15874","0.00301"
"324","1.90800","0.15922","0.00295"
"325","1.91400","0.15976","0.00290"
"326","1.92000","0.16024","0.00274"
"327","1.92600","0.16077","0.00257"
"328","1.93200","0.16125","0.00256"
"329","1.93800","0.16179","0.00255"
"330","1.94400","0.16227","0.00252"
"331","1.95000","0.16281","0.00244"
"332","1.95600","0.16329","0.00246"
"333","1.96200","0.16376","0.00263"
"334","1.96800","0.16424","0.00269"
"335","1.97400","0.16472","0.00280"
"336","1.98000","0.16526","0.00293"
"337","1.98600","0.16574","0.00298"
"338","1.99200","0.16621","0.00295"
"339","1.99800","0.16669","0.00285"
"340","2.00400","0.16723","0.00270"
"341","2.01000","0.16771","0.00256"
"342","2.01600","0.16819","0.00247"
"343","2.02200","0.16873","0.00242"
"344","2.02800","0.16920","0.00238"
"345","2.03400","0.16974","0.00237"
"346","2.04000","0.17022","0.00248"
"347","2.04600","0.17070","0.00252"
"348","2.05200","0.17124","0.00251"
"349","2.05800","0.17172","0.00255"
"350","2.06400","0.17225","0.00260"
"351","2.07000","0.17273","0.00265"
"352","2.07600","0.17321","0.00270"
"353","2.08200","0.17375","0.00267"
"354","2.08800","0.17423","0.00262"
"355","2.09400","0.17471","0.00274"
"356","2.10000","0.17524","0.00280"
"357","2.10600","0.17572","0.00299"
"358","2.11200","0.17620","0.00326"
"359","2.11800","0.17674","0.00326"
"360","2.12400","0.17722","0.00316"
"361","2.13000","0.17769","0.00305"
"362","2.13600","0.17823","0.00287"
"363","2.14200","0.17871","0.00266"
"364","2.14800","0.17919","0.00242"
"365","2.15400","0.17973","0.00221"
"366","2.16000","0.18021","0.00218"
"367","2.16600","0.18068","0.00234"
"368","2.17200","0.18122","0.00247"
"369","2.17800","0.18170","0.00254"
"370","2.18400","0.18224","0.00261"
"371","2.19000","0.18272","0.00267"
"372","2.19600","0.18320","0.00293"
"373","2.20200","0.18373","0.00316"
"374","2.20800","0.18421","0.00321"
"375","2.21400","0.18469","0.00315"
"376","2.22000","0.18523","0.00294"
"377","2.22600","0.18571","0.00296"
"378","2.23200","0.18618","0.00300"
"379","2.23800","0.18672","0.00300"
