"","V1","V2","V3"
"1","End date","2/25/2017",""
"2","Specimen label","1BG_5.2",""
"3","Maximum Load","0.02768","N"
"4","Time","Extension","Load"
"5","(s)","(mm)","(N)"
"6","0.00000","0.00000","-0.00047"
"7","0.00600","0.00000","-0.00055"
"8","0.01200","0.00000","-0.00065"
"9","0.01800","0.00012","-0.00075"
"10","0.02400","0.00018","-0.00062"
"11","0.03000","0.00030","-0.00038"
"12","0.03600","0.00048","-0.00027"
"13","0.04200","0.00060","-0.00008"
"14","0.04800","0.00078","0.00023"
"15","0.05400","0.00102","0.00042"
"16","0.06000","0.00132","0.00048"
"17","0.06600","0.00149","0.00049"
"18","0.07200","0.00179","0.00050"
"19","0.07800","0.00215","0.00040"
"20","0.08400","0.00257","0.00028"
"21","0.09000","0.00299","0.00016"
"22","0.09600","0.00335","0.00003"
"23","0.10200","0.00383","-0.00014"
"24","0.10800","0.00430","-0.00032"
"25","0.11400","0.00478","-0.00031"
"26","0.12000","0.00532","-0.00008"
"27","0.12600","0.00586","0.00011"
"28","0.13200","0.00640","0.00030"
"29","0.13800","0.00694","0.00038"
"30","0.14400","0.00753","0.00036"
"31","0.15000","0.00813","0.00030"
"32","0.15600","0.00873","0.00026"
"33","0.16200","0.00939","0.00023"
"34","0.16800","0.01004","0.00022"
"35","0.17400","0.01064","0.00018"
"36","0.18000","0.01130","0.00011"
"37","0.18600","0.01196","0.00008"
"38","0.19200","0.01262","0.00012"
"39","0.19800","0.01327","0.00007"
"40","0.20400","0.01393","-0.00007"
"41","0.21000","0.01459","-0.00010"
"42","0.21600","0.01525","-0.00013"
"43","0.22200","0.01590","-0.00009"
"44","0.22800","0.01656","-0.00007"
"45","0.23400","0.01722","-0.00007"
"46","0.24000","0.01794","-0.00004"
"47","0.24600","0.01853","-0.00005"
"48","0.25200","0.01919","-0.00009"
"49","0.25800","0.01985","0.00003"
"50","0.26400","0.02051","0.00008"
"51","0.27000","0.02117","0.00002"
"52","0.27600","0.02182","0.00001"
"53","0.28200","0.02242","0.00006"
"54","0.28800","0.02302","0.00015"
"55","0.29400","0.02368","0.00019"
"56","0.30000","0.02427","0.00022"
"57","0.30600","0.02487","0.00037"
"58","0.31200","0.02541","0.00053"
"59","0.31800","0.02601","0.00053"
"60","0.32400","0.02661","0.00051"
"61","0.33000","0.02720","0.00047"
"62","0.33600","0.02774","0.00036"
"63","0.34200","0.02834","0.00032"
"64","0.34800","0.02888","0.00038"
"65","0.35400","0.02942","0.00037"
"66","0.36000","0.02995","0.00034"
"67","0.36600","0.03049","0.00037"
"68","0.37200","0.03103","0.00049"
"69","0.37800","0.03163","0.00050"
"70","0.38400","0.03211","0.00053"
"71","0.39000","0.03265","0.00057"
"72","0.39600","0.03318","0.00044"
"73","0.40200","0.03372","0.00029"
"74","0.40800","0.03426","0.00028"
"75","0.41400","0.03474","0.00034"
"76","0.42000","0.03528","0.00042"
"77","0.42600","0.03575","0.00040"
"78","0.43200","0.03629","0.00043"
"79","0.43800","0.03677","0.00048"
"80","0.44400","0.03725","0.00056"
"81","0.45000","0.03779","0.00071"
"82","0.45600","0.03827","0.00081"
"83","0.46200","0.03880","0.00085"
"84","0.46800","0.03928","0.00076"
"85","0.47400","0.03976","0.00053"
"86","0.48000","0.04030","0.00022"
"87","0.48600","0.04078","0.00001"
"88","0.49200","0.04125","0.00008"
"89","0.49800","0.04179","0.00028"
"90","0.50400","0.04227","0.00048"
"91","0.51000","0.04275","0.00050"
"92","0.51600","0.04329","0.00038"
"93","0.52200","0.04377","0.00023"
"94","0.52800","0.04424","0.00023"
"95","0.53400","0.04478","0.00022"
"96","0.54000","0.04526","0.00031"
"97","0.54600","0.04574","0.00037"
"98","0.55200","0.04628","0.00029"
"99","0.55800","0.04676","0.00030"
"100","0.56400","0.04723","0.00032"
"101","0.57000","0.04771","0.00032"
"102","0.57600","0.04819","0.00022"
"103","0.58200","0.04873","0.00013"
"104","0.58800","0.04921","0.00022"
"105","0.59400","0.04969","0.00041"
"106","0.60000","0.05016","0.00064"
"107","0.60600","0.05064","0.00083"
"108","0.61200","0.05118","0.00083"
"109","0.61800","0.05166","0.00067"
"110","0.62400","0.05214","0.00055"
"111","0.63000","0.05261","0.00052"
"112","0.63600","0.05309","0.00054"
"113","0.64200","0.05363","0.00049"
"114","0.64800","0.05411","0.00039"
"115","0.65400","0.05459","0.00028"
"116","0.66000","0.05513","0.00010"
"117","0.66600","0.05560","0.00003"
"118","0.67200","0.05614","0.00012"
"119","0.67800","0.05662","0.00024"
"120","0.68400","0.05710","0.00018"
"121","0.69000","0.05764","0.00019"
"122","0.69600","0.05812","0.00025"
"123","0.70200","0.05859","0.00028"
"124","0.70800","0.05913","0.00028"
"125","0.71400","0.05961","0.00027"
"126","0.72000","0.06009","0.00024"
"127","0.72600","0.06057","0.00017"
"128","0.73200","0.06105","0.00017"
"129","0.73800","0.06158","0.00031"
"130","0.74400","0.06206","0.00049"
"131","0.75000","0.06260","0.00057"
"132","0.75600","0.06308","0.00063"
"133","0.76200","0.06362","0.00066"
"134","0.76800","0.06409","0.00060"
"135","0.77400","0.06463","0.00072"
"136","0.78000","0.06511","0.00084"
"137","0.78600","0.06559","0.00096"
"138","0.79200","0.06613","0.00099"
"139","0.79800","0.06667","0.00100"
"140","0.80400","0.06714","0.00095"
"141","0.81000","0.06768","0.00089"
"142","0.81600","0.06816","0.00070"
"143","0.82200","0.06870","0.00060"
"144","0.82800","0.06924","0.00054"
"145","0.83400","0.06971","0.00053"
"146","0.84000","0.07019","0.00058"
"147","0.84600","0.07073","0.00061"
"148","0.85200","0.07121","0.00044"
"149","0.85800","0.07175","0.00036"
"150","0.86400","0.07223","0.00041"
"151","0.87000","0.07276","0.00056"
"152","0.87600","0.07324","0.00083"
"153","0.88200","0.07372","0.00111"
"154","0.88800","0.07426","0.00118"
"155","0.89400","0.07474","0.00115"
"156","0.90000","0.07522","0.00105"
"157","0.90600","0.07569","0.00098"
"158","0.91200","0.07623","0.00089"
"159","0.91800","0.07671","0.00073"
"160","0.92400","0.07719","0.00053"
"161","0.93000","0.07767","0.00045"
"162","0.93600","0.07814","0.00049"
"163","0.94200","0.07868","0.00053"
"164","0.94800","0.07916","0.00059"
"165","0.95400","0.07970","0.00072"
"166","0.96000","0.08018","0.00069"
"167","0.96600","0.08066","0.00076"
"168","0.97200","0.08119","0.00087"
"169","0.97800","0.08167","0.00082"
"170","0.98400","0.08221","0.00059"
"171","0.99000","0.08269","0.00055"
"172","0.99600","0.08317","0.00065"
"173","1.00200","0.08371","0.00075"
"174","1.00800","0.08418","0.00082"
"175","1.01400","0.08466","0.00099"
"176","1.02000","0.08520","0.00110"
"177","1.02600","0.08568","0.00112"
"178","1.03200","0.08616","0.00113"
"179","1.03800","0.08669","0.00109"
"180","1.04400","0.08717","0.00108"
"181","1.05000","0.08765","0.00094"
"182","1.05600","0.08813","0.00071"
"183","1.06200","0.08867","0.00052"
"184","1.06800","0.08915","0.00036"
"185","1.07400","0.08968","0.00029"
"186","1.08000","0.09016","0.00025"
"187","1.08600","0.09070","0.00034"
"188","1.09200","0.09118","0.00052"
"189","1.09800","0.09166","0.00060"
"190","1.10400","0.09220","0.00051"
"191","1.11000","0.09267","0.00039"
"192","1.11600","0.09321","0.00026"
"193","1.12200","0.09369","0.00022"
"194","1.12800","0.09417","0.00020"
"195","1.13400","0.09471","0.00024"
"196","1.14000","0.09518","0.00043"
"197","1.14600","0.09566","0.00056"
"198","1.15200","0.09614","0.00052"
"199","1.15800","0.09662","0.00047"
"200","1.16400","0.09716","0.00042"
"201","1.17000","0.09764","0.00047"
"202","1.17600","0.09811","0.00057"
"203","1.18200","0.09865","0.00072"
"204","1.18800","0.09913","0.00082"
"205","1.19400","0.09967","0.00083"
"206","1.20000","0.10015","0.00075"
"207","1.20600","0.10063","0.00076"
"208","1.21200","0.10116","0.00072"
"209","1.21800","0.10164","0.00060"
"210","1.22400","0.10212","0.00053"
"211","1.23000","0.10266","0.00047"
"212","1.23600","0.10314","0.00046"
"213","1.24200","0.10362","0.00049"
"214","1.24800","0.10415","0.00040"
"215","1.25400","0.10463","0.00031"
"216","1.26000","0.10511","0.00025"
"217","1.26600","0.10565","0.00009"
"218","1.27200","0.10613","0.00009"
"219","1.27800","0.10666","0.00013"
"220","1.28400","0.10714","0.00006"
"221","1.29000","0.10768","0.00007"
"222","1.29600","0.10816","0.00006"
"223","1.30200","0.10864","0.00020"
"224","1.30800","0.10912","0.00028"
"225","1.31400","0.10959","0.00030"
"226","1.32000","0.11013","0.00042"
"227","1.32600","0.11061","0.00052"
"228","1.33200","0.11109","0.00062"
"229","1.33800","0.11163","0.00079"
"230","1.34400","0.11211","0.00082"
"231","1.35000","0.11264","0.00066"
"232","1.35600","0.11312","0.00057"
"233","1.36200","0.11360","0.00054"
"234","1.36800","0.11414","0.00050"
"235","1.37400","0.11462","0.00050"
"236","1.38000","0.11515","0.00057"
"237","1.38600","0.11563","0.00068"
"238","1.39200","0.11617","0.00073"
"239","1.39800","0.11671","0.00076"
"240","1.40400","0.11719","0.00090"
"241","1.41000","0.11773","0.00082"
"242","1.41600","0.11826","0.00070"
"243","1.42200","0.11874","0.00070"
"244","1.42800","0.11928","0.00071"
"245","1.43400","0.11976","0.00081"
"246","1.44000","0.12024","0.00079"
"247","1.44600","0.12072","0.00077"
"248","1.45200","0.12119","0.00075"
"249","1.45800","0.12167","0.00066"
"250","1.46400","0.12221","0.00062"
"251","1.47000","0.12269","0.00058"
"252","1.47600","0.12317","0.00049"
"253","1.48200","0.12364","0.00032"
"254","1.48800","0.12418","0.00023"
