"","V1","V2","V3"
"1","End date","12/17/2016",""
"2","Specimen label","15AG_22",""
"3","Maximum Load","0.00258","N"
"4","Time","Extension","Load"
"5","(s)","(mm)","(N)"
"6","0.00000","0.00000","-0.00036"
"7","0.00600","0.00000","-0.00045"
"8","0.01200","0.00006","-0.00041"
"9","0.01800","0.00012","-0.00041"
"10","0.02400","0.00018","-0.00039"
"11","0.03000","0.00030","-0.00034"
"12","0.03600","0.00042","-0.00033"
"13","0.04200","0.00060","-0.00033"
"14","0.04800","0.00084","-0.00031"
"15","0.05400","0.00108","-0.00024"
"16","0.06000","0.00138","-0.00012"
"17","0.06600","0.00161","-0.00002"
"18","0.07200","0.00197","0.00005"
"19","0.07800","0.00233","0.00009"
"20","0.08400","0.00275","0.00020"
"21","0.09000","0.00311","0.00031"
"22","0.09600","0.00359","0.00038"
"23","0.10200","0.00401","0.00034"
"24","0.10800","0.00454","0.00026"
"25","0.11400","0.00502","0.00020"
"26","0.12000","0.00556","0.00008"
"27","0.12600","0.00610","0.00000"
"28","0.13200","0.00670","-0.00006"
"29","0.13800","0.00729","-0.00003"
"30","0.14400","0.00795","-0.00003"
"31","0.15000","0.00861","-0.00004"
"32","0.15600","0.00927","-0.00010"
"33","0.16200","0.00987","-0.00018"
"34","0.16800","0.01052","-0.00023"
"35","0.17400","0.01118","-0.00020"
"36","0.18000","0.01184","-0.00015"
"37","0.18600","0.01250","-0.00016"
"38","0.19200","0.01315","-0.00019"
"39","0.19800","0.01381","-0.00020"
"40","0.20400","0.01447","-0.00019"
"41","0.21000","0.01513","-0.00015"
"42","0.21600","0.01578","-0.00015"
"43","0.22200","0.01644","-0.00014"
"44","0.22800","0.01710","-0.00013"
"45","0.23400","0.01770","-0.00008"
"46","0.24000","0.01836","-0.00006"
"47","0.24600","0.01901","-0.00004"
"48","0.25200","0.01967","-0.00009"
"49","0.25800","0.02033","-0.00016"
"50","0.26400","0.02099","-0.00013"
"51","0.27000","0.02158","-0.00013"
"52","0.27600","0.02218","-0.00015"
"53","0.28200","0.02278","-0.00018"
"54","0.28800","0.02338","-0.00017"
"55","0.29400","0.02392","-0.00014"
"56","0.30000","0.02451","-0.00009"
"57","0.30600","0.02505","0.00001"
"58","0.31200","0.02565","0.00006"
"59","0.31800","0.02619","0.00002"
"60","0.32400","0.02673","0.00002"
"61","0.33000","0.02732","-0.00001"
"62","0.33600","0.02786","-0.00005"
"63","0.34200","0.02840","-0.00006"
"64","0.34800","0.02900","-0.00005"
"65","0.35400","0.02954","-0.00004"
"66","0.36000","0.03007","-0.00006"
"67","0.36600","0.03061","-0.00007"
"68","0.37200","0.03115","0.00000"
"69","0.37800","0.03169","0.00009"
"70","0.38400","0.03223","0.00008"
"71","0.39000","0.03270","0.00005"
"72","0.39600","0.03324","0.00004"
"73","0.40200","0.03378","-0.00002"
"74","0.40800","0.03426","-0.00008"
"75","0.41400","0.03480","-0.00010"
"76","0.42000","0.03528","-0.00010"
"77","0.42600","0.03575","-0.00008"
"78","0.43200","0.03629","-0.00003"
"79","0.43800","0.03677","0.00007"
"80","0.44400","0.03725","0.00016"
"81","0.45000","0.03779","0.00019"
"82","0.45600","0.03827","0.00020"
"83","0.46200","0.03874","0.00024"
"84","0.46800","0.03928","0.00027"
"85","0.47400","0.03976","0.00027"
"86","0.48000","0.04030","0.00025"
"87","0.48600","0.04078","0.00016"
"88","0.49200","0.04125","0.00010"
"89","0.49800","0.04179","0.00002"
"90","0.50400","0.04227","-0.00002"
"91","0.51000","0.04281","-0.00002"
"92","0.51600","0.04329","0.00000"
"93","0.52200","0.04383","-0.00005"
"94","0.52800","0.04430","-0.00012"
"95","0.53400","0.04478","-0.00015"
"96","0.54000","0.04532","-0.00008"
"97","0.54600","0.04580","-0.00005"
"98","0.55200","0.04628","-0.00005"
"99","0.55800","0.04676","-0.00008"
"100","0.56400","0.04723","-0.00011"
"101","0.57000","0.04777","-0.00013"
"102","0.57600","0.04825","-0.00013"
"103","0.58200","0.04873","-0.00008"
"104","0.58800","0.04921","-0.00004"
"105","0.59400","0.04974","-0.00003"
"106","0.60000","0.05022","-0.00001"
"107","0.60600","0.05070","0.00002"
"108","0.61200","0.05124","0.00005"
"109","0.61800","0.05172","0.00004"
"110","0.62400","0.05220","0.00003"
"111","0.63000","0.05267","0.00007"
"112","0.63600","0.05321","0.00006"
"113","0.64200","0.05369","0.00005"
"114","0.64800","0.05423","0.00005"
"115","0.65400","0.05471","0.00002"
"116","0.66000","0.05519","-0.00001"
"117","0.66600","0.05572","-0.00003"
"118","0.67200","0.05620","-0.00004"
"119","0.67800","0.05668","-0.00001"
"120","0.68400","0.05722","-0.00002"
"121","0.69000","0.05770","-0.00003"
"122","0.69600","0.05818","-0.00002"
"123","0.70200","0.05871","0.00001"
"124","0.70800","0.05919","0.00001"
"125","0.71400","0.05967","0.00002"
"126","0.72000","0.06021","-0.00001"
"127","0.72600","0.06069","-0.00004"
"128","0.73200","0.06116","0.00001"
"129","0.73800","0.06170","0.00010"
"130","0.74400","0.06218","0.00022"
"131","0.75000","0.06266","0.00030"
"132","0.75600","0.06320","0.00034"
"133","0.76200","0.06368","0.00032"
"134","0.76800","0.06415","0.00019"
"135","0.77400","0.06469","0.00009"
"136","0.78000","0.06517","0.00007"
"137","0.78600","0.06565","0.00003"
"138","0.79200","0.06619","0.00006"
"139","0.79800","0.06667","0.00009"
"140","0.80400","0.06720","0.00011"
"141","0.81000","0.06768","0.00009"
"142","0.81600","0.06822","0.00008"
"143","0.82200","0.06870","0.00011"
"144","0.82800","0.06924","0.00013"
"145","0.83400","0.06971","0.00015"
"146","0.84000","0.07019","0.00012"
"147","0.84600","0.07067","0.00012"
"148","0.85200","0.07121","0.00012"
"149","0.85800","0.07169","0.00013"
"150","0.86400","0.07217","0.00015"
"151","0.87000","0.07270","0.00015"
"152","0.87600","0.07318","0.00015"
"153","0.88200","0.07366","0.00016"
"154","0.88800","0.07420","0.00025"
"155","0.89400","0.07468","0.00031"
"156","0.90000","0.07522","0.00027"
"157","0.90600","0.07569","0.00021"
"158","0.91200","0.07617","0.00016"
"159","0.91800","0.07671","0.00001"
"160","0.92400","0.07719","-0.00013"
"161","0.93000","0.07767","-0.00020"
"162","0.93600","0.07820","-0.00021"
"163","0.94200","0.07868","-0.00014"
"164","0.94800","0.07922","-0.00002"
"165","0.95400","0.07970","0.00012"
"166","0.96000","0.08024","0.00020"
"167","0.96600","0.08078","0.00019"
"168","0.97200","0.08125","0.00016"
"169","0.97800","0.08173","0.00015"
"170","0.98400","0.08227","0.00018"
"171","0.99000","0.08275","0.00028"
"172","0.99600","0.08323","0.00033"
"173","1.00200","0.08371","0.00036"
"174","1.00800","0.08424","0.00039"
"175","1.01400","0.08472","0.00044"
"176","1.02000","0.08520","0.00043"
"177","1.02600","0.08574","0.00039"
