"","V1","V2","V3"
"1","End date","2/25/2017",""
"2","Specimen label","2AT_15",""
"3","Maximum Load","0.21246","N"
"4","Time","Extension","Load"
"5","(s)","(mm)","(N)"
"6","0.00000","0.00000","-0.00007"
"7","0.00600","0.00000","-0.00018"
"8","0.01200","0.00000","-0.00024"
"9","0.01800","0.00018","-0.00017"
"10","0.02400","0.00024","-0.00008"
"11","0.03000","0.00036","0.00003"
"12","0.03600","0.00048","0.00013"
"13","0.04200","0.00066","0.00025"
"14","0.04800","0.00084","0.00020"
"15","0.05400","0.00108","0.00004"
"16","0.06000","0.00132","-0.00013"
"17","0.06600","0.00161","-0.00022"
"18","0.07200","0.00197","-0.00031"
"19","0.07800","0.00233","-0.00030"
"20","0.08400","0.00275","-0.00023"
"21","0.09000","0.00317","-0.00024"
"22","0.09600","0.00365","-0.00023"
"23","0.10200","0.00407","-0.00020"
"24","0.10800","0.00460","-0.00014"
"25","0.11400","0.00508","-0.00007"
"26","0.12000","0.00562","-0.00005"
"27","0.12600","0.00616","0.00012"
"28","0.13200","0.00676","0.00027"
"29","0.13800","0.00735","0.00032"
"30","0.14400","0.00795","0.00038"
"31","0.15000","0.00861","0.00051"
"32","0.15600","0.00921","0.00067"
"33","0.16200","0.00987","0.00078"
"34","0.16800","0.01052","0.00081"
"35","0.17400","0.01124","0.00083"
"36","0.18000","0.01190","0.00080"
"37","0.18600","0.01256","0.00070"
"38","0.19200","0.01321","0.00065"
"39","0.19800","0.01393","0.00052"
"40","0.20400","0.01459","0.00029"
"41","0.21000","0.01525","0.00004"
"42","0.21600","0.01590","-0.00008"
"43","0.22200","0.01656","-0.00014"
"44","0.22800","0.01716","-0.00021"
"45","0.23400","0.01782","-0.00011"
"46","0.24000","0.01842","0.00016"
"47","0.24600","0.01907","0.00034"
"48","0.25200","0.01967","0.00050"
"49","0.25800","0.02033","0.00066"
"50","0.26400","0.02093","0.00073"
"51","0.27000","0.02152","0.00075"
"52","0.27600","0.02212","0.00071"
"53","0.28200","0.02278","0.00062"
"54","0.28800","0.02338","0.00056"
"55","0.29400","0.02392","0.00053"
"56","0.30000","0.02451","0.00057"
"57","0.30600","0.02511","0.00058"
"58","0.31200","0.02565","0.00064"
