"","V1","V2","V3"
"1","End date","1/7/2017",""
"2","Specimen label","17DG_39",""
"3","Maximum Load","1.63142","N"
"4","Time","Extension","Load"
"5","(s)","(mm)","(N)"
"6","0.00000","0.00000","0.00025"
"7","0.00600","0.00000","0.00029"
"8","0.01200","0.00000","0.00025"
"9","0.01800","0.00012","0.00028"
"10","0.02400","0.00018","0.00033"
"11","0.03000","0.00030","0.00030"
"12","0.03600","0.00048","0.00028"
"13","0.04200","0.00066","0.00026"
"14","0.04800","0.00090","0.00024"
"15","0.05400","0.00114","0.00019"
"16","0.06000","0.00138","0.00023"
"17","0.06600","0.00167","0.00031"
"18","0.07200","0.00203","0.00040"
"19","0.07800","0.00239","0.00051"
"20","0.08400","0.00275","0.00062"
"21","0.09000","0.00311","0.00069"
"22","0.09600","0.00353","0.00068"
"23","0.10200","0.00401","0.00064"
"24","0.10800","0.00448","0.00057"
"25","0.11400","0.00496","0.00055"
"26","0.12000","0.00544","0.00050"
"27","0.12600","0.00598","0.00050"
"28","0.13200","0.00658","0.00039"
"29","0.13800","0.00711","0.00023"
"30","0.14400","0.00771","0.00012"
"31","0.15000","0.00837","0.00011"
"32","0.15600","0.00897","0.00012"
"33","0.16200","0.00963","0.00007"
"34","0.16800","0.01028","0.00006"
"35","0.17400","0.01094","-0.00001"
"36","0.18000","0.01160","-0.00003"
"37","0.18600","0.01226","-0.00001"
"38","0.19200","0.01291","0.00007"
"39","0.19800","0.01357","0.00012"
"40","0.20400","0.01423","0.00016"
"41","0.21000","0.01495","0.00023"
"42","0.21600","0.01561","0.00028"
"43","0.22200","0.01626","0.00023"
"44","0.22800","0.01692","0.00021"
"45","0.23400","0.01758","0.00026"
"46","0.24000","0.01818","0.00026"
"47","0.24600","0.01883","0.00018"
"48","0.25200","0.01949","0.00014"
"49","0.25800","0.02009","0.00012"
"50","0.26400","0.02069","0.00004"
"51","0.27000","0.02134","-0.00003"
"52","0.27600","0.02194","-0.00001"
"53","0.28200","0.02254","0.00005"
"54","0.28800","0.02314","0.00009"
"55","0.29400","0.02374","0.00016"
"56","0.30000","0.02433","0.00020"
"57","0.30600","0.02487","0.00015"
"58","0.31200","0.02547","0.00005"
"59","0.31800","0.02601","0.00005"
"60","0.32400","0.02661","0.00004"
"61","0.33000","0.02714","0.00006"
"62","0.33600","0.02768","0.00017"
"63","0.34200","0.02828","0.00025"
"64","0.34800","0.02876","0.00033"
"65","0.35400","0.02936","0.00031"
"66","0.36000","0.02983","0.00036"
"67","0.36600","0.03037","0.00036"
"68","0.37200","0.03097","0.00041"
"69","0.37800","0.03145","0.00044"
"70","0.38400","0.03199","0.00054"
"71","0.39000","0.03253","0.00066"
"72","0.39600","0.03306","0.00065"
"73","0.40200","0.03360","0.00058"
"74","0.40800","0.03414","0.00054"
"75","0.41400","0.03462","0.00052"
"76","0.42000","0.03516","0.00042"
"77","0.42600","0.03569","0.00028"
"78","0.43200","0.03617","0.00015"
"79","0.43800","0.03671","0.00011"
"80","0.44400","0.03725","0.00018"
"81","0.45000","0.03773","0.00035"
"82","0.45600","0.03821","0.00046"
"83","0.46200","0.03874","0.00058"
"84","0.46800","0.03922","0.00066"
"85","0.47400","0.03976","0.00067"
"86","0.48000","0.04024","0.00073"
"87","0.48600","0.04078","0.00074"
"88","0.49200","0.04125","0.00073"
"89","0.49800","0.04173","0.00067"
"90","0.50400","0.04227","0.00062"
"91","0.51000","0.04275","0.00062"
"92","0.51600","0.04329","0.00065"
"93","0.52200","0.04377","0.00058"
"94","0.52800","0.04424","0.00063"
"95","0.53400","0.04478","0.00075"
"96","0.54000","0.04526","0.00083"
"97","0.54600","0.04580","0.00083"
"98","0.55200","0.04628","0.00083"
"99","0.55800","0.04682","0.00085"
"100","0.56400","0.04729","0.00094"
"101","0.57000","0.04777","0.00102"
"102","0.57600","0.04825","0.00110"
"103","0.58200","0.04873","0.00111"
"104","0.58800","0.04921","0.00108"
"105","0.59400","0.04969","0.00099"
"106","0.60000","0.05016","0.00083"
"107","0.60600","0.05070","0.00071"
"108","0.61200","0.05118","0.00064"
"109","0.61800","0.05166","0.00062"
"110","0.62400","0.05214","0.00066"
"111","0.63000","0.05261","0.00069"
"112","0.63600","0.05309","0.00070"
"113","0.64200","0.05363","0.00073"
"114","0.64800","0.05411","0.00074"
"115","0.65400","0.05459","0.00078"
"116","0.66000","0.05513","0.00080"
"117","0.66600","0.05560","0.00079"
"118","0.67200","0.05614","0.00073"
"119","0.67800","0.05662","0.00068"
"120","0.68400","0.05716","0.00059"
"121","0.69000","0.05764","0.00051"
"122","0.69600","0.05818","0.00045"
"123","0.70200","0.05865","0.00044"
"124","0.70800","0.05913","0.00048"
"125","0.71400","0.05961","0.00052"
"126","0.72000","0.06015","0.00057"
"127","0.72600","0.06063","0.00061"
"128","0.73200","0.06110","0.00065"
"129","0.73800","0.06158","0.00066"
"130","0.74400","0.06212","0.00068"
"131","0.75000","0.06260","0.00072"
"132","0.75600","0.06314","0.00067"
"133","0.76200","0.06362","0.00058"
"134","0.76800","0.06409","0.00062"
"135","0.77400","0.06463","0.00067"
"136","0.78000","0.06511","0.00066"
"137","0.78600","0.06565","0.00069"
"138","0.79200","0.06613","0.00071"
"139","0.79800","0.06661","0.00067"
"140","0.80400","0.06714","0.00054"
"141","0.81000","0.06762","0.00046"
"142","0.81600","0.06810","0.00041"
"143","0.82200","0.06864","0.00034"
"144","0.82800","0.06912","0.00038"
"145","0.83400","0.06965","0.00056"
"146","0.84000","0.07013","0.00078"
