"","V1","V2","V3"
"1","End date","12/21/2016",""
"2","Specimen label","24BG_95",""
"3","Maximum Load","0.00842","N"
"4","Time","Extension","Load"
"5","(s)","(mm)","(N)"
"6","0.00000","-0.00006","0.00061"
"7","0.00600","-0.00006","0.00047"
"8","0.01200","0.00006","0.00030"
"9","0.01800","0.00006","0.00030"
"10","0.02400","0.00018","0.00032"
"11","0.03000","0.00024","0.00038"
"12","0.03600","0.00042","0.00056"
"13","0.04200","0.00060","0.00066"
"14","0.04800","0.00078","0.00072"
"15","0.05400","0.00108","0.00091"
"16","0.06000","0.00132","0.00096"
"17","0.06600","0.00161","0.00098"
"18","0.07200","0.00197","0.00101"
"19","0.07800","0.00233","0.00096"
"20","0.08400","0.00275","0.00084"
"21","0.09000","0.00317","0.00076"
"22","0.09600","0.00365","0.00069"
"23","0.10200","0.00413","0.00070"
"24","0.10800","0.00460","0.00080"
"25","0.11400","0.00514","0.00095"
"26","0.12000","0.00568","0.00116"
"27","0.12600","0.00622","0.00131"
"28","0.13200","0.00676","0.00137"
"29","0.13800","0.00735","0.00139"
"30","0.14400","0.00801","0.00135"
"31","0.15000","0.00861","0.00128"
"32","0.15600","0.00927","0.00119"
"33","0.16200","0.00993","0.00094"
"34","0.16800","0.01052","0.00080"
"35","0.17400","0.01124","0.00083"
"36","0.18000","0.01190","0.00092"
"37","0.18600","0.01256","0.00109"
"38","0.19200","0.01327","0.00122"
"39","0.19800","0.01393","0.00121"
"40","0.20400","0.01465","0.00122"
"41","0.21000","0.01531","0.00115"
"42","0.21600","0.01596","0.00104"
"43","0.22200","0.01662","0.00103"
"44","0.22800","0.01722","0.00100"
"45","0.23400","0.01788","0.00099"
"46","0.24000","0.01847","0.00095"
"47","0.24600","0.01907","0.00075"
"48","0.25200","0.01973","0.00064"
"49","0.25800","0.02033","0.00064"
"50","0.26400","0.02099","0.00070"
"51","0.27000","0.02158","0.00089"
"52","0.27600","0.02218","0.00100"
"53","0.28200","0.02278","0.00096"
"54","0.28800","0.02338","0.00099"
"55","0.29400","0.02392","0.00094"
"56","0.30000","0.02451","0.00086"
