"Ptime","Pload","Vtime","Vload","yDelta"
163.158,0.14896,163.254,0.04257,0.10639
194.034,0.2487,194.142,0.15401,0.09469
225.642,0.51418,225.738,0.44454,0.06964
245.364,0.75239,245.496,0.4719,0.28049
268.542,0.82071,268.704,0.7665,0.0542100000000001
276.216,0.86594,276.318,0.43003,0.43591
283.368,0.4678,283.5,0.33321,0.13459
293.148,0.41612,293.238,0.26657,0.14955
314.31,0.39379,314.4,0.10771,0.28608
314.466,0.13887,314.532,0.02441,0.11446
453.18,0.24519,453.306,0.00843,0.23676
453.318,0.02199,453.342,0,0.03082
