"Ptime","Pload","Vtime","Vload","yDelta"
96.906,0.28157,97.068,0.02989,0.25168
97.074,0.03395,97.098,0.00301,0.03094
107.328,0.07995,107.4,0.03087,0.04908
147.126,0.41255,147.216,0.28825,0.1243
157.548,0.49726,157.71,0.42695,0.07031
164.52,0.55018,164.592,0.47714,0.07304
170.424,0.6054,170.508,0.41061,0.19479
179.124,0.69942,179.274,0.62336,0.07606
186.228,0.8067,186.366,0.71045,0.0962499999999999
186.774,0.71549,186.888,0.67017,0.0453199999999999
209.82,1.32302,209.91,1.23412,0.0889
210.33,1.23744,210.414,1.13526,0.10218
212.634,1.17477,212.712,0.92645,0.24832
214.95,0.93947,215.022,0.72751,0.21196
216.312,0.65061,216.384,0.52899,0.12162
219.216,0.61755,219.348,0.48481,0.13274
232.332,0.79523,232.488,0.66053,0.1347
242.592,0.88027,242.742,0.76752,0.11275
254.544,0.98813,254.694,0.88103,0.1071
300.678,0.23515,300.786,0.01556,0.21959
352.59,0.47701,352.656,0.22538,0.25163
359.532,0.25681,359.58,0.00388,0.25293
359.592,0.01298,359.616,0,0.03609
