"Ptime","Pload","Vtime","Vload","yDelta"
182.652,0.29556,182.712,0.20775,0.08781
283.608,0.60008,283.692,0.32043,0.27965
351.09,1.06523,351.168,0.93426,0.13097
408.87,1.44529,409.02,1.38979,0.0554999999999999
423.462,1.50309,423.552,1.39171,0.11138
439.044,1.53431,439.14,1.32302,0.21129
443.856,1.33794,443.976,1.25185,0.08609
445.794,1.26894,445.89,1.14211,0.12683
460.83,1.27378,460.908,1.06776,0.20602
462.336,1.06178,462.402,0.82996,0.23182
493.5,0.53496,493.632,0.46203,0.07293
527.808,0.50789,527.892,0.22244,0.28545
713.406,0.74487,713.49,0.71057,0.0343
732.63,0.80486,732.714,0.76376,0.0411
744.39,0.80188,744.468,0.68421,0.11767
759.63,0.77971,759.714,0.65336,0.12635
759.732,0.65832,759.804,0.46331,0.19501
781.974,0.62723,782.034,0.29219,0.33504
853.254,0.62294,853.302,0.53752,0.0854200000000001
861.828,0.56855,861.912,0.3699,0.19865
882.702,0.42149,882.768,0.07269,0.3488
