"Ptime","Pload","Vtime","Vload","yDelta"
212.742,0.34034,212.814,0.23474,0.1056
291.726,0.74509,291.828,0.39529,0.3498
303.6,0.45941,303.696,0.34877,0.11064
305.01,0.35904,305.1,0.09939,0.25965
367.5,0.47622,367.656,0.37178,0.10444
379.65,0.32783,379.74,0.25424,0.07359
459.57,0.55224,459.648,0.24577,0.30647
460.002,0.0452,460.068,0.01329,0.03191
510.498,0.12725,510.606,0.07437,0.05288
533.76,0.12749,533.832,0.08471,0.04278
704.688,0.20324,704.814,0.17238,0.03086
707.112,0.18068,707.214,0.06628,0.1144
841.746,0.25032,841.788,0.033,0.21732
841.794,0.03368,841.824,0,0.04417
