"Ptime","Pload","Vtime","Vload","yDelta"
143.892,0.1943,143.976,0.04151,0.15279
152.85,0.09108,153,0.00529,0.08579
191.982,0.22858,192.054,0.12,0.10858
196.35,0.13235,196.44,0.02188,0.11047
242.136,0.24798,242.196,0.10274,0.14524
248.394,0.13011,248.472,0.04073,0.08938
264.252,0.11294,264.324,0.03916,0.07378
268.77,0.06306,268.842,0.00754,0.05552
305.976,0.10659,306.072,0.02759,0.079
354.93,0.22703,355.002,0.06412,0.16291
365.868,0.10586,365.952,0.00868,0.09718
393.516,0.04803,393.582,0,0.05334
