End date,"2/26/2017"
Specimen label,"4CT_32_pl"
Maximum Load,"0.14378",N

Time,Extension,Load
(s),(mm),(N)
"1.09200","0.09118","0.00050"
"1.09800","0.09166","0.00043"
"1.10400","0.09220","0.00029"
"1.11000","0.09267","0.00029"
"1.11600","0.09321","0.00034"
"1.12200","0.09369","0.00042"
"1.12800","0.09417","0.00056"
"1.13400","0.09471","0.00078"
"1.14000","0.09518","0.00098"
"1.14600","0.09572","0.00114"
"1.15200","0.09620","0.00117"
"1.15800","0.09674","0.00116"
"1.16400","0.09722","0.00100"
"1.17000","0.09776","0.00081"
"1.17600","0.09823","0.00062"
"1.18200","0.09877","0.00042"
"1.18800","0.09925","0.00022"
"1.19400","0.09973","0.00006"
"1.20000","0.10027","0.00000"
"1.20600","0.10075","-0.00001"
"1.21200","0.10122","0.00014"
"1.21800","0.10170","0.00023"
"1.22400","0.10224","0.00042"
"1.23000","0.10272","0.00065"
"1.23600","0.10320","0.00091"
"1.24200","0.10373","0.00109"
"1.24800","0.10421","0.00118"
"1.25400","0.10469","0.00129"
"1.26000","0.10523","0.00138"
"1.26600","0.10571","0.00134"
"1.27200","0.10619","0.00124"
"1.27800","0.10672","0.00114"
"1.28400","0.10720","0.00106"
"1.29000","0.10774","0.00104"
"1.29600","0.10828","0.00102"
"1.30200","0.10876","0.00093"
"1.30800","0.10924","0.00088"
"1.31400","0.10971","0.00088"
"1.32000","0.11019","0.00088"
"1.32600","0.11073","0.00089"
"1.33200","0.11121","0.00077"
"1.33800","0.11169","0.00074"
"1.34400","0.11222","0.00074"
"1.35000","0.11270","0.00047"
"1.35600","0.11324","0.00027"
"1.36200","0.11372","0.00006"
"1.36800","0.11420","-0.00019"
"1.37400","0.11474","-0.00040"
"1.38000","0.11521","-0.00039"
"1.38600","0.11569","-0.00032"
"1.39200","0.11623","-0.00024"
"1.39800","0.11671","-0.00011"
"1.40400","0.11719","0.00003"
"1.41000","0.11773","0.00019"
"1.41600","0.11820","0.00039"
"1.42200","0.11868","0.00054"
"1.42800","0.11922","0.00050"
"1.43400","0.11970","0.00046"
"1.44000","0.12024","0.00039"
"1.44600","0.12072","0.00029"
"1.45200","0.12119","0.00026"
"1.45800","0.12173","0.00037"
"1.46400","0.12221","0.00052"
"1.47000","0.12269","0.00066"
"1.47600","0.12323","0.00075"
"1.48200","0.12370","0.00079"
"1.48800","0.12418","0.00083"
"1.49400","0.12466","0.00080"
"1.50000","0.12520","0.00060"
"1.50600","0.12568","0.00049"
"1.51200","0.12622","0.00050"
"1.51800","0.12669","0.00044"
"1.52400","0.12717","0.00024"
"1.53000","0.12771","0.00026"
"1.53600","0.12819","0.00037"
"1.54200","0.12867","0.00044"
"1.54800","0.12921","0.00056"
"1.55400","0.12968","0.00051"
