End date,"2/26/2017"
Specimen label,"4CT_23_pl"
Maximum Load,"0.00139",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.00061"
"0.00600","0.00000","0.00057"
"0.01200","0.00000","0.00064"
"0.01800","0.00012","0.00061"
"0.02400","0.00024","0.00055"
"0.03000","0.00036","0.00059"
"0.03600","0.00048","0.00065"
"0.04200","0.00066","0.00066"
"0.04800","0.00090","0.00063"
"0.05400","0.00114","0.00063"
"0.06000","0.00143","0.00066"
"0.06600","0.00173","0.00062"
"0.07200","0.00203","0.00065"
"0.07800","0.00245","0.00071"
"0.08400","0.00281","0.00066"
"0.09000","0.00317","0.00049"
"0.09600","0.00359","0.00033"
"0.10200","0.00413","0.00026"
"0.10800","0.00466","0.00033"
"0.11400","0.00526","0.00042"
"0.12000","0.00580","0.00044"
"0.12600","0.00640","0.00045"
"0.13200","0.00700","0.00041"
"0.13800","0.00759","0.00034"
"0.14400","0.00819","0.00037"
"0.15000","0.00879","0.00042"
"0.15600","0.00939","0.00044"
"0.16200","0.01004","0.00046"
"0.16800","0.01070","0.00037"
"0.17400","0.01130","0.00035"
"0.18000","0.01202","0.00033"
"0.18600","0.01268","0.00038"
"0.19200","0.01333","0.00050"
"0.19800","0.01399","0.00057"
"0.20400","0.01465","0.00067"
"0.21000","0.01531","0.00086"
"0.21600","0.01590","0.00089"
"0.22200","0.01656","0.00092"
"0.22800","0.01722","0.00094"
"0.23400","0.01788","0.00102"
"0.24000","0.01847","0.00100"
"0.24600","0.01913","0.00090"
"0.25200","0.01973","0.00084"
"0.25800","0.02039","0.00080"
"0.26400","0.02099","0.00080"
"0.27000","0.02158","0.00076"
"0.27600","0.02212","0.00068"
"0.28200","0.02272","0.00056"
"0.28800","0.02332","0.00051"
"0.29400","0.02392","0.00048"
"0.30000","0.02445","0.00048"
"0.30600","0.02505","0.00055"
"0.31200","0.02565","0.00053"
"0.31800","0.02619","0.00058"
"0.32400","0.02673","0.00054"
"0.33000","0.02726","0.00049"
"0.33600","0.02780","0.00052"
"0.34200","0.02840","0.00061"
