End date,"1/22/2017"
Specimen label,"14BT_10"
Maximum Load,"0.08602",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.00011"
"0.00600","0.00000","0.00016"
"0.01200","0.00000","0.00020"
"0.01800","0.00012","0.00027"
"0.02400","0.00018","0.00027"
"0.03000","0.00030","0.00025"
"0.03600","0.00042","0.00030"
"0.04200","0.00060","0.00042"
"0.04800","0.00078","0.00053"
"0.05400","0.00102","0.00052"
"0.06000","0.00132","0.00043"
"0.06600","0.00155","0.00038"
"0.07200","0.00191","0.00036"
"0.07800","0.00227","0.00033"
"0.08400","0.00263","0.00038"
"0.09000","0.00305","0.00027"
"0.09600","0.00353","0.00006"
"0.10200","0.00401","-0.00001"
"0.10800","0.00448","-0.00007"
"0.11400","0.00502","-0.00014"
"0.12000","0.00562","-0.00010"
"0.12600","0.00616","-0.00008"
"0.13200","0.00676","-0.00006"
"0.13800","0.00735","0.00002"
"0.14400","0.00801","0.00018"
"0.15000","0.00861","0.00038"
"0.15600","0.00927","0.00052"
"0.16200","0.00993","0.00055"
"0.16800","0.01058","0.00049"
"0.17400","0.01124","0.00058"
"0.18000","0.01190","0.00070"
"0.18600","0.01256","0.00083"
"0.19200","0.01321","0.00098"
"0.19800","0.01387","0.00088"
"0.20400","0.01453","0.00078"
"0.21000","0.01519","0.00071"
"0.21600","0.01584","0.00067"
"0.22200","0.01650","0.00071"
"0.22800","0.01716","0.00075"
"0.23400","0.01782","0.00076"
"0.24000","0.01847","0.00084"
"0.24600","0.01907","0.00086"
"0.25200","0.01967","0.00100"
"0.25800","0.02033","0.00122"
"0.26400","0.02093","0.00141"
"0.27000","0.02158","0.00160"
"0.27600","0.02218","0.00174"
"0.28200","0.02278","0.00179"
"0.28800","0.02338","0.00177"
"0.29400","0.02398","0.00156"
"0.30000","0.02451","0.00132"
"0.30600","0.02511","0.00121"
"0.31200","0.02571","0.00127"
"0.31800","0.02625","0.00143"
"0.32400","0.02685","0.00148"
"0.33000","0.02738","0.00145"
"0.33600","0.02792","0.00151"
"0.34200","0.02846","0.00144"
"0.34800","0.02906","0.00139"
"0.35400","0.02954","0.00139"
"0.36000","0.03007","0.00137"
"0.36600","0.03061","0.00133"
"0.37200","0.03115","0.00136"
"0.37800","0.03169","0.00138"
"0.38400","0.03223","0.00136"
"0.39000","0.03270","0.00141"
"0.39600","0.03324","0.00142"
"0.40200","0.03378","0.00142"
"0.40800","0.03426","0.00157"
"0.41400","0.03480","0.00157"
"0.42000","0.03528","0.00165"
"0.42600","0.03581","0.00174"
"0.43200","0.03635","0.00180"
"0.43800","0.03683","0.00187"
"0.44400","0.03731","0.00190"
"0.45000","0.03785","0.00185"
"0.45600","0.03833","0.00187"
"0.46200","0.03886","0.00192"
"0.46800","0.03934","0.00203"
"0.47400","0.03982","0.00217"
"0.48000","0.04030","0.00218"
"0.48600","0.04078","0.00213"
"0.49200","0.04131","0.00193"
"0.49800","0.04179","0.00173"
"0.50400","0.04227","0.00159"
"0.51000","0.04275","0.00157"
"0.51600","0.04329","0.00157"
"0.52200","0.04377","0.00153"
"0.52800","0.04430","0.00151"
"0.53400","0.04478","0.00156"
"0.54000","0.04526","0.00172"
"0.54600","0.04580","0.00182"
"0.55200","0.04628","0.00188"
"0.55800","0.04676","0.00185"
"0.56400","0.04729","0.00178"
"0.57000","0.04777","0.00169"
"0.57600","0.04825","0.00159"
"0.58200","0.04873","0.00149"
"0.58800","0.04927","0.00144"
"0.59400","0.04974","0.00136"
"0.60000","0.05022","0.00125"
"0.60600","0.05076","0.00122"
