End date,"1/22/2017"
Specimen label,"3CT_17_run2"
Maximum Load,"0.29793",N

Time,Extension,Load
(s),(mm),(N)
"1.10400","10.79016","0.03779"
"1.11000","10.79064","0.03779"
"1.11600","10.79117","0.03783"
"1.12200","10.79165","0.03774"
"1.12800","10.79213","0.03769"
"1.13400","10.79267","0.03764"
"1.14000","10.79315","0.03762"
"1.14600","10.79362","0.03764"
"1.15200","10.79410","0.03773"
"1.15800","10.79458","0.03792"
"1.16400","10.79512","0.03812"
"1.17000","10.79560","0.03820"
"1.17600","10.79608","0.03826"
"1.18200","10.79661","0.03824"
"1.18800","10.79709","0.03817"
"1.19400","10.79763","0.03811"
"1.20000","10.79811","0.03803"
"1.20600","10.79859","0.03793"
"1.21200","10.79912","0.03786"
"1.21800","10.79960","0.03781"
"1.22400","10.80008","0.03783"
"1.23000","10.80062","0.03793"
"1.23600","10.80110","0.03799"
"1.24200","10.80158","0.03804"
"1.24800","10.80206","0.03811"
"1.25400","10.80259","0.03815"
"1.26000","10.80307","0.03816"
"1.26600","10.80355","0.03818"
"1.27200","10.80409","0.03821"
"1.27800","10.80457","0.03819"
"1.28400","10.80505","0.03816"
"1.29000","10.80558","0.03815"
"1.29600","10.80606","0.03816"
"1.30200","10.80654","0.03819"
"1.30800","10.80708","0.03825"
"1.31400","10.80756","0.03835"
"1.32000","10.80803","0.03842"
"1.32600","10.80857","0.03849"
"1.33200","10.80905","0.03860"
"1.33800","10.80959","0.03869"
"1.34400","10.81007","0.03874"
"1.35000","10.81055","0.03878"
"1.35600","10.81102","0.03889"
"1.36200","10.81156","0.03895"
"1.36800","10.81204","0.03895"
"1.37400","10.81252","0.03895"
"1.38000","10.81306","0.03898"
"1.38600","10.81353","0.03903"
"1.39200","10.81407","0.03901"
"1.39800","10.81455","0.03896"
"1.40400","10.81503","0.03894"
"1.41000","10.81557","0.03893"
"1.41600","10.81605","0.03900"
"1.42200","10.81658","0.03909"
"1.42800","10.81706","0.03918"
"1.43400","10.81754","0.03921"
"1.44000","10.81802","0.03919"
"1.44600","10.81856","0.03919"
"1.45200","10.81904","0.03927"
"1.45800","10.81957","0.03934"
"1.46400","10.82005","0.03940"
"1.47000","10.82059","0.03942"
"1.47600","10.82107","0.03938"
"1.48200","10.82161","0.03934"
"1.48800","10.82208","0.03933"
"1.49400","10.82256","0.03930"
"1.50000","10.82310","0.03927"
"1.50600","10.82358","0.03921"
"1.51200","10.82412","0.03919"
"1.51800","10.82460","0.03920"
"1.52400","10.82514","0.03922"
"1.53000","10.82561","0.03924"
"1.53600","10.82609","0.03921"
"1.54200","10.82663","0.03919"
"1.54800","10.82711","0.03918"
"1.55400","10.82765","0.03914"
"1.56000","10.82812","0.03911"
"1.56600","10.82860","0.03908"
"1.57200","10.82914","0.03909"
"1.57800","10.82962","0.03913"
"1.58400","10.83010","0.03924"
"1.59000","10.83057","0.03934"
"1.59600","10.83111","0.03938"
"1.60200","10.83159","0.03940"
"1.60800","10.83207","0.03938"
"1.61400","10.83261","0.03928"
"1.62000","10.83309","0.03912"
"1.62600","10.83362","0.03895"
"1.63200","10.83410","0.03881"
"1.63800","10.83458","0.03877"
"1.64400","10.83512","0.03880"
"1.65000","10.83560","0.03887"
"1.65600","10.83608","0.03900"
