End date,"1/22/2017"
Specimen label,"12CG_91"
Maximum Load,"0.23598",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.00375"
"0.00600","0.00000","0.00379"
"0.01200","0.00006","0.00390"
"0.01800","0.00012","0.00396"
"0.02400","0.00018","0.00391"
"0.03000","0.00030","0.00388"
"0.03600","0.00048","0.00383"
"0.04200","0.00060","0.00370"
"0.04800","0.00084","0.00363"
"0.05400","0.00108","0.00360"
"0.06000","0.00132","0.00365"
"0.06600","0.00161","0.00372"
"0.07200","0.00191","0.00377"
"0.07800","0.00227","0.00373"
"0.08400","0.00263","0.00370"
"0.09000","0.00305","0.00374"
"0.09600","0.00347","0.00384"
"0.10200","0.00395","0.00396"
"0.10800","0.00442","0.00405"
"0.11400","0.00496","0.00421"
"0.12000","0.00550","0.00433"
"0.12600","0.00610","0.00447"
"0.13200","0.00664","0.00466"
"0.13800","0.00723","0.00496"
"0.14400","0.00783","0.00526"
"0.15000","0.00843","0.00538"
"0.15600","0.00909","0.00535"
"0.16200","0.00975","0.00541"
"0.16800","0.01040","0.00551"
"0.17400","0.01106","0.00565"
"0.18000","0.01172","0.00580"
"0.18600","0.01238","0.00596"
"0.19200","0.01303","0.00607"
"0.19800","0.01369","0.00619"
"0.20400","0.01441","0.00632"
"0.21000","0.01507","0.00649"
"0.21600","0.01572","0.00664"
"0.22200","0.01638","0.00677"
"0.22800","0.01710","0.00697"
"0.23400","0.01776","0.00717"
"0.24000","0.01836","0.00730"
"0.24600","0.01901","0.00737"
"0.25200","0.01961","0.00733"
"0.25800","0.02027","0.00718"
"0.26400","0.02087","0.00699"
"0.27000","0.02146","0.00686"
"0.27600","0.02206","0.00681"
"0.28200","0.02272","0.00685"
"0.28800","0.02332","0.00688"
"0.29400","0.02392","0.00689"
"0.30000","0.02451","0.00681"
"0.30600","0.02511","0.00667"
"0.31200","0.02565","0.00660"
"0.31800","0.02625","0.00648"
"0.32400","0.02685","0.00634"
"0.33000","0.02738","0.00619"
"0.33600","0.02798","0.00612"
"0.34200","0.02852","0.00599"
"0.34800","0.02906","0.00588"
"0.35400","0.02960","0.00584"
"0.36000","0.03019","0.00586"
"0.36600","0.03067","0.00587"
"0.37200","0.03121","0.00587"
"0.37800","0.03175","0.00593"
"0.38400","0.03223","0.00600"
"0.39000","0.03276","0.00600"
"0.39600","0.03324","0.00599"
"0.40200","0.03372","0.00605"
"0.40800","0.03426","0.00610"
"0.41400","0.03474","0.00614"
"0.42000","0.03528","0.00620"
"0.42600","0.03575","0.00621"
"0.43200","0.03629","0.00629"
"0.43800","0.03683","0.00637"
"0.44400","0.03731","0.00644"
"0.45000","0.03785","0.00657"
"0.45600","0.03833","0.00673"
"0.46200","0.03886","0.00691"
"0.46800","0.03934","0.00708"
"0.47400","0.03988","0.00730"
"0.48000","0.04036","0.00746"
"0.48600","0.04084","0.00762"
"0.49200","0.04137","0.00780"
"0.49800","0.04185","0.00802"
"0.50400","0.04233","0.00815"
"0.51000","0.04287","0.00831"
"0.51600","0.04335","0.00848"
"0.52200","0.04383","0.00865"
"0.52800","0.04430","0.00884"
"0.53400","0.04478","0.00897"
"0.54000","0.04532","0.00908"
"0.54600","0.04580","0.00919"
"0.55200","0.04628","0.00929"
"0.55800","0.04682","0.00932"
"0.56400","0.04729","0.00943"
"0.57000","0.04783","0.00952"
"0.57600","0.04831","0.00957"
"0.58200","0.04879","0.00957"
"0.58800","0.04927","0.00959"
"0.59400","0.04980","0.00960"
"0.60000","0.05028","0.00959"
"0.60600","0.05076","0.00963"
"0.61200","0.05124","0.00975"
"0.61800","0.05178","0.00983"
"0.62400","0.05226","0.00981"
"0.63000","0.05273","0.00980"
"0.63600","0.05327","0.00980"
"0.64200","0.05375","0.00984"
"0.64800","0.05423","0.00991"
"0.65400","0.05471","0.01000"
"0.66000","0.05519","0.01002"
"0.66600","0.05572","0.01007"
"0.67200","0.05620","0.01014"
"0.67800","0.05668","0.01015"
"0.68400","0.05716","0.01013"
"0.69000","0.05770","0.01007"
"0.69600","0.05818","0.01002"
"0.70200","0.05871","0.00989"
"0.70800","0.05919","0.00977"
"0.71400","0.05973","0.00971"
"0.72000","0.06021","0.00964"
"0.72600","0.06075","0.00951"
"0.73200","0.06122","0.00937"
"0.73800","0.06170","0.00935"
"0.74400","0.06224","0.00936"
"0.75000","0.06272","0.00932"
"0.75600","0.06320","0.00925"
"0.76200","0.06368","0.00922"
"0.76800","0.06421","0.00927"
"0.77400","0.06469","0.00928"
"0.78000","0.06523","0.00931"
"0.78600","0.06571","0.00935"
"0.79200","0.06619","0.00939"
"0.79800","0.06673","0.00943"
"0.80400","0.06720","0.00942"
"0.81000","0.06774","0.00942"
"0.81600","0.06822","0.00943"
"0.82200","0.06870","0.00944"
"0.82800","0.06918","0.00948"
"0.83400","0.06971","0.00961"
"0.84000","0.07019","0.00977"
"0.84600","0.07073","0.00987"
"0.85200","0.07127","0.00994"
"0.85800","0.07175","0.00999"
"0.86400","0.07229","0.01004"
"0.87000","0.07276","0.01009"
"0.87600","0.07330","0.01017"
"0.88200","0.07378","0.01021"
"0.88800","0.07426","0.01026"
"0.89400","0.07480","0.01034"
"0.90000","0.07528","0.01041"
"0.90600","0.07575","0.01052"
"0.91200","0.07629","0.01067"
