End date,"1/22/2017"
Specimen label,"14BT_14"
Maximum Load,"0.55606",N

Time,Extension,Load
(s),(mm),(N)
"1.09800","0.09172","0.00243"
"1.10400","0.09220","0.00239"
"1.11000","0.09267","0.00232"
"1.11600","0.09321","0.00225"
"1.12200","0.09369","0.00211"
"1.12800","0.09417","0.00195"
"1.13400","0.09471","0.00184"
"1.14000","0.09518","0.00179"
"1.14600","0.09566","0.00178"
"1.15200","0.09620","0.00183"
"1.15800","0.09668","0.00196"
"1.16400","0.09716","0.00203"
"1.17000","0.09770","0.00208"
"1.17600","0.09817","0.00226"
"1.18200","0.09871","0.00241"
"1.18800","0.09919","0.00241"
"1.19400","0.09967","0.00231"
"1.20000","0.10021","0.00222"
"1.20600","0.10069","0.00221"
"1.21200","0.10122","0.00218"
"1.21800","0.10170","0.00215"
"1.22400","0.10218","0.00217"
"1.23000","0.10266","0.00225"
"1.23600","0.10320","0.00242"
"1.24200","0.10368","0.00252"
"1.24800","0.10415","0.00261"
"1.25400","0.10469","0.00260"
"1.26000","0.10517","0.00249"
"1.26600","0.10565","0.00243"
"1.27200","0.10619","0.00234"
"1.27800","0.10666","0.00239"
"1.28400","0.10714","0.00246"
"1.29000","0.10762","0.00259"
"1.29600","0.10816","0.00262"
"1.30200","0.10864","0.00268"
"1.30800","0.10912","0.00259"
"1.31400","0.10965","0.00261"
"1.32000","0.11019","0.00265"
"1.32600","0.11067","0.00271"
"1.33200","0.11121","0.00274"
"1.33800","0.11175","0.00276"
"1.34400","0.11222","0.00277"
"1.35000","0.11276","0.00269"
"1.35600","0.11324","0.00266"
"1.36200","0.11372","0.00258"
"1.36800","0.11426","0.00252"
"1.37400","0.11474","0.00271"
"1.38000","0.11521","0.00290"
"1.38600","0.11575","0.00306"
"1.39200","0.11623","0.00298"
"1.39800","0.11671","0.00289"
"1.40400","0.11725","0.00287"
"1.41000","0.11773","0.00283"
"1.41600","0.11820","0.00274"
"1.42200","0.11868","0.00267"
"1.42800","0.11922","0.00249"
"1.43400","0.11970","0.00246"
"1.44000","0.12018","0.00258"
"1.44600","0.12072","0.00262"
"1.45200","0.12119","0.00254"
"1.45800","0.12173","0.00246"
"1.46400","0.12221","0.00246"
"1.47000","0.12275","0.00255"
"1.47600","0.12323","0.00261"
"1.48200","0.12376","0.00273"
"1.48800","0.12424","0.00277"
"1.49400","0.12472","0.00261"
"1.50000","0.12526","0.00250"
"1.50600","0.12574","0.00250"
"1.51200","0.12622","0.00250"
"1.51800","0.12669","0.00258"
"1.52400","0.12717","0.00264"
"1.53000","0.12771","0.00261"
"1.53600","0.12819","0.00256"
"1.54200","0.12867","0.00260"
"1.54800","0.12921","0.00257"
"1.55400","0.12968","0.00249"
"1.56000","0.13022","0.00246"
"1.56600","0.13070","0.00249"
"1.57200","0.13118","0.00257"
"1.57800","0.13172","0.00264"
"1.58400","0.13219","0.00266"
"1.59000","0.13273","0.00268"
"1.59600","0.13321","0.00274"
"1.60200","0.13375","0.00287"
"1.60800","0.13423","0.00295"
"1.61400","0.13471","0.00298"
"1.62000","0.13524","0.00296"
"1.62600","0.13572","0.00291"
"1.63200","0.13626","0.00284"
"1.63800","0.13674","0.00274"
"1.64400","0.13722","0.00265"
"1.65000","0.13776","0.00261"
"1.65600","0.13823","0.00263"
"1.66200","0.13871","0.00251"
"1.66800","0.13925","0.00249"
"1.67400","0.13973","0.00253"
"1.68000","0.14021","0.00254"
"1.68600","0.14068","0.00254"
"1.69200","0.14122","0.00256"
"1.69800","0.14170","0.00263"
"1.70400","0.14218","0.00268"
"1.71000","0.14272","0.00263"
"1.71600","0.14320","0.00263"
"1.72200","0.14367","0.00270"
"1.72800","0.14415","0.00272"
"1.73400","0.14469","0.00273"
"1.74000","0.14517","0.00288"
"1.74600","0.14565","0.00294"
"1.75200","0.14619","0.00298"
"1.75800","0.14666","0.00296"
"1.76400","0.14720","0.00299"
"1.77000","0.14768","0.00308"
"1.77600","0.14822","0.00315"
"1.78200","0.14870","0.00313"
"1.78800","0.14923","0.00301"
"1.79400","0.14971","0.00288"
"1.80000","0.15019","0.00282"
"1.80600","0.15073","0.00280"
"1.81200","0.15121","0.00268"
"1.81800","0.15169","0.00268"
"1.82400","0.15216","0.00274"
"1.83000","0.15270","0.00280"
"1.83600","0.15318","0.00289"
"1.84200","0.15366","0.00293"
"1.84800","0.15414","0.00304"
"1.85400","0.15468","0.00321"
"1.86000","0.15515","0.00330"
"1.86600","0.15563","0.00328"
"1.87200","0.15617","0.00322"
"1.87800","0.15665","0.00312"
"1.88400","0.15719","0.00306"
"1.89000","0.15766","0.00301"
"1.89600","0.15820","0.00294"
"1.90200","0.15868","0.00287"
"1.90800","0.15922","0.00284"
"1.91400","0.15970","0.00285"
"1.92000","0.16018","0.00285"
"1.92600","0.16071","0.00282"
"1.93200","0.16119","0.00283"
"1.93800","0.16173","0.00285"
"1.94400","0.16221","0.00294"
"1.95000","0.16269","0.00308"
"1.95600","0.16323","0.00321"
"1.96200","0.16370","0.00326"
"1.96800","0.16418","0.00326"
"1.97400","0.16472","0.00330"
"1.98000","0.16520","0.00335"
"1.98600","0.16574","0.00334"
"1.99200","0.16621","0.00327"
"1.99800","0.16669","0.00307"
"2.00400","0.16723","0.00288"
"2.01000","0.16771","0.00278"
"2.01600","0.16819","0.00277"
"2.02200","0.16873","0.00279"
"2.02800","0.16920","0.00281"
"2.03400","0.16968","0.00290"
"2.04000","0.17022","0.00301"
"2.04600","0.17070","0.00308"
"2.05200","0.17124","0.00310"
"2.05800","0.17172","0.00311"
"2.06400","0.17225","0.00312"
"2.07000","0.17273","0.00312"
"2.07600","0.17321","0.00312"
"2.08200","0.17369","0.00307"
"2.08800","0.17423","0.00313"
"2.09400","0.17471","0.00322"
"2.10000","0.17518","0.00334"
"2.10600","0.17572","0.00332"
"2.11200","0.17620","0.00323"
"2.11800","0.17674","0.00320"
"2.12400","0.17722","0.00322"
"2.13000","0.17769","0.00318"
"2.13600","0.17823","0.00325"
"2.14200","0.17871","0.00329"
"2.14800","0.17919","0.00331"
"2.15400","0.17973","0.00335"
"2.16000","0.18021","0.00347"
"2.16600","0.18068","0.00349"
"2.17200","0.18122","0.00351"
"2.17800","0.18170","0.00347"
"2.18400","0.18224","0.00336"
"2.19000","0.18272","0.00332"
"2.19600","0.18325","0.00328"
"2.20200","0.18373","0.00328"
"2.20800","0.18421","0.00336"
"2.21400","0.18475","0.00345"
"2.22000","0.18523","0.00357"
"2.22600","0.18571","0.00367"
"2.23200","0.18624","0.00365"
"2.23800","0.18672","0.00368"
"2.24400","0.18720","0.00363"
"2.25000","0.18768","0.00367"
"2.25600","0.18816","0.00373"
"2.26200","0.18870","0.00373"
"2.26800","0.18917","0.00371"
"2.27400","0.18965","0.00375"
"2.28000","0.19013","0.00377"
"2.28600","0.19067","0.00377"
"2.29200","0.19115","0.00361"
"2.29800","0.19163","0.00351"
"2.30400","0.19210","0.00354"
"2.31000","0.19264","0.00346"
"2.31600","0.19312","0.00331"
"2.32200","0.19366","0.00325"
"2.32800","0.19414","0.00318"
"2.33400","0.19467","0.00316"
"2.34000","0.19515","0.00324"
"2.34600","0.19563","0.00325"
"2.35200","0.19617","0.00324"
"2.35800","0.19665","0.00331"
"2.36400","0.19713","0.00337"
"2.37000","0.19766","0.00339"
"2.37600","0.19814","0.00340"
"2.38200","0.19862","0.00347"
"2.38800","0.19916","0.00358"
"2.39400","0.19964","0.00358"
"2.40000","0.20018","0.00355"
"2.40600","0.20065","0.00357"
"2.41200","0.20113","0.00356"
"2.41800","0.20167","0.00358"
"2.42400","0.20215","0.00363"
"2.43000","0.20269","0.00370"
"2.43600","0.20316","0.00379"
"2.44200","0.20370","0.00396"
"2.44800","0.20418","0.00404"
"2.45400","0.20472","0.00402"
"2.46000","0.20520","0.00399"
"2.46600","0.20568","0.00382"
"2.47200","0.20621","0.00383"
"2.47800","0.20669","0.00390"
"2.48400","0.20723","0.00402"
"2.49000","0.20771","0.00408"
"2.49600","0.20825","0.00404"
"2.50200","0.20873","0.00397"
"2.50800","0.20920","0.00380"
"2.51400","0.20974","0.00364"
"2.52000","0.21022","0.00357"
"2.52600","0.21070","0.00347"
"2.53200","0.21124","0.00347"
"2.53800","0.21171","0.00350"
"2.54400","0.21219","0.00340"
"2.55000","0.21273","0.00332"
"2.55600","0.21321","0.00339"
"2.56200","0.21369","0.00337"
"2.56800","0.21423","0.00347"
"2.57400","0.21470","0.00371"
"2.58000","0.21518","0.00384"
"2.58600","0.21566","0.00393"
"2.59200","0.21620","0.00390"
"2.59800","0.21668","0.00394"
"2.60400","0.21716","0.00408"
"2.61000","0.21769","0.00406"
"2.61600","0.21817","0.00398"
"2.62200","0.21871","0.00390"
"2.62800","0.21919","0.00371"
"2.63400","0.21973","0.00356"
"2.64000","0.22020","0.00345"
"2.64600","0.22068","0.00344"
"2.65200","0.22122","0.00355"
"2.65800","0.22170","0.00365"
"2.66400","0.22224","0.00370"
"2.67000","0.22272","0.00393"
"2.67600","0.22319","0.00415"
"2.68200","0.22373","0.00443"
"2.68800","0.22421","0.00451"
"2.69400","0.22469","0.00447"
"2.70000","0.22523","0.00453"
"2.70600","0.22571","0.00452"
"2.71200","0.22618","0.00435"
"2.71800","0.22666","0.00416"
"2.72400","0.22720","0.00401"
"2.73000","0.22768","0.00378"
"2.73600","0.22816","0.00374"
"2.74200","0.22869","0.00375"
"2.74800","0.22917","0.00370"
"2.75400","0.22971","0.00370"
"2.76000","0.23019","0.00367"
"2.76600","0.23073","0.00369"
"2.77200","0.23121","0.00371"
"2.77800","0.23168","0.00368"
"2.78400","0.23222","0.00368"
"2.79000","0.23270","0.00384"
"2.79600","0.23318","0.00395"
"2.80200","0.23366","0.00408"
"2.80800","0.23420","0.00413"
"2.81400","0.23467","0.00415"
"2.82000","0.23515","0.00408"
"2.82600","0.23569","0.00384"
