End date,"2/26/2017"
Specimen label,"6AT_47"
Maximum Load,"0.19279",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.00008"
"0.00600","0.00000","0.00012"
"0.01200","0.00000","0.00010"
"0.01800","0.00012","0.00006"
"0.02400","0.00018","-0.00001"
"0.03000","0.00030","-0.00011"
"0.03600","0.00042","-0.00006"
"0.04200","0.00060","0.00001"
"0.04800","0.00084","0.00010"
"0.05400","0.00108","0.00020"
"0.06000","0.00132","0.00037"
"0.06600","0.00161","0.00052"
"0.07200","0.00197","0.00048"
"0.07800","0.00233","0.00033"
"0.08400","0.00269","0.00029"
"0.09000","0.00311","0.00009"
"0.09600","0.00359","-0.00030"
"0.10200","0.00407","-0.00048"
"0.10800","0.00460","-0.00034"
"0.11400","0.00508","-0.00018"
"0.12000","0.00568","-0.00019"
"0.12600","0.00622","-0.00014"
"0.13200","0.00682","-0.00016"
"0.13800","0.00741","-0.00018"
"0.14400","0.00801","-0.00029"
"0.15000","0.00867","-0.00017"
"0.15600","0.00933","0.00002"
"0.16200","0.00998","0.00017"
"0.16800","0.01064","0.00021"
"0.17400","0.01130","0.00009"
"0.18000","0.01196","-0.00010"
"0.18600","0.01262","-0.00028"
"0.19200","0.01327","-0.00023"
"0.19800","0.01393","-0.00002"
"0.20400","0.01459","0.00016"
"0.21000","0.01525","0.00037"
"0.21600","0.01590","0.00039"
"0.22200","0.01650","0.00023"
"0.22800","0.01716","0.00012"
"0.23400","0.01782","0.00005"
"0.24000","0.01847","0.00003"
"0.24600","0.01907","0.00002"
"0.25200","0.01973","0.00003"
"0.25800","0.02033","0.00010"
"0.26400","0.02099","0.00011"
"0.27000","0.02158","0.00009"
"0.27600","0.02218","0.00004"
"0.28200","0.02278","0.00008"
"0.28800","0.02338","0.00016"
"0.29400","0.02392","0.00011"
"0.30000","0.02451","0.00001"
"0.30600","0.02511","-0.00005"
"0.31200","0.02565","-0.00012"
"0.31800","0.02619","-0.00018"
"0.32400","0.02679","-0.00019"
"0.33000","0.02732","-0.00012"
"0.33600","0.02786","-0.00003"
"0.34200","0.02846","-0.00002"
"0.34800","0.02900","-0.00021"
"0.35400","0.02954","-0.00030"
"0.36000","0.03001","-0.00027"
"0.36600","0.03055","-0.00019"
"0.37200","0.03115","-0.00011"
"0.37800","0.03169","0.00000"
"0.38400","0.03217","0.00009"
"0.39000","0.03270","0.00019"
"0.39600","0.03324","0.00022"
"0.40200","0.03378","0.00027"
"0.40800","0.03426","0.00035"
"0.41400","0.03480","0.00043"
"0.42000","0.03528","0.00047"
"0.42600","0.03581","0.00053"
"0.43200","0.03629","0.00043"
"0.43800","0.03683","0.00032"
"0.44400","0.03731","0.00030"
"0.45000","0.03785","0.00016"
"0.45600","0.03833","0.00005"
"0.46200","0.03886","0.00015"
"0.46800","0.03934","0.00031"
"0.47400","0.03988","0.00032"
"0.48000","0.04036","0.00037"
