End date,"2/26/2017"
Specimen label,"6AT_44"
Maximum Load,"0.06217",N

Time,Extension,Load
(s),(mm),(N)
"1.09800","0.09172","0.00155"
"1.10400","0.09220","0.00171"
"1.11000","0.09267","0.00178"
"1.11600","0.09321","0.00192"
"1.12200","0.09369","0.00190"
"1.12800","0.09417","0.00187"
"1.13400","0.09471","0.00184"
"1.14000","0.09518","0.00178"
"1.14600","0.09566","0.00162"
"1.15200","0.09614","0.00160"
"1.15800","0.09668","0.00153"
"1.16400","0.09716","0.00150"
"1.17000","0.09764","0.00135"
"1.17600","0.09817","0.00115"
"1.18200","0.09865","0.00090"
"1.18800","0.09913","0.00081"
"1.19400","0.09967","0.00080"
"1.20000","0.10015","0.00093"
"1.20600","0.10063","0.00109"
"1.21200","0.10116","0.00114"
"1.21800","0.10164","0.00128"
"1.22400","0.10212","0.00147"
"1.23000","0.10266","0.00161"
"1.23600","0.10314","0.00165"
"1.24200","0.10362","0.00162"
"1.24800","0.10409","0.00160"
"1.25400","0.10463","0.00168"
"1.26000","0.10511","0.00177"
"1.26600","0.10559","0.00195"
"1.27200","0.10613","0.00207"
"1.27800","0.10660","0.00213"
"1.28400","0.10708","0.00218"
"1.29000","0.10762","0.00215"
"1.29600","0.10810","0.00195"
"1.30200","0.10864","0.00172"
"1.30800","0.10912","0.00151"
"1.31400","0.10965","0.00145"
"1.32000","0.11013","0.00138"
"1.32600","0.11067","0.00126"
"1.33200","0.11115","0.00123"
"1.33800","0.11169","0.00126"
"1.34400","0.11217","0.00139"
"1.35000","0.11270","0.00144"
"1.35600","0.11318","0.00145"
"1.36200","0.11372","0.00147"
"1.36800","0.11420","0.00157"
"1.37400","0.11474","0.00165"
"1.38000","0.11521","0.00170"
"1.38600","0.11575","0.00165"
"1.39200","0.11623","0.00159"
"1.39800","0.11671","0.00161"
"1.40400","0.11725","0.00167"
"1.41000","0.11773","0.00175"
"1.41600","0.11820","0.00176"
"1.42200","0.11874","0.00164"
"1.42800","0.11922","0.00143"
"1.43400","0.11976","0.00137"
"1.44000","0.12024","0.00140"
"1.44600","0.12072","0.00142"
"1.45200","0.12125","0.00152"
"1.45800","0.12173","0.00158"
"1.46400","0.12221","0.00162"
"1.47000","0.12269","0.00175"
"1.47600","0.12323","0.00196"
"1.48200","0.12370","0.00210"
"1.48800","0.12418","0.00214"
