"","Var1","Var2","Var3","Freq"
"1","12","H","G",14
"2","15","H","G",14
"3","18","H","G",14
"4","21","H","G",15
"5","12","L","G",15
"6","15","L","G",15
"7","18","L","G",13
"8","21","L","G",16
"9","12","H","T",12
"10","15","H","T",10
"11","18","H","T",7
"12","21","H","T",4
"13","12","L","T",13
"14","15","L","T",14
"15","18","L","T",9
"16","21","L","T",3
