End date,"2/12/2017"
Specimen label,"12BT_91"
Maximum Load,"0.13297",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.00079"
"0.00600","0.00000","0.00093"
"0.01200","0.00000","0.00099"
"0.01800","0.00012","0.00096"
"0.02400","0.00018","0.00093"
"0.03000","0.00030","0.00091"
"0.03600","0.00042","0.00070"
"0.04200","0.00060","0.00066"
"0.04800","0.00078","0.00061"
"0.05400","0.00102","0.00042"
"0.06000","0.00120","0.00025"
"0.06600","0.00149","0.00009"
"0.07200","0.00173","0.00001"
"0.07800","0.00203","-0.00002"
"0.08400","0.00239","-0.00007"
"0.09000","0.00275","0.00002"
"0.09600","0.00317","0.00014"
"0.10200","0.00359","0.00018"
"0.10800","0.00401","0.00028"
"0.11400","0.00448","0.00034"
"0.12000","0.00502","0.00040"
"0.12600","0.00550","0.00055"
"0.13200","0.00610","0.00060"
"0.13800","0.00664","0.00056"
"0.14400","0.00723","0.00059"
"0.15000","0.00783","0.00073"
"0.15600","0.00849","0.00084"
"0.16200","0.00915","0.00093"
"0.16800","0.00981","0.00104"
"0.17400","0.01046","0.00114"
"0.18000","0.01112","0.00115"
"0.18600","0.01184","0.00109"
"0.19200","0.01256","0.00107"
"0.19800","0.01321","0.00101"
"0.20400","0.01393","0.00082"
"0.21000","0.01465","0.00072"
"0.21600","0.01531","0.00071"
"0.22200","0.01602","0.00066"
"0.22800","0.01668","0.00063"
"0.23400","0.01734","0.00070"
"0.24000","0.01800","0.00090"
"0.24600","0.01865","0.00108"
"0.25200","0.01931","0.00116"
"0.25800","0.01991","0.00137"
"0.26400","0.02057","0.00154"
"0.27000","0.02123","0.00167"
"0.27600","0.02182","0.00162"
"0.28200","0.02248","0.00146"
"0.28800","0.02308","0.00129"
"0.29400","0.02374","0.00130"
"0.30000","0.02433","0.00137"
"0.30600","0.02493","0.00122"
"0.31200","0.02553","0.00110"
"0.31800","0.02613","0.00100"
"0.32400","0.02667","0.00098"
"0.33000","0.02720","0.00103"
"0.33600","0.02780","0.00106"
"0.34200","0.02834","0.00110"
"0.34800","0.02894","0.00115"
"0.35400","0.02948","0.00125"
"0.36000","0.03001","0.00147"
"0.36600","0.03055","0.00168"
"0.37200","0.03109","0.00188"
"0.37800","0.03157","0.00203"
"0.38400","0.03211","0.00205"
"0.39000","0.03265","0.00201"
"0.39600","0.03318","0.00197"
"0.40200","0.03372","0.00194"
"0.40800","0.03426","0.00182"
"0.41400","0.03474","0.00167"
"0.42000","0.03528","0.00145"
"0.42600","0.03575","0.00148"
"0.43200","0.03629","0.00160"
"0.43800","0.03677","0.00173"
"0.44400","0.03731","0.00195"
"0.45000","0.03779","0.00221"
"0.45600","0.03827","0.00236"
"0.46200","0.03880","0.00247"
"0.46800","0.03928","0.00236"
"0.47400","0.03982","0.00219"
"0.48000","0.04030","0.00199"
"0.48600","0.04084","0.00178"
"0.49200","0.04131","0.00154"
"0.49800","0.04179","0.00134"
"0.50400","0.04233","0.00124"
"0.51000","0.04281","0.00138"
"0.51600","0.04329","0.00164"
"0.52200","0.04377","0.00189"
"0.52800","0.04424","0.00209"
"0.53400","0.04478","0.00222"
"0.54000","0.04526","0.00231"
"0.54600","0.04574","0.00244"
"0.55200","0.04622","0.00238"
"0.55800","0.04676","0.00223"
"0.56400","0.04723","0.00208"
"0.57000","0.04771","0.00189"
"0.57600","0.04819","0.00177"
"0.58200","0.04867","0.00174"
"0.58800","0.04915","0.00165"
"0.59400","0.04969","0.00166"
"0.60000","0.05016","0.00161"
"0.60600","0.05064","0.00155"
"0.61200","0.05118","0.00165"
"0.61800","0.05166","0.00180"
"0.62400","0.05214","0.00187"
"0.63000","0.05267","0.00180"
"0.63600","0.05315","0.00182"
"0.64200","0.05363","0.00204"
"0.64800","0.05417","0.00216"
"0.65400","0.05465","0.00203"
"0.66000","0.05513","0.00201"
"0.66600","0.05566","0.00199"
"0.67200","0.05614","0.00183"
