End date,"2/12/2017"
Specimen label,"9CG_76"
Maximum Load,"0.71948",N

Time,Extension,Load
(s),(mm),(N)
"1.10400","14.52144","0.01977"
"1.11000","14.52198","0.01986"
"1.11600","14.52246","0.01992"
"1.12200","14.52294","0.01984"
"1.12800","14.52348","0.01972"
"1.13400","14.52396","0.01959"
"1.14000","14.52449","0.01959"
"1.14600","14.52497","0.01972"
"1.15200","14.52551","0.01986"
"1.15800","14.52599","0.02012"
"1.16400","14.52647","0.02029"
"1.17000","14.52700","0.02030"
"1.17600","14.52748","0.02020"
"1.18200","14.52796","0.02019"
"1.18800","14.52850","0.02017"
"1.19400","14.52898","0.02013"
"1.20000","14.52952","0.02020"
"1.20600","14.52999","0.02033"
"1.21200","14.53047","0.02040"
"1.21800","14.53095","0.02036"
"1.22400","14.53149","0.02023"
"1.23000","14.53197","0.02009"
"1.23600","14.53244","0.01997"
"1.24200","14.53292","0.01986"
"1.24800","14.53346","0.01989"
"1.25400","14.53394","0.01997"
"1.26000","14.53448","0.02006"
"1.26600","14.53496","0.02012"
"1.27200","14.53543","0.02015"
"1.27800","14.53597","0.02027"
"1.28400","14.53645","0.02051"
"1.29000","14.53699","0.02061"
"1.29600","14.53747","0.02059"
"1.30200","14.53795","0.02050"
"1.30800","14.53848","0.02037"
"1.31400","14.53896","0.02026"
"1.32000","14.53944","0.02027"
"1.32600","14.53992","0.02040"
"1.33200","14.54045","0.02051"
"1.33800","14.54093","0.02059"
"1.34400","14.54141","0.02054"
"1.35000","14.54195","0.02046"
"1.35600","14.54243","0.02039"
"1.36200","14.54291","0.02040"
"1.36800","14.54344","0.02042"
"1.37400","14.54392","0.02035"
"1.38000","14.54440","0.02040"
"1.38600","14.54494","0.02038"
"1.39200","14.54542","0.02031"
"1.39800","14.54596","0.02013"
"1.40400","14.54643","0.01987"
"1.41000","14.54691","0.01975"
"1.41600","14.54745","0.01982"
"1.42200","14.54793","0.01986"
"1.42800","14.54847","0.02004"
"1.43400","14.54895","0.02016"
"1.44000","14.54942","0.02018"
"1.44600","14.54996","0.02014"
"1.45200","14.55044","0.02004"
"1.45800","14.55092","0.02001"
"1.46400","14.55146","0.01997"
"1.47000","14.55194","0.01991"
"1.47600","14.55241","0.01984"
"1.48200","14.55295","0.01990"
"1.48800","14.55343","0.01986"
"1.49400","14.55397","0.01983"
"1.50000","14.55445","0.01992"
"1.50600","14.55492","0.02000"
"1.51200","14.55540","0.02010"
"1.51800","14.55594","0.02023"
"1.52400","14.55642","0.02028"
"1.53000","14.55696","0.02038"
"1.53600","14.55744","0.02053"
"1.54200","14.55791","0.02063"
"1.54800","14.55845","0.02064"
"1.55400","14.55893","0.02055"
"1.56000","14.55947","0.02052"
"1.56600","14.56001","0.02049"
"1.57200","14.56048","0.02040"
"1.57800","14.56096","0.02032"
"1.58400","14.56144","0.02050"
"1.59000","14.56198","0.02070"
"1.59600","14.56246","0.02078"
"1.60200","14.56294","0.02077"
"1.60800","14.56347","0.02064"
"1.61400","14.56395","0.02039"
"1.62000","14.56449","0.02004"
"1.62600","14.56497","0.01976"
"1.63200","14.56551","0.01973"
"1.63800","14.56599","0.01975"
"1.64400","14.56652","0.01976"
"1.65000","14.56700","0.01991"
"1.65600","14.56748","0.02006"
"1.66200","14.56802","0.02004"
"1.66800","14.56850","0.02005"
"1.67400","14.56898","0.02020"
"1.68000","14.56951","0.02040"
"1.68600","14.56999","0.02049"
"1.69200","14.57053","0.02059"
"1.69800","14.57101","0.02071"
"1.70400","14.57149","0.02080"
"1.71000","14.57197","0.02082"
"1.71600","14.57250","0.02086"
"1.72200","14.57298","0.02083"
"1.72800","14.57346","0.02074"
"1.73400","14.57400","0.02073"
"1.74000","14.57448","0.02066"
"1.74600","14.57495","0.02045"
"1.75200","14.57549","0.02028"
"1.75800","14.57597","0.02010"
"1.76400","14.57645","0.02004"
"1.77000","14.57699","0.02009"
"1.77600","14.57747","0.02022"
"1.78200","14.57794","0.02026"
"1.78800","14.57848","0.02034"
"1.79400","14.57896","0.02042"
"1.80000","14.57944","0.02050"
"1.80600","14.57992","0.02060"
"1.81200","14.58039","0.02074"
"1.81800","14.58093","0.02094"
"1.82400","14.58141","0.02107"
"1.83000","14.58189","0.02101"
"1.83600","14.58237","0.02088"
"1.84200","14.58291","0.02082"
"1.84800","14.58338","0.02070"
"1.85400","14.58392","0.02046"
"1.86000","14.58440","0.02027"
"1.86600","14.58494","0.02016"
"1.87200","14.58542","0.02007"
"1.87800","14.58590","0.02000"
"1.88400","14.58643","0.01998"
"1.89000","14.58691","0.01998"
"1.89600","14.58745","0.02004"
"1.90200","14.58793","0.01993"
"1.90800","14.58847","0.01988"
"1.91400","14.58894","0.02003"
"1.92000","14.58942","0.02029"
"1.92600","14.58996","0.02054"
"1.93200","14.59044","0.02064"
"1.93800","14.59098","0.02058"
"1.94400","14.59146","0.02039"
"1.95000","14.59193","0.02023"
"1.95600","14.59241","0.02022"
"1.96200","14.59295","0.02022"
"1.96800","14.59343","0.02038"
"1.97400","14.59391","0.02063"
"1.98000","14.59439","0.02089"
"1.98600","14.59492","0.02098"
"1.99200","14.59540","0.02095"
"1.99800","14.59588","0.02096"
"2.00400","14.59642","0.02098"
"2.01000","14.59690","0.02106"
"2.01600","14.59744","0.02109"
"2.02200","14.59791","0.02102"
"2.02800","14.59845","0.02096"
"2.03400","14.59893","0.02099"
"2.04000","14.59947","0.02090"
"2.04600","14.59995","0.02073"
"2.05200","14.60048","0.02060"
"2.05800","14.60096","0.02061"
"2.06400","14.60144","0.02077"
"2.07000","14.60198","0.02091"
"2.07600","14.60246","0.02101"
"2.08200","14.60294","0.02098"
"2.08800","14.60347","0.02079"
"2.09400","14.60395","0.02069"
"2.10000","14.60443","0.02075"
"2.10600","14.60497","0.02082"
"2.11200","14.60545","0.02087"
"2.11800","14.60593","0.02094"
"2.12400","14.60646","0.02094"
"2.13000","14.60694","0.02085"
"2.13600","14.60742","0.02082"
"2.14200","14.60790","0.02082"
"2.14800","14.60844","0.02091"
"2.15400","14.60892","0.02090"
"2.16000","14.60945","0.02084"
"2.16600","14.60993","0.02083"
"2.17200","14.61047","0.02067"
"2.17800","14.61095","0.02049"
"2.18400","14.61149","0.02045"
"2.19000","14.61197","0.02037"
"2.19600","14.61250","0.02028"
"2.20200","14.61298","0.02023"
"2.20800","14.61352","0.02016"
"2.21400","14.61400","0.02028"
"2.22000","14.61454","0.02041"
"2.22600","14.61501","0.02058"
"2.23200","14.61549","0.02083"
"2.23800","14.61597","0.02100"
"2.24400","14.61645","0.02094"
"2.25000","14.61699","0.02090"
"2.25600","14.61747","0.02088"
"2.26200","14.61794","0.02077"
"2.26800","14.61848","0.02058"
"2.27400","14.61896","0.02044"
"2.28000","14.61950","0.02042"
"2.28600","14.61998","0.02045"
"2.29200","14.62045","0.02043"
"2.29800","14.62099","0.02050"
"2.30400","14.62147","0.02061"
"2.31000","14.62195","0.02066"
"2.31600","14.62249","0.02074"
"2.32200","14.62297","0.02080"
"2.32800","14.62344","0.02075"
"2.33400","14.62398","0.02080"
"2.34000","14.62446","0.02087"
"2.34600","14.62500","0.02098"
"2.35200","14.62548","0.02118"
"2.35800","14.62601","0.02147"
"2.36400","14.62649","0.02170"
"2.37000","14.62697","0.02175"
"2.37600","14.62745","0.02174"
"2.38200","14.62799","0.02171"
"2.38800","14.62847","0.02166"
"2.39400","14.62895","0.02150"
"2.40000","14.62942","0.02132"
"2.40600","14.62990","0.02116"
"2.41200","14.63044","0.02106"
"2.41800","14.63092","0.02099"
"2.42400","14.63140","0.02081"
"2.43000","14.63187","0.02052"
"2.43600","14.63241","0.02037"
"2.44200","14.63289","0.02034"
"2.44800","14.63337","0.02050"
"2.45400","14.63391","0.02073"
"2.46000","14.63439","0.02092"
"2.46600","14.63492","0.02099"
"2.47200","14.63540","0.02098"
"2.47800","14.63588","0.02119"
"2.48400","14.63642","0.02147"
"2.49000","14.63690","0.02156"
"2.49600","14.63737","0.02149"
"2.50200","14.63791","0.02129"
"2.50800","14.63839","0.02107"
"2.51400","14.63887","0.02098"
"2.52000","14.63941","0.02089"
"2.52600","14.63989","0.02087"
"2.53200","14.64036","0.02081"
"2.53800","14.64090","0.02091"
"2.54400","14.64144","0.02102"
"2.55000","14.64192","0.02109"
"2.55600","14.64240","0.02115"
"2.56200","14.64293","0.02110"
"2.56800","14.64341","0.02094"
"2.57400","14.64395","0.02086"
"2.58000","14.64443","0.02095"
"2.58600","14.64497","0.02113"
"2.59200","14.64545","0.02137"
"2.59800","14.64598","0.02165"
"2.60400","14.64646","0.02172"
"2.61000","14.64694","0.02167"
"2.61600","14.64748","0.02178"
"2.62200","14.64796","0.02177"
"2.62800","14.64844","0.02162"
"2.63400","14.64897","0.02157"
"2.64000","14.64945","0.02149"
"2.64600","14.64999","0.02147"
"2.65200","14.65047","0.02128"
"2.65800","14.65095","0.02098"
"2.66400","14.65148","0.02093"
"2.67000","14.65196","0.02098"
"2.67600","14.65244","0.02089"
"2.68200","14.65298","0.02091"
"2.68800","14.65346","0.02104"
"2.69400","14.65400","0.02117"
"2.70000","14.65447","0.02121"
"2.70600","14.65495","0.02134"
"2.71200","14.65549","0.02138"
"2.71800","14.65597","0.02145"
"2.72400","14.65645","0.02148"
"2.73000","14.65693","0.02151"
"2.73600","14.65746","0.02153"
"2.74200","14.65794","0.02160"
"2.74800","14.65842","0.02173"
"2.75400","14.65896","0.02162"
"2.76000","14.65944","0.02146"
"2.76600","14.65992","0.02146"
"2.77200","14.66045","0.02144"
"2.77800","14.66093","0.02133"
"2.78400","14.66141","0.02134"
"2.79000","14.66195","0.02141"
"2.79600","14.66243","0.02147"
"2.80200","14.66296","0.02144"
"2.80800","14.66344","0.02142"
"2.81400","14.66398","0.02140"
