End date,"12/23/2016"
Specimen label,"17BC_40"
Maximum Load,"2.05197",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","-0.00065"
"0.00600","0.00000","-0.00061"
"0.01200","0.00006","-0.00065"
"0.01800","0.00012","-0.00077"
"0.02400","0.00018","-0.00083"
"0.03000","0.00030","-0.00088"
"0.03600","0.00042","-0.00097"
"0.04200","0.00060","-0.00090"
"0.04800","0.00078","-0.00079"
"0.05400","0.00102","-0.00073"
"0.06000","0.00126","-0.00064"
"0.06600","0.00155","-0.00062"
"0.07200","0.00191","-0.00063"
"0.07800","0.00221","-0.00060"
"0.08400","0.00263","-0.00062"
"0.09000","0.00299","-0.00065"
"0.09600","0.00347","-0.00061"
"0.10200","0.00395","-0.00058"
"0.10800","0.00442","-0.00055"
"0.11400","0.00496","-0.00057"
"0.12000","0.00550","-0.00068"
"0.12600","0.00604","-0.00063"
"0.13200","0.00664","-0.00061"
"0.13800","0.00723","-0.00057"
"0.14400","0.00783","-0.00043"
"0.15000","0.00849","-0.00036"
"0.15600","0.00909","-0.00030"
"0.16200","0.00975","-0.00019"
"0.16800","0.01040","-0.00012"
"0.17400","0.01106","-0.00003"
"0.18000","0.01172","-0.00007"
"0.18600","0.01244","-0.00018"
"0.19200","0.01309","-0.00024"
"0.19800","0.01375","-0.00035"
"0.20400","0.01447","-0.00049"
"0.21000","0.01513","-0.00054"
"0.21600","0.01578","-0.00051"
"0.22200","0.01644","-0.00044"
"0.22800","0.01710","-0.00039"
"0.23400","0.01770","-0.00040"
"0.24000","0.01836","-0.00043"
"0.24600","0.01901","-0.00039"
"0.25200","0.01961","-0.00038"
"0.25800","0.02027","-0.00047"
"0.26400","0.02087","-0.00049"
"0.27000","0.02152","-0.00060"
"0.27600","0.02212","-0.00069"
"0.28200","0.02278","-0.00072"
"0.28800","0.02338","-0.00071"
"0.29400","0.02392","-0.00062"
"0.30000","0.02451","-0.00056"
"0.30600","0.02511","-0.00054"
"0.31200","0.02565","-0.00041"
"0.31800","0.02625","-0.00022"
"0.32400","0.02685","-0.00007"
"0.33000","0.02738","0.00000"
"0.33600","0.02798","-0.00004"
"0.34200","0.02852","-0.00001"
"0.34800","0.02906","0.00005"
"0.35400","0.02960","0.00003"
"0.36000","0.03013","-0.00006"
"0.36600","0.03067","-0.00018"
"0.37200","0.03115","-0.00019"
"0.37800","0.03169","-0.00009"
"0.38400","0.03223","-0.00008"
"0.39000","0.03270","-0.00008"
"0.39600","0.03324","-0.00004"
"0.40200","0.03378","-0.00018"
"0.40800","0.03426","-0.00024"
"0.41400","0.03480","-0.00020"
"0.42000","0.03528","-0.00019"
"0.42600","0.03575","-0.00011"
"0.43200","0.03629","0.00000"
"0.43800","0.03677","0.00005"
"0.44400","0.03731","0.00013"
"0.45000","0.03779","0.00027"
"0.45600","0.03827","0.00038"
"0.46200","0.03880","0.00041"
"0.46800","0.03928","0.00026"
"0.47400","0.03982","0.00015"
"0.48000","0.04030","0.00015"
"0.48600","0.04084","0.00008"
"0.49200","0.04131","-0.00010"
"0.49800","0.04179","-0.00028"
"0.50400","0.04227","-0.00041"
"0.51000","0.04281","-0.00048"
"0.51600","0.04329","-0.00043"
"0.52200","0.04377","-0.00025"
"0.52800","0.04424","-0.00014"
"0.53400","0.04478","-0.00018"
"0.54000","0.04526","-0.00014"
"0.54600","0.04574","-0.00008"
"0.55200","0.04628","-0.00007"
"0.55800","0.04676","-0.00002"
"0.56400","0.04729","0.00006"
"0.57000","0.04777","0.00002"
"0.57600","0.04825","-0.00004"
"0.58200","0.04873","-0.00003"
"0.58800","0.04921","0.00002"
"0.59400","0.04974","0.00010"
"0.60000","0.05022","0.00010"
"0.60600","0.05070","-0.00004"
"0.61200","0.05118","-0.00019"
"0.61800","0.05172","-0.00041"
"0.62400","0.05220","-0.00046"
"0.63000","0.05273","-0.00025"
"0.63600","0.05321","-0.00012"
"0.64200","0.05369","-0.00001"
"0.64800","0.05423","0.00018"
"0.65400","0.05471","0.00027"
"0.66000","0.05525","0.00038"
"0.66600","0.05572","0.00045"
"0.67200","0.05620","0.00044"
"0.67800","0.05674","0.00036"
"0.68400","0.05722","0.00027"
"0.69000","0.05770","0.00033"
"0.69600","0.05824","0.00042"
"0.70200","0.05871","0.00048"
"0.70800","0.05925","0.00054"
"0.71400","0.05973","0.00050"
"0.72000","0.06021","0.00037"
"0.72600","0.06075","0.00034"
"0.73200","0.06122","0.00032"
"0.73800","0.06170","0.00026"
"0.74400","0.06224","0.00025"
"0.75000","0.06272","0.00027"
"0.75600","0.06326","0.00026"
"0.76200","0.06374","0.00029"
"0.76800","0.06427","0.00042"
"0.77400","0.06475","0.00058"
"0.78000","0.06529","0.00065"
"0.78600","0.06577","0.00054"
"0.79200","0.06631","0.00048"
"0.79800","0.06678","0.00046"
"0.80400","0.06732","0.00037"
"0.81000","0.06780","0.00027"
"0.81600","0.06828","0.00022"
"0.82200","0.06876","0.00014"
"0.82800","0.06930","0.00017"
"0.83400","0.06977","0.00028"
"0.84000","0.07025","0.00034"
"0.84600","0.07073","0.00032"
"0.85200","0.07127","0.00029"
"0.85800","0.07175","0.00034"
"0.86400","0.07223","0.00051"
"0.87000","0.07276","0.00062"
"0.87600","0.07324","0.00060"
"0.88200","0.07372","0.00051"
"0.88800","0.07426","0.00041"
"0.89400","0.07474","0.00036"
"0.90000","0.07528","0.00036"
"0.90600","0.07575","0.00031"
"0.91200","0.07629","0.00038"
"0.91800","0.07677","0.00042"
"0.92400","0.07731","0.00039"
"0.93000","0.07779","0.00046"
"0.93600","0.07826","0.00046"
"0.94200","0.07874","0.00050"
"0.94800","0.07928","0.00052"
"0.95400","0.07976","0.00051"
"0.96000","0.08024","0.00059"
"0.96600","0.08072","0.00074"
"0.97200","0.08119","0.00091"
"0.97800","0.08173","0.00112"
"0.98400","0.08221","0.00123"
