End date,"12/23/2016"
Specimen label,"22DT_76"
Maximum Load,"0.26583",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","-0.00006","0.00010"
"0.00600","-0.00006","0.00013"
"0.01200","0.00006","0.00009"
"0.01800","0.00006","-0.00002"
"0.02400","0.00018","-0.00011"
"0.03000","0.00030","-0.00016"
"0.03600","0.00042","-0.00020"
"0.04200","0.00060","-0.00026"
"0.04800","0.00084","-0.00028"
"0.05400","0.00108","-0.00022"
"0.06000","0.00138","-0.00022"
"0.06600","0.00167","-0.00018"
"0.07200","0.00203","-0.00022"
"0.07800","0.00239","-0.00028"
"0.08400","0.00275","-0.00039"
"0.09000","0.00317","-0.00050"
"0.09600","0.00371","-0.00051"
"0.10200","0.00419","-0.00052"
"0.10800","0.00466","-0.00056"
"0.11400","0.00520","-0.00052"
"0.12000","0.00580","-0.00045"
"0.12600","0.00634","-0.00040"
"0.13200","0.00694","-0.00023"
"0.13800","0.00753","-0.00002"
"0.14400","0.00813","0.00013"
"0.15000","0.00879","0.00021"
"0.15600","0.00945","0.00020"
"0.16200","0.01004","0.00015"
"0.16800","0.01070","0.00011"
"0.17400","0.01130","-0.00002"
"0.18000","0.01196","-0.00002"
"0.18600","0.01262","-0.00001"
"0.19200","0.01327","-0.00005"
"0.19800","0.01393","-0.00007"
"0.20400","0.01459","-0.00006"
"0.21000","0.01525","-0.00011"
"0.21600","0.01590","-0.00013"
"0.22200","0.01656","-0.00011"
"0.22800","0.01722","0.00005"
"0.23400","0.01782","0.00017"
"0.24000","0.01847","0.00011"
"0.24600","0.01907","0.00003"
"0.25200","0.01973","-0.00007"
"0.25800","0.02033","-0.00017"
"0.26400","0.02099","-0.00018"
"0.27000","0.02158","-0.00023"
"0.27600","0.02218","-0.00030"
"0.28200","0.02278","-0.00029"
"0.28800","0.02338","-0.00030"
"0.29400","0.02392","-0.00031"
"0.30000","0.02451","-0.00024"
"0.30600","0.02505","-0.00019"
"0.31200","0.02565","-0.00007"
"0.31800","0.02625","0.00006"
"0.32400","0.02679","0.00010"
"0.33000","0.02738","0.00019"
"0.33600","0.02792","0.00029"
"0.34200","0.02846","0.00020"
"0.34800","0.02900","0.00010"
"0.35400","0.02954","0.00001"
"0.36000","0.03007","-0.00004"
"0.36600","0.03055","-0.00002"
"0.37200","0.03109","-0.00006"
"0.37800","0.03163","-0.00005"
"0.38400","0.03211","-0.00001"
"0.39000","0.03265","-0.00008"
"0.39600","0.03318","-0.00019"
"0.40200","0.03366","-0.00024"
"0.40800","0.03420","-0.00028"
"0.41400","0.03468","-0.00024"
"0.42000","0.03522","-0.00021"
"0.42600","0.03569","-0.00032"
"0.43200","0.03623","-0.00039"
"0.43800","0.03671","-0.00035"
"0.44400","0.03725","-0.00034"
"0.45000","0.03773","-0.00035"
"0.45600","0.03827","-0.00033"
"0.46200","0.03874","-0.00034"
"0.46800","0.03928","-0.00030"
"0.47400","0.03976","-0.00029"
"0.48000","0.04024","-0.00020"
"0.48600","0.04078","-0.00018"
"0.49200","0.04125","-0.00026"
"0.49800","0.04173","-0.00032"
"0.50400","0.04221","-0.00031"
"0.51000","0.04269","-0.00026"
"0.51600","0.04323","-0.00017"
"0.52200","0.04371","-0.00015"
"0.52800","0.04418","-0.00018"
"0.53400","0.04472","-0.00022"
"0.54000","0.04520","-0.00020"
"0.54600","0.04568","-0.00014"
"0.55200","0.04616","-0.00007"
"0.55800","0.04670","0.00001"
"0.56400","0.04717","0.00008"
"0.57000","0.04765","0.00011"
"0.57600","0.04813","0.00014"
"0.58200","0.04867","0.00027"
"0.58800","0.04915","0.00038"
"0.59400","0.04969","0.00040"
"0.60000","0.05016","0.00042"
"0.60600","0.05064","0.00032"
"0.61200","0.05118","0.00018"
"0.61800","0.05166","0.00011"
"0.62400","0.05214","0.00004"
"0.63000","0.05267","0.00015"
"0.63600","0.05315","0.00031"
"0.64200","0.05363","0.00037"
"0.64800","0.05411","0.00038"
"0.65400","0.05465","0.00035"
"0.66000","0.05513","0.00036"
"0.66600","0.05560","0.00045"
"0.67200","0.05614","0.00047"
"0.67800","0.05662","0.00043"
"0.68400","0.05710","0.00034"
"0.69000","0.05764","0.00018"
"0.69600","0.05812","0.00011"
"0.70200","0.05859","0.00010"
"0.70800","0.05913","0.00011"
"0.71400","0.05961","0.00020"
"0.72000","0.06015","0.00022"
"0.72600","0.06063","0.00017"
"0.73200","0.06116","0.00020"
"0.73800","0.06164","0.00031"
"0.74400","0.06218","0.00049"
"0.75000","0.06266","0.00061"
"0.75600","0.06320","0.00056"
"0.76200","0.06368","0.00053"
"0.76800","0.06421","0.00055"
"0.77400","0.06469","0.00044"
"0.78000","0.06517","0.00040"
"0.78600","0.06565","0.00034"
"0.79200","0.06619","0.00021"
"0.79800","0.06667","0.00011"
"0.80400","0.06714","0.00001"
"0.81000","0.06768","-0.00001"
"0.81600","0.06816","0.00001"
"0.82200","0.06864","0.00003"
"0.82800","0.06918","0.00017"
"0.83400","0.06965","0.00031"
"0.84000","0.07013","0.00030"
"0.84600","0.07067","0.00036"
"0.85200","0.07115","0.00057"
"0.85800","0.07169","0.00066"
"0.86400","0.07217","0.00065"
"0.87000","0.07270","0.00067"
"0.87600","0.07318","0.00071"
"0.88200","0.07372","0.00083"
"0.88800","0.07420","0.00091"
"0.89400","0.07474","0.00088"
"0.90000","0.07522","0.00082"
"0.90600","0.07575","0.00078"
"0.91200","0.07623","0.00079"
"0.91800","0.07671","0.00093"
"0.92400","0.07719","0.00088"
"0.93000","0.07767","0.00079"
"0.93600","0.07820","0.00068"
"0.94200","0.07868","0.00056"
"0.94800","0.07916","0.00054"
"0.95400","0.07964","0.00054"
"0.96000","0.08018","0.00052"
"0.96600","0.08066","0.00050"
"0.97200","0.08119","0.00044"
"0.97800","0.08167","0.00040"
"0.98400","0.08221","0.00048"
"0.99000","0.08269","0.00048"
"0.99600","0.08317","0.00047"
"1.00200","0.08371","0.00043"
"1.00800","0.08418","0.00031"
"1.01400","0.08472","0.00031"
"1.02000","0.08520","0.00030"
"1.02600","0.08574","0.00027"
"1.03200","0.08622","0.00030"
"1.03800","0.08675","0.00023"
"1.04400","0.08723","0.00023"
"1.05000","0.08771","0.00027"
"1.05600","0.08825","0.00027"
"1.06200","0.08873","0.00036"
"1.06800","0.08921","0.00051"
"1.07400","0.08968","0.00052"
"1.08000","0.09022","0.00053"
"1.08600","0.09070","0.00053"
"1.09200","0.09118","0.00045"
"1.09800","0.09166","0.00039"
"1.10400","0.09214","0.00033"
"1.11000","0.09267","0.00016"
"1.11600","0.09315","0.00012"
"1.12200","0.09363","0.00012"
"1.12800","0.09411","0.00008"
"1.13400","0.09465","0.00015"
"1.14000","0.09513","0.00018"
"1.14600","0.09566","0.00025"
"1.15200","0.09614","0.00029"
"1.15800","0.09662","0.00033"
"1.16400","0.09716","0.00042"
"1.17000","0.09764","0.00044"
"1.17600","0.09817","0.00041"
"1.18200","0.09865","0.00035"
"1.18800","0.09919","0.00030"
"1.19400","0.09967","0.00020"
"1.20000","0.10015","0.00013"
"1.20600","0.10069","0.00016"
"1.21200","0.10116","0.00023"
"1.21800","0.10164","0.00023"
"1.22400","0.10218","0.00015"
"1.23000","0.10266","0.00008"
"1.23600","0.10314","0.00005"
"1.24200","0.10368","0.00004"
"1.24800","0.10415","0.00006"
"1.25400","0.10463","0.00006"
"1.26000","0.10511","0.00006"
"1.26600","0.10565","0.00014"
"1.27200","0.10613","0.00021"
"1.27800","0.10660","0.00030"
"1.28400","0.10714","0.00046"
"1.29000","0.10762","0.00044"
"1.29600","0.10816","0.00037"
"1.30200","0.10864","0.00035"
"1.30800","0.10918","0.00031"
"1.31400","0.10965","0.00040"
"1.32000","0.11019","0.00051"
"1.32600","0.11067","0.00049"
"1.33200","0.11115","0.00046"
"1.33800","0.11169","0.00040"
"1.34400","0.11217","0.00040"
"1.35000","0.11264","0.00045"
"1.35600","0.11318","0.00044"
"1.36200","0.11366","0.00049"
"1.36800","0.11420","0.00054"
"1.37400","0.11468","0.00045"
"1.38000","0.11521","0.00038"
"1.38600","0.11569","0.00038"
"1.39200","0.11617","0.00033"
"1.39800","0.11671","0.00030"
"1.40400","0.11719","0.00037"
"1.41000","0.11767","0.00040"
"1.41600","0.11814","0.00046"
"1.42200","0.11868","0.00050"
"1.42800","0.11916","0.00057"
"1.43400","0.11970","0.00047"
"1.44000","0.12018","0.00034"
"1.44600","0.12066","0.00032"
"1.45200","0.12119","0.00031"
"1.45800","0.12167","0.00027"
"1.46400","0.12215","0.00035"
"1.47000","0.12269","0.00050"
"1.47600","0.12317","0.00048"
"1.48200","0.12364","0.00043"
"1.48800","0.12418","0.00031"
"1.49400","0.12466","0.00027"
"1.50000","0.12514","0.00036"
"1.50600","0.12568","0.00035"
"1.51200","0.12616","0.00034"
"1.51800","0.12669","0.00036"
"1.52400","0.12717","0.00021"
"1.53000","0.12771","0.00011"
"1.53600","0.12819","-0.00002"
"1.54200","0.12867","-0.00003"
"1.54800","0.12921","0.00007"
"1.55400","0.12968","0.00015"
"1.56000","0.13022","0.00022"
"1.56600","0.13070","0.00035"
"1.57200","0.13118","0.00046"
"1.57800","0.13172","0.00056"
"1.58400","0.13219","0.00074"
"1.59000","0.13273","0.00076"
"1.59600","0.13321","0.00066"
"1.60200","0.13369","0.00053"
"1.60800","0.13417","0.00047"
"1.61400","0.13471","0.00048"
"1.62000","0.13518","0.00045"
"1.62600","0.13566","0.00034"
"1.63200","0.13620","0.00024"
"1.63800","0.13668","0.00023"
"1.64400","0.13716","0.00018"
"1.65000","0.13764","0.00016"
"1.65600","0.13817","0.00018"
"1.66200","0.13865","0.00029"
"1.66800","0.13919","0.00044"
"1.67400","0.13967","0.00049"
"1.68000","0.14015","0.00044"
"1.68600","0.14062","0.00041"
"1.69200","0.14116","0.00035"
"1.69800","0.14164","0.00036"
"1.70400","0.14212","0.00036"
"1.71000","0.14260","0.00030"
"1.71600","0.14314","0.00028"
"1.72200","0.14361","0.00029"
"1.72800","0.14409","0.00032"
"1.73400","0.14463","0.00034"
"1.74000","0.14511","0.00040"
"1.74600","0.14559","0.00050"
"1.75200","0.14607","0.00052"
"1.75800","0.14660","0.00049"
"1.76400","0.14708","0.00056"
"1.77000","0.14762","0.00054"
"1.77600","0.14810","0.00042"
"1.78200","0.14858","0.00043"
"1.78800","0.14912","0.00042"
"1.79400","0.14959","0.00050"
"1.80000","0.15013","0.00064"
"1.80600","0.15061","0.00068"
"1.81200","0.15109","0.00075"
"1.81800","0.15163","0.00070"
"1.82400","0.15210","0.00052"
"1.83000","0.15258","0.00047"
"1.83600","0.15312","0.00064"
"1.84200","0.15360","0.00067"
"1.84800","0.15414","0.00071"
"1.85400","0.15462","0.00076"
"1.86000","0.15509","0.00073"
"1.86600","0.15563","0.00075"
"1.87200","0.15611","0.00079"
"1.87800","0.15665","0.00081"
"1.88400","0.15713","0.00088"
"1.89000","0.15761","0.00090"
"1.89600","0.15814","0.00077"
"1.90200","0.15862","0.00068"
"1.90800","0.15916","0.00058"
"1.91400","0.15964","0.00049"
"1.92000","0.16012","0.00050"
"1.92600","0.16065","0.00053"
"1.93200","0.16113","0.00059"
"1.93800","0.16167","0.00064"
"1.94400","0.16215","0.00076"
"1.95000","0.16263","0.00101"
"1.95600","0.16317","0.00112"
"1.96200","0.16364","0.00102"
"1.96800","0.16412","0.00088"
"1.97400","0.16460","0.00069"
"1.98000","0.16514","0.00062"
"1.98600","0.16562","0.00063"
"1.99200","0.16610","0.00059"
"1.99800","0.16657","0.00057"
"2.00400","0.16711","0.00054"
"2.01000","0.16759","0.00061"
"2.01600","0.16813","0.00078"
"2.02200","0.16861","0.00082"
"2.02800","0.16908","0.00086"
