End date,"12/23/2016"
Specimen label,"22CG_76"
Maximum Load,"0.01683",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","-0.00026"
"0.00600","0.00000","-0.00024"
"0.01200","0.00000","-0.00046"
"0.01800","0.00012","-0.00064"
"0.02400","0.00018","-0.00072"
"0.03000","0.00030","-0.00068"
"0.03600","0.00048","-0.00065"
"0.04200","0.00060","-0.00063"
"0.04800","0.00084","-0.00060"
"0.05400","0.00108","-0.00056"
"0.06000","0.00132","-0.00047"
"0.06600","0.00161","-0.00030"
"0.07200","0.00197","-0.00018"
"0.07800","0.00233","-0.00007"
"0.08400","0.00269","0.00004"
"0.09000","0.00311","0.00002"
"0.09600","0.00353","-0.00012"
"0.10200","0.00401","-0.00016"
"0.10800","0.00448","-0.00021"
"0.11400","0.00502","-0.00011"
"0.12000","0.00556","0.00000"
"0.12600","0.00610","0.00008"
"0.13200","0.00664","0.00008"
"0.13800","0.00723","0.00006"
"0.14400","0.00783","0.00004"
"0.15000","0.00849","0.00013"
"0.15600","0.00915","0.00022"
"0.16200","0.00981","0.00020"
"0.16800","0.01046","0.00005"
"0.17400","0.01112","-0.00010"
"0.18000","0.01178","-0.00026"
"0.18600","0.01244","-0.00044"
"0.19200","0.01309","-0.00055"
"0.19800","0.01375","-0.00053"
"0.20400","0.01435","-0.00044"
"0.21000","0.01507","-0.00041"
"0.21600","0.01572","-0.00040"
"0.22200","0.01638","-0.00044"
"0.22800","0.01704","-0.00042"
"0.23400","0.01764","-0.00036"
"0.24000","0.01830","-0.00030"
"0.24600","0.01895","-0.00022"
"0.25200","0.01955","-0.00010"
"0.25800","0.02021","-0.00006"
"0.26400","0.02087","0.00001"
"0.27000","0.02146","0.00007"
"0.27600","0.02212","0.00000"
"0.28200","0.02272","-0.00012"
"0.28800","0.02332","-0.00016"
"0.29400","0.02392","-0.00012"
"0.30000","0.02451","-0.00009"
"0.30600","0.02505","-0.00012"
"0.31200","0.02565","-0.00025"
"0.31800","0.02619","-0.00033"
"0.32400","0.02679","-0.00053"
"0.33000","0.02732","-0.00066"
"0.33600","0.02792","-0.00070"
"0.34200","0.02846","-0.00067"
"0.34800","0.02900","-0.00049"
"0.35400","0.02954","-0.00038"
"0.36000","0.03007","-0.00034"
"0.36600","0.03061","-0.00028"
"0.37200","0.03115","-0.00024"
"0.37800","0.03169","-0.00010"
"0.38400","0.03223","0.00006"
"0.39000","0.03276","0.00014"
"0.39600","0.03330","0.00020"
"0.40200","0.03384","0.00022"
"0.40800","0.03432","0.00032"
"0.41400","0.03486","0.00042"
"0.42000","0.03534","0.00051"
"0.42600","0.03581","0.00057"
"0.43200","0.03635","0.00050"
"0.43800","0.03683","0.00033"
"0.44400","0.03731","0.00025"
"0.45000","0.03779","0.00035"
"0.45600","0.03833","0.00050"
"0.46200","0.03880","0.00065"
"0.46800","0.03928","0.00070"
"0.47400","0.03976","0.00059"
"0.48000","0.04030","0.00041"
"0.48600","0.04078","0.00029"
"0.49200","0.04125","0.00027"
"0.49800","0.04179","0.00035"
"0.50400","0.04227","0.00037"
"0.51000","0.04275","0.00041"
"0.51600","0.04329","0.00044"
"0.52200","0.04377","0.00046"
"0.52800","0.04424","0.00040"
"0.53400","0.04478","0.00039"
"0.54000","0.04526","0.00044"
"0.54600","0.04574","0.00049"
"0.55200","0.04622","0.00051"
"0.55800","0.04676","0.00056"
"0.56400","0.04723","0.00066"
"0.57000","0.04771","0.00064"
"0.57600","0.04825","0.00058"
"0.58200","0.04873","0.00057"
"0.58800","0.04921","0.00056"
"0.59400","0.04969","0.00060"
"0.60000","0.05022","0.00064"
"0.60600","0.05070","0.00073"
"0.61200","0.05124","0.00082"
"0.61800","0.05172","0.00099"
"0.62400","0.05226","0.00111"
"0.63000","0.05273","0.00108"
"0.63600","0.05321","0.00096"
"0.64200","0.05375","0.00083"
"0.64800","0.05423","0.00077"
"0.65400","0.05477","0.00075"
"0.66000","0.05525","0.00068"
"0.66600","0.05578","0.00069"
"0.67200","0.05626","0.00067"
"0.67800","0.05680","0.00054"
"0.68400","0.05728","0.00045"
"0.69000","0.05776","0.00053"
"0.69600","0.05829","0.00055"
"0.70200","0.05877","0.00043"
"0.70800","0.05931","0.00021"
"0.71400","0.05979","0.00015"
"0.72000","0.06027","0.00032"
"0.72600","0.06075","0.00069"
"0.73200","0.06128","0.00098"
"0.73800","0.06176","0.00116"
"0.74400","0.06224","0.00116"
"0.75000","0.06278","0.00103"
"0.75600","0.06326","0.00098"
"0.76200","0.06380","0.00099"
"0.76800","0.06427","0.00092"
"0.77400","0.06475","0.00083"
"0.78000","0.06529","0.00074"
"0.78600","0.06577","0.00075"
"0.79200","0.06625","0.00082"
"0.79800","0.06678","0.00095"
"0.80400","0.06726","0.00107"
"0.81000","0.06774","0.00113"
