End date,"12/23/2016"
Specimen label,"17BC_36"
Maximum Load,"1.60068",N

Time,Extension,Load
(s),(mm),(N)
"1.09800","0.09172","0.00239"
"1.10400","0.09220","0.00219"
"1.11000","0.09273","0.00214"
"1.11600","0.09321","0.00215"
"1.12200","0.09375","0.00212"
"1.12800","0.09423","0.00213"
"1.13400","0.09471","0.00204"
"1.14000","0.09524","0.00199"
"1.14600","0.09572","0.00197"
"1.15200","0.09620","0.00205"
"1.15800","0.09668","0.00220"
"1.16400","0.09722","0.00228"
"1.17000","0.09770","0.00226"
"1.17600","0.09817","0.00235"
"1.18200","0.09871","0.00247"
"1.18800","0.09919","0.00263"
"1.19400","0.09967","0.00272"
"1.20000","0.10021","0.00271"
"1.20600","0.10069","0.00259"
"1.21200","0.10122","0.00255"
"1.21800","0.10170","0.00260"
"1.22400","0.10218","0.00265"
"1.23000","0.10272","0.00263"
"1.23600","0.10320","0.00250"
"1.24200","0.10373","0.00239"
"1.24800","0.10421","0.00241"
"1.25400","0.10475","0.00249"
"1.26000","0.10523","0.00254"
"1.26600","0.10571","0.00258"
"1.27200","0.10625","0.00269"
"1.27800","0.10672","0.00267"
"1.28400","0.10726","0.00272"
"1.29000","0.10774","0.00285"
"1.29600","0.10828","0.00296"
"1.30200","0.10876","0.00303"
"1.30800","0.10924","0.00310"
"1.31400","0.10977","0.00311"
"1.32000","0.11025","0.00315"
"1.32600","0.11073","0.00319"
"1.33200","0.11127","0.00317"
"1.33800","0.11175","0.00310"
"1.34400","0.11228","0.00308"
"1.35000","0.11276","0.00306"
"1.35600","0.11324","0.00303"
"1.36200","0.11378","0.00298"
"1.36800","0.11426","0.00290"
"1.37400","0.11474","0.00289"
"1.38000","0.11521","0.00295"
"1.38600","0.11575","0.00304"
"1.39200","0.11623","0.00310"
"1.39800","0.11677","0.00320"
"1.40400","0.11725","0.00320"
"1.41000","0.11779","0.00314"
"1.41600","0.11832","0.00310"
"1.42200","0.11880","0.00320"
"1.42800","0.11934","0.00337"
"1.43400","0.11982","0.00345"
"1.44000","0.12030","0.00336"
"1.44600","0.12083","0.00324"
"1.45200","0.12131","0.00320"
"1.45800","0.12179","0.00326"
"1.46400","0.12227","0.00332"
"1.47000","0.12281","0.00331"
"1.47600","0.12329","0.00323"
"1.48200","0.12376","0.00319"
"1.48800","0.12430","0.00327"
"1.49400","0.12478","0.00338"
"1.50000","0.12526","0.00345"
"1.50600","0.12574","0.00337"
"1.51200","0.12622","0.00324"
"1.51800","0.12675","0.00324"
"1.52400","0.12723","0.00336"
"1.53000","0.12771","0.00350"
"1.53600","0.12825","0.00363"
"1.54200","0.12873","0.00354"
"1.54800","0.12921","0.00337"
"1.55400","0.12974","0.00333"
"1.56000","0.13022","0.00343"
"1.56600","0.13076","0.00351"
"1.57200","0.13124","0.00354"
"1.57800","0.13178","0.00354"
"1.58400","0.13225","0.00361"
"1.59000","0.13273","0.00363"
"1.59600","0.13321","0.00361"
"1.60200","0.13369","0.00364"
"1.60800","0.13423","0.00363"
"1.61400","0.13471","0.00353"
"1.62000","0.13518","0.00343"
"1.62600","0.13566","0.00351"
"1.63200","0.13620","0.00356"
"1.63800","0.13668","0.00354"
"1.64400","0.13716","0.00351"
"1.65000","0.13764","0.00339"
"1.65600","0.13817","0.00332"
"1.66200","0.13865","0.00341"
"1.66800","0.13919","0.00363"
"1.67400","0.13967","0.00376"
"1.68000","0.14015","0.00370"
"1.68600","0.14068","0.00364"
"1.69200","0.14116","0.00376"
"1.69800","0.14170","0.00392"
"1.70400","0.14218","0.00399"
