End date,"12/23/2016"
Specimen label,"22BG_75"
Maximum Load,"0.92771",N

Time,Extension,Load
(s),(mm),(N)
"1.08600","0.09070","0.00083"
"1.09200","0.09124","0.00077"
"1.09800","0.09172","0.00074"
"1.10400","0.09220","0.00073"
"1.11000","0.09267","0.00062"
"1.11600","0.09321","0.00043"
"1.12200","0.09369","0.00035"
"1.12800","0.09417","0.00037"
"1.13400","0.09471","0.00040"
"1.14000","0.09518","0.00040"
"1.14600","0.09566","0.00044"
"1.15200","0.09620","0.00044"
"1.15800","0.09668","0.00043"
"1.16400","0.09722","0.00047"
"1.17000","0.09770","0.00050"
"1.17600","0.09823","0.00059"
"1.18200","0.09871","0.00069"
"1.18800","0.09919","0.00072"
"1.19400","0.09967","0.00074"
"1.20000","0.10021","0.00078"
"1.20600","0.10069","0.00077"
"1.21200","0.10116","0.00071"
"1.21800","0.10170","0.00066"
"1.22400","0.10218","0.00064"
"1.23000","0.10266","0.00074"
"1.23600","0.10314","0.00074"
"1.24200","0.10368","0.00071"
"1.24800","0.10415","0.00068"
"1.25400","0.10463","0.00055"
"1.26000","0.10517","0.00052"
"1.26600","0.10565","0.00054"
"1.27200","0.10613","0.00055"
"1.27800","0.10666","0.00059"
"1.28400","0.10714","0.00064"
"1.29000","0.10762","0.00071"
"1.29600","0.10816","0.00081"
"1.30200","0.10870","0.00085"
"1.30800","0.10918","0.00080"
"1.31400","0.10971","0.00076"
"1.32000","0.11019","0.00075"
"1.32600","0.11073","0.00078"
"1.33200","0.11121","0.00076"
"1.33800","0.11175","0.00070"
"1.34400","0.11222","0.00066"
"1.35000","0.11270","0.00057"
"1.35600","0.11318","0.00051"
"1.36200","0.11366","0.00056"
"1.36800","0.11420","0.00063"
"1.37400","0.11468","0.00065"
"1.38000","0.11521","0.00075"
"1.38600","0.11569","0.00082"
"1.39200","0.11617","0.00086"
"1.39800","0.11671","0.00089"
"1.40400","0.11719","0.00088"
"1.41000","0.11773","0.00080"
"1.41600","0.11820","0.00076"
"1.42200","0.11868","0.00075"
"1.42800","0.11922","0.00077"
"1.43400","0.11970","0.00078"
"1.44000","0.12018","0.00086"
"1.44600","0.12072","0.00102"
"1.45200","0.12125","0.00109"
"1.45800","0.12173","0.00101"
"1.46400","0.12227","0.00092"
"1.47000","0.12275","0.00083"
"1.47600","0.12323","0.00075"
"1.48200","0.12376","0.00067"
"1.48800","0.12424","0.00056"
"1.49400","0.12472","0.00053"
"1.50000","0.12520","0.00058"
"1.50600","0.12574","0.00062"
"1.51200","0.12622","0.00064"
"1.51800","0.12669","0.00063"
"1.52400","0.12723","0.00067"
"1.53000","0.12771","0.00079"
"1.53600","0.12825","0.00087"
"1.54200","0.12873","0.00093"
"1.54800","0.12921","0.00101"
"1.55400","0.12968","0.00098"
"1.56000","0.13022","0.00095"
"1.56600","0.13070","0.00098"
"1.57200","0.13124","0.00098"
"1.57800","0.13172","0.00101"
"1.58400","0.13219","0.00092"
"1.59000","0.13273","0.00091"
"1.59600","0.13321","0.00103"
"1.60200","0.13375","0.00111"
"1.60800","0.13423","0.00121"
"1.61400","0.13477","0.00132"
"1.62000","0.13524","0.00132"
"1.62600","0.13572","0.00129"
"1.63200","0.13620","0.00128"
"1.63800","0.13668","0.00133"
"1.64400","0.13722","0.00136"
"1.65000","0.13770","0.00133"
"1.65600","0.13817","0.00119"
"1.66200","0.13865","0.00114"
"1.66800","0.13919","0.00097"
"1.67400","0.13967","0.00081"
"1.68000","0.14015","0.00075"
"1.68600","0.14068","0.00064"
"1.69200","0.14116","0.00066"
"1.69800","0.14164","0.00082"
"1.70400","0.14218","0.00102"
"1.71000","0.14266","0.00122"
"1.71600","0.14314","0.00140"
"1.72200","0.14367","0.00146"
"1.72800","0.14415","0.00141"
"1.73400","0.14469","0.00132"
"1.74000","0.14517","0.00126"
"1.74600","0.14571","0.00127"
"1.75200","0.14619","0.00124"
"1.75800","0.14672","0.00115"
"1.76400","0.14720","0.00109"
"1.77000","0.14768","0.00099"
"1.77600","0.14816","0.00091"
"1.78200","0.14870","0.00087"
"1.78800","0.14917","0.00082"
"1.79400","0.14965","0.00088"
"1.80000","0.15013","0.00101"
"1.80600","0.15067","0.00104"
"1.81200","0.15115","0.00103"
"1.81800","0.15163","0.00100"
"1.82400","0.15216","0.00093"
"1.83000","0.15264","0.00097"
"1.83600","0.15318","0.00107"
"1.84200","0.15366","0.00110"
"1.84800","0.15414","0.00109"
"1.85400","0.15468","0.00097"
"1.86000","0.15515","0.00094"
"1.86600","0.15569","0.00099"
"1.87200","0.15617","0.00099"
"1.87800","0.15671","0.00098"
"1.88400","0.15719","0.00086"
"1.89000","0.15772","0.00074"
"1.89600","0.15820","0.00067"
"1.90200","0.15874","0.00071"
"1.90800","0.15922","0.00074"
"1.91400","0.15970","0.00069"
"1.92000","0.16024","0.00065"
"1.92600","0.16071","0.00069"
"1.93200","0.16119","0.00079"
"1.93800","0.16167","0.00080"
"1.94400","0.16221","0.00081"
"1.95000","0.16269","0.00083"
"1.95600","0.16323","0.00087"
"1.96200","0.16370","0.00092"
"1.96800","0.16418","0.00091"
"1.97400","0.16466","0.00096"
"1.98000","0.16520","0.00104"
"1.98600","0.16568","0.00103"
"1.99200","0.16616","0.00097"
"1.99800","0.16669","0.00094"
"2.00400","0.16717","0.00091"
"2.01000","0.16771","0.00081"
"2.01600","0.16819","0.00080"
"2.02200","0.16873","0.00084"
"2.02800","0.16926","0.00087"
"2.03400","0.16974","0.00081"
"2.04000","0.17028","0.00071"
"2.04600","0.17076","0.00069"
"2.05200","0.17130","0.00070"
"2.05800","0.17178","0.00068"
"2.06400","0.17225","0.00075"
"2.07000","0.17279","0.00082"
"2.07600","0.17327","0.00087"
"2.08200","0.17375","0.00093"
"2.08800","0.17429","0.00092"
"2.09400","0.17476","0.00092"
"2.10000","0.17524","0.00083"
"2.10600","0.17578","0.00072"
"2.11200","0.17626","0.00072"
"2.11800","0.17674","0.00068"
"2.12400","0.17722","0.00061"
"2.13000","0.17769","0.00060"
"2.13600","0.17817","0.00059"
"2.14200","0.17871","0.00065"
"2.14800","0.17919","0.00068"
"2.15400","0.17973","0.00068"
"2.16000","0.18021","0.00071"
"2.16600","0.18068","0.00070"
"2.17200","0.18122","0.00073"
"2.17800","0.18170","0.00082"
"2.18400","0.18218","0.00086"
"2.19000","0.18272","0.00080"
"2.19600","0.18320","0.00077"
"2.20200","0.18367","0.00074"
"2.20800","0.18415","0.00077"
"2.21400","0.18463","0.00084"
"2.22000","0.18517","0.00091"
"2.22600","0.18565","0.00099"
"2.23200","0.18612","0.00100"
"2.23800","0.18660","0.00108"
"2.24400","0.18714","0.00119"
"2.25000","0.18762","0.00129"
