End date,"12/23/2016"
Specimen label,"22DT_77"
Maximum Load,"0.02078",N

Time,Extension,Load
(s),(mm),(N)
"1.04400","0.08717","0.00002"
"1.05000","0.08771","0.00000"
"1.05600","0.08819","-0.00009"
"1.06200","0.08867","-0.00022"
"1.06800","0.08921","-0.00023"
"1.07400","0.08968","-0.00030"
"1.08000","0.09016","-0.00050"
"1.08600","0.09070","-0.00073"
"1.09200","0.09118","-0.00091"
"1.09800","0.09172","-0.00102"
"1.10400","0.09220","-0.00097"
"1.11000","0.09267","-0.00087"
"1.11600","0.09321","-0.00069"
"1.12200","0.09369","-0.00048"
"1.12800","0.09423","-0.00044"
"1.13400","0.09471","-0.00042"
"1.14000","0.09518","-0.00035"
"1.14600","0.09572","-0.00036"
"1.15200","0.09620","-0.00034"
"1.15800","0.09668","-0.00028"
"1.16400","0.09722","-0.00029"
"1.17000","0.09770","-0.00028"
"1.17600","0.09823","-0.00027"
"1.18200","0.09871","-0.00023"
"1.18800","0.09919","-0.00021"
"1.19400","0.09973","-0.00024"
"1.20000","0.10021","-0.00033"
"1.20600","0.10069","-0.00036"
"1.21200","0.10122","-0.00037"
"1.21800","0.10170","-0.00028"
"1.22400","0.10218","-0.00017"
"1.23000","0.10272","-0.00019"
"1.23600","0.10320","-0.00016"
"1.24200","0.10368","-0.00013"
"1.24800","0.10415","-0.00007"
"1.25400","0.10469","0.00003"
"1.26000","0.10517","0.00007"
"1.26600","0.10571","0.00006"
"1.27200","0.10619","-0.00002"
"1.27800","0.10666","-0.00005"
"1.28400","0.10714","-0.00005"
"1.29000","0.10768","-0.00004"
"1.29600","0.10816","-0.00002"
"1.30200","0.10864","-0.00006"
"1.30800","0.10918","-0.00019"
"1.31400","0.10965","-0.00040"
"1.32000","0.11013","-0.00039"
"1.32600","0.11067","-0.00027"
"1.33200","0.11115","-0.00015"
"1.33800","0.11169","-0.00012"
"1.34400","0.11217","-0.00020"
"1.35000","0.11270","-0.00030"
"1.35600","0.11318","-0.00030"
"1.36200","0.11372","-0.00031"
"1.36800","0.11420","-0.00017"
"1.37400","0.11468","-0.00018"
"1.38000","0.11515","-0.00038"
"1.38600","0.11569","-0.00053"
"1.39200","0.11617","-0.00059"
"1.39800","0.11671","-0.00062"
"1.40400","0.11719","-0.00060"
"1.41000","0.11767","-0.00059"
"1.41600","0.11820","-0.00057"
"1.42200","0.11868","-0.00058"
"1.42800","0.11916","-0.00060"
"1.43400","0.11970","-0.00053"
"1.44000","0.12018","-0.00037"
"1.44600","0.12072","-0.00036"
"1.45200","0.12125","-0.00035"
"1.45800","0.12173","-0.00039"
"1.46400","0.12227","-0.00046"
"1.47000","0.12275","-0.00042"
"1.47600","0.12329","-0.00038"
"1.48200","0.12376","-0.00037"
"1.48800","0.12424","-0.00044"
"1.49400","0.12478","-0.00058"
"1.50000","0.12526","-0.00063"
"1.50600","0.12580","-0.00053"
"1.51200","0.12628","-0.00054"
"1.51800","0.12675","-0.00050"
"1.52400","0.12723","-0.00059"
"1.53000","0.12777","-0.00066"
"1.53600","0.12825","-0.00060"
"1.54200","0.12873","-0.00049"
"1.54800","0.12921","-0.00038"
"1.55400","0.12968","-0.00023"
"1.56000","0.13016","-0.00022"
"1.56600","0.13070","-0.00019"
"1.57200","0.13118","-0.00013"
"1.57800","0.13166","-0.00021"
"1.58400","0.13219","-0.00025"
"1.59000","0.13267","-0.00026"
"1.59600","0.13321","-0.00033"
"1.60200","0.13369","-0.00039"
"1.60800","0.13423","-0.00038"
"1.61400","0.13477","-0.00036"
"1.62000","0.13524","-0.00020"
"1.62600","0.13572","-0.00009"
"1.63200","0.13626","-0.00014"
"1.63800","0.13674","-0.00023"
"1.64400","0.13722","-0.00022"
"1.65000","0.13770","-0.00008"
"1.65600","0.13823","0.00003"
"1.66200","0.13871","0.00004"
"1.66800","0.13919","-0.00001"
"1.67400","0.13973","-0.00014"
"1.68000","0.14021","-0.00027"
"1.68600","0.14074","-0.00039"
"1.69200","0.14122","-0.00047"
"1.69800","0.14170","-0.00051"
"1.70400","0.14218","-0.00050"
"1.71000","0.14272","-0.00054"
"1.71600","0.14320","-0.00053"
"1.72200","0.14367","-0.00041"
"1.72800","0.14415","-0.00032"
"1.73400","0.14469","-0.00023"
"1.74000","0.14517","-0.00025"
"1.74600","0.14571","-0.00036"
"1.75200","0.14619","-0.00036"
"1.75800","0.14672","-0.00037"
"1.76400","0.14720","-0.00035"
"1.77000","0.14774","-0.00022"
"1.77600","0.14822","-0.00013"
"1.78200","0.14870","-0.00012"
"1.78800","0.14923","-0.00014"
"1.79400","0.14971","-0.00025"
"1.80000","0.15019","-0.00034"
"1.80600","0.15067","-0.00033"
"1.81200","0.15115","-0.00033"
"1.81800","0.15169","-0.00028"
"1.82400","0.15216","-0.00028"
"1.83000","0.15264","-0.00029"
"1.83600","0.15318","-0.00020"
"1.84200","0.15366","-0.00019"
"1.84800","0.15414","-0.00024"
"1.85400","0.15462","-0.00026"
"1.86000","0.15515","-0.00021"
"1.86600","0.15563","-0.00008"
"1.87200","0.15611","0.00006"
"1.87800","0.15665","0.00011"
"1.88400","0.15713","0.00009"
"1.89000","0.15766","0.00012"
"1.89600","0.15814","0.00008"
"1.90200","0.15868","0.00006"
"1.90800","0.15916","0.00003"
"1.91400","0.15970","-0.00012"
"1.92000","0.16018","-0.00020"
"1.92600","0.16071","-0.00031"
"1.93200","0.16119","-0.00038"
