End date,"11/4/2016"
Specimen label,""
Maximum Load,"1.49282",N

Time,Extension,Load
(s),(mm),(N)
"1.09800","0.09166","0.00109"
"1.10400","0.09220","0.00117"
"1.11000","0.09267","0.00116"
"1.11600","0.09321","0.00119"
"1.12200","0.09369","0.00109"
"1.12800","0.09417","0.00094"
"1.13400","0.09465","0.00081"
"1.14000","0.09518","0.00075"
"1.14600","0.09566","0.00069"
"1.15200","0.09614","0.00075"
"1.15800","0.09668","0.00077"
"1.16400","0.09716","0.00077"
"1.17000","0.09764","0.00074"
"1.17600","0.09817","0.00080"
"1.18200","0.09865","0.00096"
"1.18800","0.09919","0.00109"
"1.19400","0.09967","0.00113"
"1.20000","0.10015","0.00117"
"1.20600","0.10069","0.00129"
"1.21200","0.10116","0.00136"
"1.21800","0.10164","0.00129"
"1.22400","0.10218","0.00129"
"1.23000","0.10266","0.00129"
"1.23600","0.10314","0.00126"
"1.24200","0.10362","0.00124"
"1.24800","0.10415","0.00119"
"1.25400","0.10463","0.00125"
"1.26000","0.10517","0.00134"
"1.26600","0.10565","0.00136"
"1.27200","0.10619","0.00139"
"1.27800","0.10666","0.00138"
"1.28400","0.10714","0.00134"
"1.29000","0.10762","0.00131"
"1.29600","0.10816","0.00129"
"1.30200","0.10864","0.00139"
"1.30800","0.10912","0.00143"
"1.31400","0.10965","0.00138"
"1.32000","0.11013","0.00125"
"1.32600","0.11061","0.00108"
"1.33200","0.11115","0.00097"
"1.33800","0.11163","0.00104"
"1.34400","0.11217","0.00104"
"1.35000","0.11264","0.00100"
"1.35600","0.11312","0.00108"
"1.36200","0.11366","0.00117"
"1.36800","0.11414","0.00113"
"1.37400","0.11468","0.00104"
"1.38000","0.11515","0.00091"
"1.38600","0.11569","0.00079"
"1.39200","0.11617","0.00080"
"1.39800","0.11665","0.00088"
"1.40400","0.11719","0.00103"
"1.41000","0.11767","0.00112"
"1.41600","0.11820","0.00113"
"1.42200","0.11868","0.00117"
"1.42800","0.11916","0.00122"
"1.43400","0.11970","0.00122"
"1.44000","0.12018","0.00124"
"1.44600","0.12066","0.00116"
"1.45200","0.12119","0.00106"
"1.45800","0.12167","0.00095"
"1.46400","0.12215","0.00088"
"1.47000","0.12269","0.00091"
"1.47600","0.12317","0.00107"
"1.48200","0.12370","0.00112"
"1.48800","0.12418","0.00111"
"1.49400","0.12472","0.00106"
"1.50000","0.12520","0.00104"
"1.50600","0.12568","0.00115"
"1.51200","0.12622","0.00122"
"1.51800","0.12669","0.00117"
"1.52400","0.12717","0.00112"
"1.53000","0.12771","0.00102"
"1.53600","0.12819","0.00088"
"1.54200","0.12867","0.00080"
"1.54800","0.12915","0.00068"
"1.55400","0.12968","0.00075"
"1.56000","0.13016","0.00091"
"1.56600","0.13064","0.00089"
"1.57200","0.13118","0.00086"
"1.57800","0.13166","0.00079"
"1.58400","0.13213","0.00081"
"1.59000","0.13267","0.00086"
"1.59600","0.13315","0.00081"
"1.60200","0.13363","0.00069"
"1.60800","0.13417","0.00071"
"1.61400","0.13465","0.00081"
"1.62000","0.13512","0.00093"
"1.62600","0.13566","0.00104"
"1.63200","0.13614","0.00103"
"1.63800","0.13662","0.00096"
"1.64400","0.13710","0.00086"
"1.65000","0.13764","0.00075"
"1.65600","0.13811","0.00061"
"1.66200","0.13865","0.00049"
