End date,"11/4/2016"
Specimen label,""
Maximum Load,"0.01818",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.00016"
"0.00600","0.00000","-0.00002"
"0.01200","0.00000","-0.00022"
"0.01800","0.00012","-0.00035"
"0.02400","0.00024","-0.00039"
"0.03000","0.00030","-0.00036"
"0.03600","0.00042","-0.00031"
"0.04200","0.00060","-0.00018"
"0.04800","0.00078","-0.00007"
"0.05400","0.00102","-0.00005"
"0.06000","0.00126","0.00006"
"0.06600","0.00149","0.00022"
"0.07200","0.00173","0.00031"
"0.07800","0.00203","0.00038"
"0.08400","0.00233","0.00055"
"0.09000","0.00269","0.00068"
"0.09600","0.00311","0.00068"
"0.10200","0.00347","0.00057"
"0.10800","0.00389","0.00046"
"0.11400","0.00436","0.00041"
"0.12000","0.00484","0.00037"
"0.12600","0.00538","0.00036"
"0.13200","0.00592","0.00039"
"0.13800","0.00646","0.00030"
"0.14400","0.00706","0.00025"
"0.15000","0.00771","0.00029"
"0.15600","0.00831","0.00030"
"0.16200","0.00897","0.00029"
"0.16800","0.00963","0.00031"
"0.17400","0.01028","0.00024"
"0.18000","0.01100","0.00018"
"0.18600","0.01166","0.00010"
"0.19200","0.01238","-0.00002"
"0.19800","0.01303","0.00003"
"0.20400","0.01375","0.00004"
"0.21000","0.01447","0.00007"
"0.21600","0.01513","0.00019"
"0.22200","0.01578","0.00020"
"0.22800","0.01650","0.00007"
"0.23400","0.01716","-0.00001"
"0.24000","0.01782","0.00003"
"0.24600","0.01847","0.00015"
"0.25200","0.01913","0.00012"
"0.25800","0.01979","0.00017"
"0.26400","0.02051","0.00033"
"0.27000","0.02111","0.00036"
"0.27600","0.02176","0.00043"
"0.28200","0.02242","0.00060"
"0.28800","0.02302","0.00057"
"0.29400","0.02362","0.00053"
"0.30000","0.02427","0.00052"
"0.30600","0.02487","0.00058"
"0.31200","0.02547","0.00069"
"0.31800","0.02607","0.00074"
"0.32400","0.02661","0.00075"
"0.33000","0.02720","0.00066"
"0.33600","0.02780","0.00051"
"0.34200","0.02834","0.00037"
"0.34800","0.02888","0.00025"
"0.35400","0.02942","0.00008"
"0.36000","0.03001","-0.00001"
"0.36600","0.03055","-0.00008"
"0.37200","0.03109","-0.00015"
"0.37800","0.03163","-0.00014"
"0.38400","0.03217","-0.00013"
"0.39000","0.03270","-0.00005"
"0.39600","0.03324","0.00021"
"0.40200","0.03378","0.00042"
"0.40800","0.03426","0.00055"
"0.41400","0.03480","0.00062"
"0.42000","0.03528","0.00066"
"0.42600","0.03581","0.00069"
"0.43200","0.03629","0.00070"
"0.43800","0.03683","0.00059"
"0.44400","0.03731","0.00043"
"0.45000","0.03785","0.00032"
"0.45600","0.03833","0.00022"
"0.46200","0.03886","0.00025"
"0.46800","0.03934","0.00036"
"0.47400","0.03982","0.00042"
"0.48000","0.04036","0.00046"
"0.48600","0.04084","0.00041"
"0.49200","0.04131","0.00033"
"0.49800","0.04179","0.00035"
"0.50400","0.04233","0.00041"
"0.51000","0.04281","0.00047"
"0.51600","0.04335","0.00042"
"0.52200","0.04383","0.00028"
"0.52800","0.04430","0.00019"
"0.53400","0.04484","0.00022"
"0.54000","0.04532","0.00024"
"0.54600","0.04580","0.00020"
"0.55200","0.04628","0.00007"
"0.55800","0.04676","-0.00015"
"0.56400","0.04729","-0.00023"
"0.57000","0.04777","-0.00021"
"0.57600","0.04825","-0.00006"
"0.58200","0.04873","0.00021"
"0.58800","0.04921","0.00039"
"0.59400","0.04969","0.00042"
"0.60000","0.05022","0.00041"
"0.60600","0.05070","0.00027"
"0.61200","0.05118","0.00022"
"0.61800","0.05166","0.00016"
"0.62400","0.05214","0.00009"
"0.63000","0.05267","0.00011"
"0.63600","0.05315","0.00016"
"0.64200","0.05363","0.00015"
"0.64800","0.05417","0.00011"
"0.65400","0.05465","0.00006"
"0.66000","0.05519","0.00008"
"0.66600","0.05566","0.00008"
"0.67200","0.05614","0.00005"
"0.67800","0.05668","0.00014"
"0.68400","0.05716","0.00023"
"0.69000","0.05764","0.00019"
"0.69600","0.05818","0.00017"
"0.70200","0.05865","0.00023"
"0.70800","0.05913","0.00033"
"0.71400","0.05961","0.00046"
"0.72000","0.06015","0.00039"
"0.72600","0.06063","0.00030"
"0.73200","0.06110","0.00030"
"0.73800","0.06164","0.00025"
"0.74400","0.06212","0.00024"
"0.75000","0.06266","0.00035"
"0.75600","0.06314","0.00032"
"0.76200","0.06362","0.00031"
"0.76800","0.06415","0.00034"
"0.77400","0.06463","0.00043"
"0.78000","0.06517","0.00053"
"0.78600","0.06565","0.00056"
"0.79200","0.06619","0.00050"
"0.79800","0.06667","0.00046"
"0.80400","0.06720","0.00040"
"0.81000","0.06768","0.00036"
"0.81600","0.06822","0.00052"
"0.82200","0.06870","0.00063"
"0.82800","0.06918","0.00067"
"0.83400","0.06971","0.00058"
"0.84000","0.07019","0.00048"
"0.84600","0.07067","0.00046"
"0.85200","0.07121","0.00037"
"0.85800","0.07169","0.00029"
"0.86400","0.07217","0.00031"
"0.87000","0.07270","0.00028"
"0.87600","0.07318","0.00032"
"0.88200","0.07372","0.00038"
"0.88800","0.07420","0.00042"
"0.89400","0.07468","0.00044"
"0.90000","0.07522","0.00045"
"0.90600","0.07569","0.00045"
"0.91200","0.07623","0.00052"
"0.91800","0.07671","0.00054"
"0.92400","0.07719","0.00057"
"0.93000","0.07773","0.00061"
"0.93600","0.07820","0.00058"
"0.94200","0.07874","0.00044"
"0.94800","0.07922","0.00040"
"0.95400","0.07976","0.00032"
"0.96000","0.08024","0.00029"
"0.96600","0.08072","0.00028"
"0.97200","0.08125","0.00035"
"0.97800","0.08173","0.00049"
"0.98400","0.08221","0.00061"
"0.99000","0.08269","0.00068"
"0.99600","0.08323","0.00070"
"1.00200","0.08371","0.00063"
"1.00800","0.08418","0.00054"
"1.01400","0.08472","0.00061"
"1.02000","0.08520","0.00054"
"1.02600","0.08574","0.00038"
"1.03200","0.08622","0.00012"
"1.03800","0.08669","-0.00005"
"1.04400","0.08717","-0.00013"
"1.05000","0.08771","-0.00007"
"1.05600","0.08819","-0.00009"
"1.06200","0.08867","-0.00018"
"1.06800","0.08921","-0.00019"
"1.07400","0.08968","-0.00013"
"1.08000","0.09016","-0.00004"
"1.08600","0.09070","0.00001"
"1.09200","0.09118","0.00009"
"1.09800","0.09172","0.00022"
"1.10400","0.09220","0.00037"
"1.11000","0.09273","0.00062"
"1.11600","0.09321","0.00083"
"1.12200","0.09369","0.00079"
"1.12800","0.09423","0.00080"
"1.13400","0.09471","0.00084"
"1.14000","0.09518","0.00073"
"1.14600","0.09566","0.00063"
"1.15200","0.09620","0.00053"
"1.15800","0.09668","0.00058"
"1.16400","0.09716","0.00057"
"1.17000","0.09764","0.00047"
"1.17600","0.09817","0.00046"
"1.18200","0.09865","0.00041"
"1.18800","0.09913","0.00033"
"1.19400","0.09967","0.00026"
"1.20000","0.10015","0.00023"
"1.20600","0.10063","0.00024"
"1.21200","0.10116","0.00038"
"1.21800","0.10164","0.00051"
"1.22400","0.10212","0.00053"
"1.23000","0.10266","0.00059"
"1.23600","0.10314","0.00050"
"1.24200","0.10362","0.00027"
"1.24800","0.10415","0.00005"
"1.25400","0.10463","-0.00012"
"1.26000","0.10517","-0.00023"
"1.26600","0.10565","-0.00028"
"1.27200","0.10613","-0.00031"
"1.27800","0.10666","-0.00032"
"1.28400","0.10714","-0.00030"
"1.29000","0.10762","-0.00028"
"1.29600","0.10816","-0.00022"
"1.30200","0.10864","-0.00018"
"1.30800","0.10912","-0.00013"
"1.31400","0.10965","0.00002"
"1.32000","0.11013","0.00010"
"1.32600","0.11061","0.00013"
"1.33200","0.11115","0.00013"
"1.33800","0.11163","0.00000"
"1.34400","0.11211","-0.00006"
"1.35000","0.11264","0.00002"
"1.35600","0.11312","0.00011"
"1.36200","0.11366","0.00019"
"1.36800","0.11414","0.00016"
"1.37400","0.11468","0.00013"
"1.38000","0.11515","0.00028"
"1.38600","0.11569","0.00032"
"1.39200","0.11617","0.00023"
"1.39800","0.11671","0.00008"
"1.40400","0.11719","0.00001"
