"Ptime","Pload","Vtime","Vload","yDelta","del","num_th_broke"
314.55,0.27712,314.604,0.17432,0.1028,"y","1"
314.634,0.17221,314.652,0.16464,0.00756999999999999,"n",NA
334.284,0.27558,334.38,0.03381,0.24177,"y","1"
335.892,0.08198,335.982,0.04509,0.03689,"n",NA
352.86,0.12631,352.956,0.03137,0.09494,"y","2"
353.034,0.0458,353.058,0.03685,0.00895,"n",NA
353.064,0.03717,353.088,0.02831,0.00886,"n",NA
411.996,0.14509,412.032,0.01948,0.12561,"y","1"
412.038,0.02088,412.062,0,0.03042,"n",NA
412.08,0.01278,412.098,0,0.01572,"n",NA
412.152,0.01586,412.17,0.00413,0.01173,"n",NA
412.224,0.01673,412.242,0.01006,0.00667,"n",NA
412.254,0.01409,412.278,0.00251,0.01158,"n",NA
412.398,0.01433,412.416,0.00796,0.00637,"n",NA
