"Ptime","Pload","Vtime","Vload","yDelta","del","num_th_broke"
222.288,0.14631,222.414,0,0.15497,"y","1"
222.504,0.01321,222.522,0.00619,0.00702,"n",NA
222.54,0.01462,222.558,0.00843,0.00619,"n",NA
222.576,0.0129,222.6,0.00405,0.00885,"n",NA
222.618,0.01122,222.636,0.0061,0.00512,"n",NA
222.654,0.01013,222.672,0.00545,0.00468,"n",NA
224.664,0.0142,224.676,0.01177,0.00243,"n",NA
225.834,0.01243,225.858,0.00729,0.00514,"n",NA
225.966,0.01266,225.99,0.00745,0.00521,"n",NA
227.142,0.01555,227.172,0.00817,0.00738,"n",NA
227.754,0.01277,227.778,0.00782,0.00495,"n",NA
231.264,0.01384,231.294,0.00736,0.00648,"n",NA
