"Ptime","Pload","Vtime","Vload","yDelta","del","num_th_broke"
269.256,0.1415,269.334,0.08298,0.05852,"y","1"
280.086,0.12395,280.122,0.10084,0.02311,"y","1"
305.892,0.22751,305.946,0.20375,0.02376,"y","1"
358.698,0.70196,358.764,0.64919,0.05277,"y","1"
361.812,0.68197,361.878,0.46446,0.21751,"y","1"
361.896,0.47713,361.95,0.44931,0.02782,"n",NA
372.684,0.63114,372.726,0.60152,0.02962,"y","1"
382.104,0.67443,382.182,0.58022,0.09421,"y","1"
382.206,0.57637,382.224,0.56749,0.00888,"n",NA
382.686,0.58134,382.746,0.37372,0.20762,"y","1"
382.752,0.37896,382.764,0.37289,0.00607000000000002,"n",NA
382.974,0.38375,382.986,0.37615,0.0076,"n",NA
383.052,0.3766,383.07,0.37,0.00659999999999999,"n",NA
383.316,0.3841,383.346,0.37207,0.01203,"n",NA
404.514,0.48228,404.574,0.33027,0.15201,"y","1"
404.586,0.33597,404.604,0.32571,0.01026,"n",NA
404.616,0.33565,404.634,0.32877,0.00688,"n",NA
404.646,0.33443,404.664,0.32551,0.00891999999999998,"n",NA
404.676,0.33004,404.688,0.32416,0.00588,"n",NA
404.706,0.32835,404.718,0.32286,0.00548999999999999,"n",NA
426.282,0.35649,426.33,0.33685,0.01964,"y","1"
