"Ptime","Pload","Vtime","Vload","yDelta","del","num_th_broke"
80.568,0.02731,12.39,0.00716,0.02015,"n",NA
80.58,0.25101,80.676,0.1992,0.05181,"y","u"
87.78,0.23935,87.846,0.13578,0.10357,"y","1"
87.852,0.13561,87.876,0.11792,0.01769,"n",NA
98.244,0.19752,98.274,0.188,0.00952,"y","1"
100.902,0.19038,100.986,0,0.20722,"y","1"
101.16,0.02461,101.184,0.01464,0.00997,"n",NA
137.346,0.09338,137.376,0.07411,0.01927,"y","1"
138.822,0.07328,138.858,0.04983,0.02345,"y","1"
156.3,0.07127,156.342,0,0.07795,"y","1"
