"Ptime","Pload","Vtime","Vload","yDelta","del","num_th_broke"
401.646,0.15688,355.938,0.15162,0.00525999999999999,"n",NA
401.694,0.23508,401.736,0.11096,0.12412,"y","1"
401.748,0.11921,401.766,0.10359,0.01562,"n",NA
401.976,0.13402,401.994,0.12917,0.00484999999999999,"n",NA
402.006,0.12935,402.03,0.12229,0.00706,"n",NA
402.042,0.12364,402.06,0.11991,0.00373,"n",NA
402.084,0.12189,402.096,0.11891,0.00298,"n",NA
402.12,0.12097,402.138,0.11638,0.00459,"n",NA
402.156,0.11715,402.174,0.11277,0.00438000000000001,"n",NA
449.208,0.16403,449.25,0.07974,0.08429,"y","1"
449.262,0.08892,449.286,0.07089,0.01803,"n",NA
449.388,0.08805,449.406,0.07821,0.00984,"n",NA
449.472,0.0838,449.49,0.07623,0.00756999999999999,"n",NA
449.628,0.0821,449.64,0.07923,0.00287000000000001,"n",NA
449.664,0.08148,449.682,0.07692,0.00455999999999999,"n",NA
449.706,0.08045,449.718,0.07777,0.00267999999999999,"n",NA
449.79,0.07995,449.802,0.07669,0.00326,"n",NA
449.826,0.07938,449.844,0.07514,0.00424000000000001,"n",NA
449.868,0.07779,449.886,0.07384,0.00395,"n",NA
449.91,0.07853,449.928,0.07482,0.00371,"n",NA
449.952,0.07863,449.97,0.07458,0.00405000000000001,"n",NA
663.768,0.09783,663.786,0.09319,0.00464000000000001,"n",NA
715.2,0.1051,715.218,0.09939,0.00570999999999999,"n",NA
717.468,0.09842,717.492,0.09109,0.00732999999999999,"n",NA
745.272,0.09557,745.296,0.09087,0.0047,"n",NA
