"Ptime","Pload","Vtime","Vload","yDelta","del","num_th_broke"
127.728,0.0838,68.244,0.0664,0.0174,"n",NA
87.918,0.14569,87.948,0.12778,0.01791,"y","1"
88.122,0.12958,88.152,0.11164,0.01794,"y","1"
104.496,0.20107,104.526,0.18966,0.01141,"y","1"
104.562,0.18757,104.592,0.17601,0.01156,"y","1"
127.728,0.31499,127.776,0.27601,0.03898,"y","1"
129.474,0.28056,129.516,0.26025,0.02031,"y","1"
135.588,0.3171,135.666,0.0182,0.2989,"y","1"
159.462,0.11875,159.51,0.02469,0.09406,"y","1"
159.516,0.02476,159.54,0.00516,0.0196,"n",NA
314.55,0.31451,314.622,0.00596,0.30855,"y","1"
315.3,0.0546,315.366,0.02322,0.03138,"n",NA
315.624,0.06066,315.66,0.04552,0.01514,"n",NA
316.668,0.06114,316.722,0.03908,0.02206,"n",NA
351.468,0.16779,351.534,0,0.17052,"y","1"
351.552,0.01582,351.57,0.00252,0.0133,"n",NA
351.66,0.02469,351.678,0.0165,0.00819,"n",NA
351.702,0.02293,351.72,0.01341,0.00952,"n",NA
475.008,0.10406,475.104,0.01627,0.08779,"y","1"
476.82,0.05828,476.898,0.02616,0.03212,"n",NA
