"Ptime","Pload","Vtime","Vload","yDelta","del","num_th_broke"
203.014,0.37194,203.092,0.17627,0.19567,"y","1"
234.196,0.39836,234.256,0.34651,0.05185,"y","1"
239.338,0.3644,239.47,0.17576,0.18864,"y","2"
269.5,0.045,269.578,0.01405,0.03095,"n",NA
308.986,0.11662,309.004,0.10948,0.00714000000000001,"y","1"
317.596,0.13774,317.65,0.10914,0.0286,"y","1"
324.418,0.13471,324.49,0,0.13575,"y","1"
379.552,0.19843,379.606,0.15892,0.03951,"y","1"
415.294,0.29262,415.354,0.12976,0.16286,"y","1"
415.366,0.13531,415.378,0.12578,0.00953000000000001,"n",NA
415.396,0.13703,415.408,0.13127,0.00576000000000002,"n",NA
415.426,0.13909,415.438,0.13465,0.00444,"n",NA
415.48,0.14226,415.492,0.13666,0.00559999999999999,"n",NA
472.846,0.30556,472.894,0.28343,0.02213,"y","1"
473.524,0.2775,473.596,0,0.2907,"y","1"
473.614,0.01447,473.632,0,0.01735,"n",NA
473.686,0.01756,473.698,0.01091,0.00665,"n",NA
