"","V1","V2","V3","V4"
"1",NA,"V1","V2","V3"
"2",1,"End date","2/26/2017",""
"3",2,"Specimen label","4CT_32_pl",""
"4",3,"Maximum Load","0.14378","N"
"5",4,"Time","Extension","Load"
