"","V1","V2","V3","V4"
"1",NA,"V1","V2","V3"
"2",1,"End date","11/4/2016",""
"3",2,"Specimen label","63G21",""
"4",3,"Maximum Load","0.01685","N"
"5",4,"Time","Extension","Load"
