"","V1","V2","V3","V4"
"1",NA,"V1","V2","V3"
"2",1,"End date","12/21/2016",""
"3",2,"Specimen label","24BG_95",""
"4",3,"Maximum Load","0.00842","N"
"5",4,"Time","Extension","Load"
