"","V1","V2","V3","V4"
"1",NA,"V1","V2","V3"
"2",1,"End date","11/14/2016",""
"3",2,"Specimen label","20BT63.2.r2",""
"4",3,"Maximum Load","0.05861","N"
"5",4,"Time","Extension","Load"
