"","V1","V2","V3","V4"
"1",NA,"V1","V2","V3"
"2",1,"End date","12/26/2016",""
"3",2,"Specimen label","10AT_64",""
"4",3,"Maximum Load","0.01466","N"
"5",4,"Time","Extension","Load"
