"","V1","V2","V3","V4"
"1",NA,"V1","V2","V3"
"2",1,"End date","12/23/2016",""
"3",2,"Specimen label","22CG_79",""
"4",3,"Maximum Load","0.00485","N"
"5",4,"Time","Extension","Load"
