"Ptime","Pload","Vtime","Vload","yDelta"
80.562,0.14629,80.652,0.09637,0.04992
149.57401,0.4653,149.67,0.41902,0.04628
153.996,0.45886,154.06799,0.35009,0.10877
171.60001,0.4554,171.666,0.42551,0.02989
201.582,0.58555,201.636,0.50971,0.07584
203.172,0.50688,203.274,0.30761,0.19927
215.78999,0.39391,215.94,0.09825,0.29566
265.5,0.43531,265.548,0.39251,0.0427999999999999
317.79001,0.68194,317.87399,0.61971,0.06223
343.87201,0.73603,343.944,0.60719,0.12884
379.41599,0.7311,379.48199,0.58844,0.14266
383.13599,0.5785,383.202,0.51698,0.06152
414.75601,0.66003,414.87,0.35668,0.30335
431.88599,0.45145,431.91,0.43351,0.01794
