"Ptime","Pload","Vtime","Vload","yDelta"
112.602,0.47769,112.668,0.37,0.10769
164.442,1.38742,164.52,1.19191,0.19551
164.982,1.18587,165.06,0.9354,0.25047
177.12,1.14097,177.282,0.75295,0.38802
184.05,0.96976,184.146,0.83227,0.13749
189.672,1.00179,189.816,0.84146,0.16033
190.548,0.86238,190.638,0.65104,0.21134
205.104,1.0657,205.242,0.9807,0.0850000000000001
205.926,0.86997,206.064,0.69078,0.17919
209.73,0.75581,209.814,0.50589,0.24992
209.91,0.5128,209.994,0.36501,0.14779
216.708,0.52416,216.762,0.48143,0.0427299999999999
224.7,0.68676,224.778,0.45828,0.22848
231.108,0.62575,231.192,0.49123,0.13452
236.868,0.60937,237.042,0.41032,0.19905
242.178,0.51061,242.238,0.41538,0.09523
250.5,0.52993,250.584,0.39369,0.13624
250.794,0.39489,250.884,0.04597,0.34892
295.08,0.20451,295.152,0.13247,0.07204
316.926,0.77146,317.082,0.57674,0.19472
325.764,0.83105,325.854,0.71275,0.1183
340.026,1.06486,340.104,0.91278,0.15208
352.062,1.17268,352.152,0.98818,0.1845
356.856,1.08578,356.988,0.87418,0.2116
366.282,0.51831,366.306,0.50323,0.0150800000000001
374.898,0.63486,374.994,0.38822,0.24664
379.974,0.40209,380.04,0.03753,0.36456
380.046,0.03959,380.058,0.02881,0.01078
446.418,0.17965,446.472,0.13315,0.0465
449.298,0.14747,449.55,0.07798,0.06949
473.592,0.13592,473.676,0.09349,0.04243
503.412,0.09822,503.466,0.05285,0.04537
516.132,0.04786,516.216,0,0.05774
