"Ptime","Pload","Vtime","Vload","yDelta"
188.748,0.56912,188.88,0.47898,0.0901399999999999
199.074,0.63977,199.17,0.60737,0.0324
201.45,0.64805,201.678,0.47619,0.17186
202.77,0.43593,202.932,0.27524,0.16069
235.356,0.87098,235.434,0.62566,0.24532
263.778,1.20113,263.916,0.95982,0.24131
281.736,1.37368,281.826,0.98447,0.38921
281.958,0.98697,282.12,0.74158,0.24539
298.866,1.27419,298.95,1.10903,0.16516
311.424,1.46236,311.502,1.31809,0.14427
319.824,1.50266,319.884,1.45845,0.0442100000000001
331.464,1.72377,331.554,1.50596,0.21781
332.796,1.51784,332.862,1.42505,0.0927900000000002
350.928,0.96044,351.018,0.8691,0.09134
357.174,1.04715,357.288,0.84229,0.20486
357.33,0.84471,357.39,0.70987,0.13484
362.616,0.76842,362.688,0.49483,0.27359
362.784,0.50516,362.898,0.28415,0.22101
362.904,0.28475,362.922,0.27393,0.01082
366.162,0.30679,366.264,0.17584,0.13095
407.964,0.57264,408.072,0.18034,0.3923
408.09,0.1975,408.102,0.18339,0.01411
644.232,0.12328,644.292,0.08392,0.03936
715.23,0.24931,715.374,0,0.25405
715.386,0.01036,715.41,0,0.0351
