End date,"2/12/2017"
Specimen label,"10BG_Unk2"
Maximum Load,"0.64592",N

Time,Extension,Load
(s),(mm),(N)
"1.09800","0.09166","0.00294"
"1.10400","0.09220","0.00294"
"1.11000","0.09267","0.00296"
"1.11600","0.09321","0.00294"
"1.12200","0.09369","0.00295"
"1.12800","0.09417","0.00312"
"1.13400","0.09471","0.00325"
"1.14000","0.09518","0.00330"
"1.14600","0.09572","0.00339"
"1.15200","0.09620","0.00344"
"1.15800","0.09668","0.00340"
"1.16400","0.09722","0.00329"
"1.17000","0.09770","0.00326"
"1.17600","0.09817","0.00324"
"1.18200","0.09865","0.00320"
"1.18800","0.09919","0.00336"
"1.19400","0.09967","0.00355"
"1.20000","0.10021","0.00368"
"1.20600","0.10069","0.00374"
"1.21200","0.10116","0.00367"
"1.21800","0.10170","0.00342"
"1.22400","0.10218","0.00332"
"1.23000","0.10266","0.00330"
"1.23600","0.10320","0.00329"
"1.24200","0.10368","0.00333"
"1.24800","0.10421","0.00350"
"1.25400","0.10469","0.00366"
"1.26000","0.10523","0.00375"
"1.26600","0.10571","0.00372"
"1.27200","0.10625","0.00367"
"1.27800","0.10672","0.00378"
"1.28400","0.10726","0.00396"
"1.29000","0.10780","0.00401"
"1.29600","0.10828","0.00399"
"1.30200","0.10876","0.00396"
"1.30800","0.10930","0.00370"
"1.31400","0.10977","0.00340"
"1.32000","0.11025","0.00332"
"1.32600","0.11079","0.00341"
"1.33200","0.11127","0.00348"
"1.33800","0.11181","0.00360"
"1.34400","0.11228","0.00382"
"1.35000","0.11276","0.00394"
"1.35600","0.11330","0.00404"
"1.36200","0.11378","0.00417"
"1.36800","0.11426","0.00415"
"1.37400","0.11474","0.00392"
"1.38000","0.11527","0.00361"
"1.38600","0.11575","0.00346"
"1.39200","0.11623","0.00363"
"1.39800","0.11671","0.00376"
"1.40400","0.11725","0.00383"
"1.41000","0.11779","0.00396"
"1.41600","0.11826","0.00402"
"1.42200","0.11880","0.00403"
"1.42800","0.11928","0.00404"
"1.43400","0.11976","0.00380"
"1.44000","0.12030","0.00375"
"1.44600","0.12077","0.00389"
"1.45200","0.12125","0.00409"
"1.45800","0.12173","0.00434"
"1.46400","0.12227","0.00434"
"1.47000","0.12275","0.00413"
"1.47600","0.12323","0.00396"
"1.48200","0.12370","0.00393"
"1.48800","0.12424","0.00392"
"1.49400","0.12472","0.00410"
"1.50000","0.12520","0.00433"
"1.50600","0.12574","0.00443"
"1.51200","0.12622","0.00439"
"1.51800","0.12669","0.00428"
"1.52400","0.12723","0.00405"
"1.53000","0.12771","0.00365"
"1.53600","0.12819","0.00338"
"1.54200","0.12873","0.00329"
"1.54800","0.12921","0.00329"
"1.55400","0.12968","0.00324"
"1.56000","0.13022","0.00324"
"1.56600","0.13070","0.00334"
"1.57200","0.13124","0.00363"
"1.57800","0.13172","0.00404"
"1.58400","0.13225","0.00444"
"1.59000","0.13273","0.00470"
"1.59600","0.13321","0.00470"
"1.60200","0.13369","0.00459"
"1.60800","0.13423","0.00446"
"1.61400","0.13471","0.00451"
"1.62000","0.13518","0.00468"
"1.62600","0.13566","0.00476"
"1.63200","0.13620","0.00466"
"1.63800","0.13668","0.00448"
"1.64400","0.13716","0.00424"
"1.65000","0.13764","0.00408"
"1.65600","0.13817","0.00413"
"1.66200","0.13865","0.00416"
"1.66800","0.13919","0.00418"
"1.67400","0.13967","0.00418"
"1.68000","0.14015","0.00406"
"1.68600","0.14062","0.00388"
"1.69200","0.14116","0.00371"
"1.69800","0.14164","0.00376"
"1.70400","0.14218","0.00392"
"1.71000","0.14266","0.00409"
"1.71600","0.14320","0.00421"
"1.72200","0.14367","0.00429"
"1.72800","0.14421","0.00430"
"1.73400","0.14469","0.00437"
"1.74000","0.14523","0.00443"
"1.74600","0.14571","0.00454"
"1.75200","0.14625","0.00448"
"1.75800","0.14672","0.00447"
"1.76400","0.14720","0.00432"
"1.77000","0.14774","0.00407"
"1.77600","0.14822","0.00391"
"1.78200","0.14870","0.00373"
"1.78800","0.14923","0.00357"
"1.79400","0.14971","0.00357"
"1.80000","0.15019","0.00355"
"1.80600","0.15073","0.00350"
"1.81200","0.15121","0.00352"
"1.81800","0.15169","0.00356"
"1.82400","0.15222","0.00367"
"1.83000","0.15270","0.00371"
"1.83600","0.15324","0.00393"
"1.84200","0.15372","0.00413"
"1.84800","0.15420","0.00432"
"1.85400","0.15474","0.00445"
"1.86000","0.15521","0.00453"
"1.86600","0.15575","0.00455"
"1.87200","0.15623","0.00447"
"1.87800","0.15677","0.00441"
"1.88400","0.15725","0.00438"
"1.89000","0.15778","0.00425"
"1.89600","0.15826","0.00419"
"1.90200","0.15874","0.00420"
"1.90800","0.15928","0.00430"
"1.91400","0.15976","0.00452"
"1.92000","0.16024","0.00470"
"1.92600","0.16071","0.00477"
"1.93200","0.16119","0.00485"
"1.93800","0.16173","0.00495"
"1.94400","0.16221","0.00499"
"1.95000","0.16269","0.00503"
"1.95600","0.16323","0.00500"
"1.96200","0.16370","0.00486"
"1.96800","0.16424","0.00457"
"1.97400","0.16472","0.00449"
"1.98000","0.16526","0.00454"
"1.98600","0.16574","0.00462"
"1.99200","0.16621","0.00473"
"1.99800","0.16675","0.00474"
"2.00400","0.16723","0.00452"
"2.01000","0.16777","0.00428"
"2.01600","0.16825","0.00409"
"2.02200","0.16873","0.00400"
"2.02800","0.16926","0.00389"
"2.03400","0.16974","0.00387"
"2.04000","0.17022","0.00388"
"2.04600","0.17076","0.00391"
