"Ptime","Pload","Vtime","Vload"
188.748,0.56912,188.88,0.47898
199.074,0.63977,199.17,0.60737
201.45,0.64805,201.678,0.47619
202.77,0.43593,202.932,0.27524
235.356,0.87098,235.434,0.62566
263.778,1.20113,263.916,0.95982
281.736,1.37368,281.826,0.98447
281.958,0.98697,282.12,0.74158
298.866,1.27419,298.95,1.10903
311.424,1.46236,311.502,1.31809
319.824,1.50266,319.884,1.45845
331.464,1.72377,331.554,1.50596
332.796,1.51784,332.862,1.42505
333.336,1.4141,333.474,0.49047
350.928,0.96044,351.018,0.8691
357.174,1.04715,357.288,0.84229
357.33,0.84471,357.39,0.70987
362.616,0.76842,362.688,0.49483
362.784,0.50516,362.898,0.28415
362.904,0.28475,362.922,0.27393
366.162,0.30679,366.264,0.17584
407.964,0.57264,408.072,0.18034
408.09,0.1975,408.102,0.18339
494.46,0.44482,494.568,-0.03632
644.232,0.12328,644.292,0.08392
715.23,0.24931,715.374,-0.00474
715.386,0.01036,715.41,-0.02474
