"Ptime","Pload","Vtime","Vload"
149.57401,0.4653,149.67,0.41902
153.996,0.45886,154.06799,0.35009
171.60001,0.4554,171.666,0.42551
201.582,0.58555,201.636,0.50971
203.172,0.50688,203.274,0.30761
215.78999,0.39391,215.94,0.09825
265.5,0.43531,265.548,0.39251
317.79001,0.68194,317.87399,0.61971
343.87201,0.73603,343.944,0.60719
379.41599,0.7311,379.48199,0.58844
383.13599,0.5785,383.202,0.51698
414.75601,0.66003,414.87,0.35668
431.88599,0.45145,431.91,0.43351
455.034,0.49715,455.19601,-0.06156
455.21399,-0.02132,455.23199,-0.07002
